playername,playerid,vsname,vsid,date,Play
M_Margot,1471,D Law,1313,2016-09-24,Manuel Margot singled to center (Grounder). Travis Jankowski scored.
M_Margot,1471,B Shipley,1515,2016-09-30,Manuel Margot doubled to right (Fliner (Liner)). Luis Sardinas scored. Travis Jankowski advanced to 3B.
M_Margot,1471,T Blach,1436,2016-09-25,Manuel Margot doubled to right (Fliner (Liner)).
M_Margot,1471,R Stripling,1327,2016-09-28,Manuel Margot doubled to right (Grounder).
M_Margot,1471,J De Leon,1546,2016-09-28,Manuel Margot reached on error to shortstop (Grounder). Error by Corey Seager.
M_Margot,1471,J Chavez,5448,2016-09-28,Manuel Margot singled to right (Grounder).
M_Margot,1471,T Blach,1436,2016-09-25,Manuel Margot advanced on a stolen base to 3B.
M_Margot,1471,A Liberatore,1063,2016-09-29,Manuel Margot singled to left (Fliner (Liner)). Manuel Margot advanced to 2B on error. Error by Andrew Toles.
M_Margot,1471,G Dayton,1120,2016-09-27,Manuel Margot struck out swinging.
M_Margot,1471,M Bumgarner,5524,2016-09-24,Manuel Margot grounded out to shortstop (Grounder).
M_Margot,1471,M Koch,1342,2016-10-02,Manuel Margot grounded out to third (Grounder).
M_Margot,1471,A Bradley,1291,2016-10-01,Manuel Margot lined out to shortstop (Liner).
M_Margot,1471,A Bradley,1291,2016-10-01,Manuel Margot grounded out to shortstop (Grounder).
M_Margot,1471,J De Leon,1546,2016-09-28,Manuel Margot flied out to left (Fliner (Liner)).
M_Margot,1471,A Bradley,1291,2016-10-01,Manuel Margot struck out swinging.
M_Margot,1471,B Shipley,1515,2016-09-30,Manuel Margot grounded out to shortstop (Grounder).
M_Margot,1471,D Law,1313,2016-09-25,Manuel Margot reached on fielder's choice to shortstop (Grounder). Travis Jankowski out at second.
M_Margot,1471,S Romo,9817,2016-09-24,Manuel Margot struck out swinging.
M_Margot,1471,M Koch,1342,2016-10-02,Manuel Margot grounded out to second (Grounder).
M_Margot,1471,P Corbin,9323,2016-09-30,Manuel Margot reached on fielder's choice to shortstop (Grounder). Hunter Renfroe out at third.
M_Margot,1471,J Samardzija,3254,2016-09-22,Manuel Margot flied out to shortstop (Fly).
