playername,playerid,vsname,vsid,date,Play
M_Martinez,7358,B Kintzler,9939,2016-07-22,Michael Martinez singled to second (Grounder).
M_Martinez,7358,J Quintana,1142,2016-06-17,Michael Martinez singled to right (Grounder).
M_Martinez,7358,J Quintana,1142,2016-06-17,Michael Martinez singled to center (Grounder).
M_Martinez,7358,J Verlander,8700,2016-06-26,Michael Martinez walked.
M_Martinez,7358,M Stroman,1343,2016-08-21,Michael Martinez walked.
M_Martinez,7358,C Rodon,1613,2016-06-19,Michael Martinez singled to right (Fliner (Liner)).
M_Martinez,7358,J Verlander,8700,2016-06-26,Francisco Lindor advanced on a wild pitch to 2B. Michael Martinez scored.
M_Martinez,7358,R Nolasco,3830,2016-07-23,Michael Martinez walked.
M_Martinez,7358,H Santiago,4026,2016-06-10,Michael Martinez singled to center (Liner).
M_Martinez,7358,D Huff,4257,2016-06-12,Michael Martinez reached on fielder's choice to pitcher (Grounder). Yan Gomes scored. Juan Uribe out at second.
M_Martinez,7358,T Duffey,1375,2016-05-15,Michael Martinez singled to center (Grounder).
M_Martinez,7358,K Jepsen,6475,2016-05-15,Michael Martinez singled to right (Grounder). Chris Gimenez advanced to 2B.
M_Martinez,7358,T May,6398,2016-09-11,Michael Martinez singled to left (Grounder). Roberto Perez scored.
M_Martinez,7358,M Givens,1043,2016-05-28,Michael Martinez singled to right (Grounder). Juan Uribe advanced to 2B.
M_Martinez,7358,J Alvarez,5358,2016-06-10,Michael Martinez singled to center (Grounder).
M_Martinez,7358,K Ryan,1175,2016-06-26,Michael Martinez singled to right (Grounder).
M_Martinez,7358,J Valdez,1447,2016-08-11,Michael Martinez grounded out to second (Grounder).
M_Martinez,7358,T Barnette,3555,2016-08-25,Michael Martinez grounded out to second (Grounder). Roberto Perez advanced to 3B.
M_Martinez,7358,K Ryan,1175,2016-09-27,Michael Martinez grounded out to shortstop (Grounder).
M_Martinez,7358,M Lowe,7416,2016-09-16,Michael Martinez fouled out to catcher (Fly).
M_Martinez,7358,C Ramos,3357,2016-05-30,Michael Martinez flied out to first (Fly).
M_Martinez,7358,S Cishek,6483,2016-06-07,Michael Martinez struck out swinging.
M_Martinez,7358,C Rasmus,2413,2016-06-10,Michael Martinez flied out to second (Fly).
M_Martinez,7358,B Flynn,1202,2016-09-30,Michael Martinez reached on fielder's choice to third (Grounder). Brandon Guyer out at second.
M_Martinez,7358,J Alvarez,5358,2016-06-12,Michael Martinez flied out to right (Fly).
M_Martinez,7358,M Purke,1283,2016-05-24,Michael Martinez grounded out to third (Grounder).
M_Martinez,7358,M Morin,1344,2016-08-13,Michael Martinez struck out swinging.
M_Martinez,7358,N Goody,1368,2016-08-05,Michael Martinez struck out looking.
M_Martinez,7358,D Guerra,8410,2016-08-12,Michael Martinez flied out to center (Fliner (Fly)).
M_Martinez,7358,M Lowe,7416,2016-06-25,Michael Martinez flied out to right (Fly).
M_Martinez,7358,K Graveman,1551,2016-08-24,Michael Martinez flied out to left (Fly).
M_Martinez,7358,T Rogers,1344,2016-07-23,Michael Martinez flied out to center (Fliner (Fly)).
M_Martinez,7358,T Walker,1183,2016-06-08,Michael Martinez fouled out to third (Fly).
M_Martinez,7358,M Shoemaker,4776,2016-06-11,Michael Martinez grounded out to first (Grounder).
M_Martinez,7358,J Verlander,8700,2016-09-27,Michael Martinez grounded out to first (Grounder).
M_Martinez,7358,C Sale,1060,2016-05-24,Michael Martinez struck out swinging.
M_Martinez,7358,M Stroman,1343,2016-08-21,Michael Martinez struck out looking.
M_Martinez,7358,J Verlander,8700,2016-06-26,Michael Martinez fouled out to third (Fly).
M_Martinez,7358,C Rodon,1613,2016-09-25,Michael Martinez grounded out to second (Grounder).
M_Martinez,7358,D Smyly,1176,2016-06-20,Michael Martinez out on a dropped third strike.
M_Martinez,7358,E Johnson,1252,2016-05-23,Michael Martinez grounded out to catcher (Grounder).
M_Martinez,7358,B Boshers,8490,2016-07-23,Michael Martinez struck out looking.
M_Martinez,7358,J Quintana,1142,2016-06-17,Michael Martinez flied out to center (Fliner (Liner)).
M_Martinez,7358,D Smyly,1176,2016-06-20,Michael Martinez sacrificed to third (Bunt Grounder). Yan Gomes advanced to 3B.
M_Martinez,7358,T Skaggs,1019,2016-08-12,Michael Martinez flied out to right (Fly).
M_Martinez,7358,J Shields,7059,2016-09-15,Michael Martinez struck out swinging.
M_Martinez,7358,D Pomeranz,1142,2016-08-15,Michael Martinez flied out to center (Fly).
M_Martinez,7358,R Pressly,7005,2016-07-23,Michael Martinez out on a dropped third strike.
M_Martinez,7358,E Johnson,1252,2016-05-23,Michael Martinez struck out swinging.
M_Martinez,7358,M Stroman,1343,2016-08-21,Michael Martinez grounded out to second (Grounder).
M_Martinez,7358,K Gibson,1012,2016-07-22,Michael Martinez reached on fielder's choice to second (Grounder). Brock Holt out at second.
M_Martinez,7358,D Pomeranz,1142,2016-08-15,Michael Martinez flied out to center (Fliner (Fly)).
M_Martinez,7358,R Goins,9807,2016-07-01,Michael Martinez reached on fielder's choice to second (Grounder). Jose Ramirez out at home. Lonnie Chisenhall advanced to 3B. Michael Martinez advanced to 2B.
M_Martinez,7358,D Robertson,8241,2016-05-23,Michael Martinez out on a dropped third strike.
M_Martinez,7358,J Ramirez,8302,2016-05-18,Michael Martinez struck out swinging.
M_Martinez,7358,B Schultz,5028,2016-07-01,Michael Martinez flied out to shortstop (Fly).
