playername,playerid,vsname,vsid,date,Play
M_Melancon,4264,T Story,1256,2016-04-27,Trevor Story struck out looking.
M_Melancon,4264,M Franco,1217,2016-08-30,Maikel Franco grounded into a double play to shortstop (Grounder). Cesar Hernandez out at second.
M_Melancon,4264,T Barnhart,1020,2016-05-11,Tucker Barnhart struck out swinging.
M_Melancon,4264,M Kemp,5631,2016-09-05,Matt Kemp grounded into a double play to second (Grounder). Adonis Garcia scored. Freddie Freeman out at second.
M_Melancon,4264,B Zobrist,7435,2016-05-15,Ben Zobrist grounded out to second (Grounder).
M_Melancon,4264,K Nieuwenhuis,6400,2016-07-19,Kirk Nieuwenhuis struck out swinging.
M_Melancon,4264,J Turner,5235,2016-06-24,Justin Turner grounded into a double play to shortstop (Grounder). Corey Seager out at second.
M_Melancon,4264,O Herrera,1147,2016-08-30,Odubel Herrera struck out swinging.
M_Melancon,4264,S Cardullo,1120,2016-08-27,Stephen Cardullo reached on fielder's choice to third (Grounder). David Dahl out at third. Gerardo Parra advanced to 2B.
M_Melancon,4264,K Wong,1253,2016-04-05,Kolten Wong flied out to pitcher (Bunt Fly).
M_Melancon,4264,J Gyorko,1081,2016-06-10,Jedd Gyorko grounded out to third (Grounder).
M_Melancon,4264,N Hundley,3376,2016-04-27,Nick Hundley flied out to right (Fliner (Liner)).
M_Melancon,4264,J Kang,1718,2016-09-23,Jung Ho Kang reached on fielder's choice to catcher (Grounder). Andrew McCutchen out at second.
M_Melancon,4264,E Fryer,8145,2016-09-23,Eric Fryer fouled out to right (Fliner (Fly)).
M_Melancon,4264,G Parra,8553,2016-04-27,Gerardo Parra grounded out to second (Grounder). DJ LeMahieu advanced to 3B. Tony Wolters advanced to 2B.
M_Melancon,4264,E Inciarte,4922,2016-08-19,Ender Inciarte grounded out to first (Grounder).
M_Melancon,4264,S Vogt,5000,2016-07-02,Stephen Vogt struck out swinging.
M_Melancon,4264,Z Cozart,2616,2016-04-08,Zack Cozart flied out to center (Fly).
M_Melancon,4264,D Garneau,9433,2016-05-20,Dustin Garneau lined out to second (Fliner (Liner)).
M_Melancon,4264,G Parra,8553,2016-08-15,Gerardo Parra grounded out to shortstop (Grounder).
M_Melancon,4264,N Castellanos,1173,2016-04-11,Nick Castellanos lined out to third (Liner). J.D. Martinez out at second.
M_Melancon,4264,C Asche,1199,2016-09-11,Cody Asche struck out looking.
