playername,playerid,vsname,vsid,date,Play
M_Moore,1890,B Belt,1026,2016-06-18,Brandon Belt lined out to first (Liner). Denard Span out at third.
M_Moore,1890,S Robinson,4249,2016-07-04,Shane Robinson reached on fielder's choice to third (Grounder). Jett Bandy out at home. Shane Robinson advanced to 2B.
M_Moore,1890,S Van Slyke,4365,2016-07-27,Scott Van Slyke grounded into a double play to third (Grounder). Justin Turner out at second.
M_Moore,1890,L Martin,1184,2016-05-09,Leonys Martin struck out swinging.
M_Moore,1890,R Vogelsong,1011,2016-08-15,Ryan Vogelsong struck out swinging.
M_Moore,1890,N Cruz,2434,2016-05-09,Nelson Cruz struck out swinging.
M_Moore,1890,C Santana,2396,2016-04-12,Carlos Santana flied out to left (Fly). Mike Napoli out at second.
M_Moore,1890,A Rodriguez,1274,2016-04-22,Alex Rodriguez fouled out to catcher (Fliner (Fly)).
M_Moore,1890,B Posey,9166,2016-06-18,Buster Posey flied out to left (Fliner (Liner)).
M_Moore,1890,M Duffy,1383,2016-06-18,Matt Duffy struck out swinging.
M_Moore,1890,C Owings,1003,2016-09-11,Chris Owings grounded into a double play to shortstop (Grounder). Jean Segura out at second.
M_Moore,1890,N Aoki,1307,2016-05-09,Nori Aoki flied out to left (Fliner (Fly)).
M_Moore,1890,K Pillar,1243,2016-04-06,Kevin Pillar flied out to first (Fly).
M_Moore,1890,C Ruiz,2579,2016-08-04,Carlos Ruiz flied out to center (Fly).
M_Moore,1890,W Chen,1307,2016-05-23,Wei-Yin Chen grounded out to third (Grounder).
M_Moore,1890,J Segura,5933,2016-08-31,Jean Segura was forced out.
M_Moore,1890,J Paredes,5481,2016-08-04,Jimmy Paredes grounded out to third (Grounder).
M_Moore,1890,F Gutierrez,3255,2016-05-09,Franklin Gutierrez lined out to third (Liner).
M_Moore,1890,K Seager,9785,2016-05-09,Kyle Seager struck out swinging.
M_Moore,1890,J Abreu,1567,2016-04-17,Jose Abreu struck out swinging.
M_Moore,1890,A Pagan,2918,2016-06-18,Angel Pagan struck out looking.
M_Moore,1890,X Bogaerts,1216,2016-07-09,Xander Bogaerts grounded into a double play to shortstop (Grounder). Mookie Betts out at second.
M_Moore,1890,Z Greinke,1943,2016-09-11,Zack Greinke lined out to shortstop (Liner).
M_Moore,1890,T Plouffe,7462,2016-06-02,Trevor Plouffe struck out swinging.
M_Moore,1890,F Galvis,6609,2016-08-04,Freddy Galvis struck out swinging.
M_Moore,1890,S Vogt,5000,2016-07-21,Stephen Vogt flied out to second (Fly).
M_Moore,1890,C Seager,1362,2016-10-02,Corey Seager grounded into a double play to second (Grounder). Howie Kendrick out at second.
M_Moore,1890,C Utley,1679,2016-07-27,Chase Utley fouled out to second (Fly).
M_Moore,1890,P Goldschmidt,9218,2016-09-11,Paul Goldschmidt struck out swinging.
M_Moore,1890,G Polanco,1290,2016-08-15,Gregory Polanco flied out to left (Fliner (Fly)).
M_Moore,1890,H Kendrick,4229,2016-05-03,Howie Kendrick flied out to right (Fliner (Fly)).
M_Moore,1890,T Ladendorf,3211,2016-05-15,Tyler Ladendorf struck out swinging.
M_Moore,1890,J Realmuto,1173,2016-05-23,J.T. Realmuto grounded out to pitcher (Grounder).
M_Moore,1890,C Owings,1003,2016-08-31,Chris Owings struck out swinging.
M_Moore,1890,A Diaz,1593,2016-09-16,Aledmys Diaz grounded out to shortstop (Grounder).
M_Moore,1890,M Franco,1217,2016-08-04,Maikel Franco grounded out to third (Grounder).
