playername,playerid,vsname,vsid,date,Play
M_Olson,1434,F Hernandez,4772,2016-10-02,Matt Olson doubled to center (Fliner (Liner)).
M_Olson,1434,C Lewis,1259,2016-09-25,Matt Olson walked.
M_Olson,1434,E Volquez,3990,2016-09-15,Matt Olson walked.
M_Olson,1434,N Martinez,1273,2016-09-25,Matt Olson singled to right (Grounder). Bruce Maxwell III advanced to 2B.
M_Olson,1434,A Mills,1383,2016-09-12,Matt Olson walked. Brett Eibner advanced to 2B.
M_Olson,1434,B Pounders,1038,2016-09-15,Matt Olson fouled out to catcher (Fly).
M_Olson,1434,P Moylan,4891,2016-09-15,Matt Olson flied out to right (Fly).
M_Olson,1434,R Nolasco,3830,2016-09-27,Matt Olson flied out to right (Fly).
M_Olson,1434,D Altavilla,1650,2016-10-02,Matt Olson fouled out to third (Fly).
M_Olson,1434,J Valdez,1447,2016-09-28,Matt Olson grounded out to first (Grounder).
M_Olson,1434,B Peacock,5401,2016-09-19,Matt Olson grounded out to shortstop (Grounder).
M_Olson,1434,R Nolasco,3830,2016-09-27,Matt Olson grounded out to second (Grounder).
M_Olson,1434,E Volquez,3990,2016-09-15,Matt Olson struck out swinging.
M_Olson,1434,P Venditte,7108,2016-10-02,Matt Olson grounded into a double play to second (Grounder). Brett Eibner out at second.
