playername,playerid,vsname,vsid,date,Play
M_Reynolds,7619,S Bracho,1505,2016-06-26,Mark Reynolds homered (Fly). Trevor Story scored.
M_Reynolds,7619,Y Gallardo,8173,2016-07-25,Mark Reynolds singled to center (Grounder). David Dahl scored.
M_Reynolds,7619,J Johnson,3656,2016-07-16,Mark Reynolds reached on fielder's choice and error to shortstop (Grounder). Trevor Story scored on error. Mark Reynolds advanced to 2B. Error by Erick Aybar.
M_Reynolds,7619,J Cosart,1030,2016-09-18,Mark Reynolds homered (Fliner (Fly)). David Dahl scored.
M_Reynolds,7619,S Matz,1336,2016-07-29,Mark Reynolds doubled to center (Liner). Trevor Story advanced to 3B.
M_Reynolds,7619,B Stewart,1672,2016-08-03,Mark Reynolds homered (Fly). David Dahl scored.
M_Reynolds,7619,D Hudson,7146,2016-06-23,Mark Reynolds singled to center (Liner). Ryan Raburn advanced to 3B.
M_Reynolds,7619,A Cashner,8782,2016-06-04,Mark Reynolds homered (Fly).
M_Reynolds,7619,W Chen,1307,2016-06-18,Mark Reynolds walked. Nolan Arenado scored. Trevor Story advanced to 3B. Ryan Raburn advanced to 2B.
M_Reynolds,7619,R Ray,1148,2016-05-11,Mark Reynolds singled to right (Liner). Trevor Story scored. Nolan Arenado advanced to 3B.
M_Reynolds,7619,M Bumgarner,5524,2016-05-28,Mark Reynolds walked. Nolan Arenado advanced to 3B. Carlos Gonzalez advanced to 2B.
M_Reynolds,7619,A Morgan,1258,2016-07-07,Mark Reynolds homered (Fly).
M_Reynolds,7619,M Bumgarner,5524,2016-05-06,Mark Reynolds singled to left (Liner). Nolan Arenado scored.
M_Reynolds,7619,S Kazmir,4897,2016-04-22,Mark Reynolds singled to right (Fliner (Liner)). Nolan Arenado advanced to 3B.
M_Reynolds,7619,M Foltynewicz,1081,2016-07-16,Mark Reynolds walked. Ryan Raburn advanced to 2B.
M_Reynolds,7619,T Rosenthal,1074,2016-05-18,Mark Reynolds walked.
M_Reynolds,7619,J Eickhoff,1266,2016-07-09,Mark Reynolds walked. Nolan Arenado scored. Trevor Story advanced to 3B. Daniel Descalso advanced to 2B.
M_Reynolds,7619,M Cain,4732,2016-04-14,Mark Reynolds doubled to center (Fliner (Fly)).
M_Reynolds,7619,A Wainwright,2233,2016-05-18,Mark Reynolds doubled to left (Grounder).
M_Reynolds,7619,Z Greinke,1943,2016-06-23,Mark Reynolds homered (Fly).
M_Reynolds,7619,J Chavez,5448,2016-06-27,Mark Reynolds walked. Cristhian Adames scored. Nolan Arenado advanced to 3B. Carlos Gonzalez advanced to 2B.
M_Reynolds,7619,M Estrada,1118,2016-06-27,Mark Reynolds doubled to left (Fliner (Liner)).
M_Reynolds,7619,C Heston,1030,2016-04-14,Mark Reynolds doubled to center (Fliner (Fly)). Carlos Gonzalez scored. Nolan Arenado scored. Gerardo Parra scored.
M_Reynolds,7619,S Wright,8185,2016-05-25,Mark Reynolds singled to center (Fliner (Liner)). Carlos Gonzalez advanced to 3B.
M_Reynolds,7619,H Cervenka,1051,2016-07-21,Mark Reynolds homered (Fly).
M_Reynolds,7619,G Kontos,9486,2016-07-05,Mark Reynolds singled to right (Liner).
M_Reynolds,7619,J Locke,2929,2016-04-25,Mark Reynolds doubled to right (Liner).
M_Reynolds,7619,T Cingrani,1255,2016-04-20,Mark Reynolds walked. Gerardo Parra advanced to 2B.
M_Reynolds,7619,A Sanchez,1149,2016-06-29,Mark Reynolds singled to right (Fliner (Liner)).
M_Reynolds,7619,A Claudio,1289,2016-08-09,Mark Reynolds singled to center (Grounder). Nolan Arenado scored. Gerardo Parra advanced to 3B.
M_Reynolds,7619,A Liberatore,1063,2016-07-01,Mark Reynolds walked.
M_Reynolds,7619,J Teheran,6797,2016-07-22,Mark Reynolds singled to third (Grounder).
