playername,playerid,vsname,vsid,date,Play
M_Roth,1373,X Bogaerts,1216,2016-07-04,Xander Bogaerts reached on fielder's choice to third (Grounder). Dustin Pedroia out at second.
M_Roth,1373,D Ortiz,745&,2016-07-04,David Ortiz flied out to center (Fly).
M_Roth,1373,M Betts,1361,2016-07-04,Mookie Betts reached on fielder's choice to shortstop (Grounder). Sandy Leon out at second.
M_Roth,1373,J Bradley Jr.,1298,2016-07-04,Jackie Bradley Jr. grounded out to first (Grounder).
M_Roth,1373,B Holt,9345,2016-07-04,Brock Holt struck out looking.
M_Roth,1373,X Bogaerts,1216,2016-07-04,Xander Bogaerts grounded out to third (Grounder).
M_Roth,1373,S Leon,5273,2016-07-04,Sandy Leon doubled to left (Grounder).
M_Roth,1373,M Betts,1361,2016-07-04,Mookie Betts homered (Fliner (Fly)). Sandy Leon scored.
M_Roth,1373,M Betts,1361,2016-07-04,Mookie Betts walked.
M_Roth,1373,H Ramirez,8001,2016-07-04,Hanley Ramirez doubled to left (Fliner (Fly)).
M_Roth,1373,J Bradley Jr.,1298,2016-07-04,Jackie Bradley Jr. hit a ground rule double (Fly). Hanley Ramirez scored.
