playername,playerid,vsname,vsid,date,Play
M_Sano,1216,Y Petit,4020,2016-04-24,Miguel Sano singled to center (Grounder). Eduardo Nunez scored. Brian Dozier advanced to 3B.
M_Sano,1216,M Andriese,1202,2016-08-07,Miguel Sano homered (Fly). Robbie Grossman scored. Max Kepler scored.
M_Sano,1216,C Hamels,4972,2016-07-08,Miguel Sano homered (Fly). Eduardo Nunez scored. Robbie Grossman scored.
M_Sano,1216,J Colon,4920,2016-07-16,Miguel Sano doubled to center (Fliner (Fly)). Joe Mauer advanced to 3B.
M_Sano,1216,H Hembree,1163,2016-07-22,Miguel Sano doubled to center (Fliner (Liner)). Joe Mauer scored. Brian Dozier advanced to 3B.
M_Sano,1216,G Richards,9784,2016-04-15,Miguel Sano doubled to left (Fliner (Liner)). Eduardo Nunez scored.
M_Sano,1216,J Manship,6865,2016-07-16,Miguel Sano reached on fielder's choice and error to first (Grounder). Eduardo Nunez scored on error. Joe Mauer advanced to 2B on error. Error by Carlos Santana.
M_Sano,1216,J Quintana,1142,2016-07-29,Miguel Sano doubled to center (Liner). Brian Dozier advanced to 3B.
M_Sano,1216,D Robertson,8241,2016-09-04,Miguel Sano walked.
M_Sano,1216,J Tomlin,9388,2016-04-27,Miguel Sano hit a ground rule double (Fly). Danny Santana scored. Joe Mauer advanced to 3B.
M_Sano,1216,E Ramirez,1031,2016-08-05,Miguel Sano homered (Fliner (Fly)).
M_Sano,1216,E Volquez,3990,2016-04-10,Miguel Sano singled to right (Liner). Eddie Rosario scored. Joe Mauer advanced to 2B.
M_Sano,1216,H Hembree,1163,2016-07-23,Miguel Sano homered (Fly).
M_Sano,1216,F Hernandez,4772,2016-05-27,Miguel Sano homered (Fly).
M_Sano,1216,M Clevinger,1280,2016-09-10,Miguel Sano homered (Fly).
M_Sano,1216,M Fulmer,1321,2016-04-29,Miguel Sano doubled to center (Fliner (Liner)). Brian Dozier scored.
M_Sano,1216,M Fiers,7754,2016-08-09,Miguel Sano homered (Fliner (Fly)).
M_Sano,1216,J Tomlin,9388,2016-05-13,Miguel Sano homered (Fly).
