playername,playerid,vsname,vsid,date,Play
M_Socolovich,6697,M Pina,2829,2016-08-29,Manny Pina struck out looking.
M_Socolovich,6697,O Arcia,1318,2016-08-29,Orlando Arcia struck out swinging.
M_Socolovich,6697,C Carter,9911,2016-08-29,Chris Carter struck out swinging.
M_Socolovich,6697,K Broxton,9253,2016-09-08,Keon Broxton struck out swinging.
M_Socolovich,6697,W Myers,1004,2016-07-21,Wil Myers flied out to right (Fly).
M_Socolovich,6697,O Arcia,1318,2016-08-31,Orlando Arcia grounded out to third (Grounder).
M_Socolovich,6697,J Stallings,1372,2016-10-01,Jacob Stallings grounded out to third (Grounder).
M_Socolovich,6697,M Moore,1890,2016-09-16,Matt Moore struck out swinging.
M_Socolovich,6697,M Garza,3340,2016-08-31,Matt Garza grounded out to second (Grounder).
M_Socolovich,6697,J Heyward,4940,2016-09-12,Jason Heyward flied out to center (Fliner (Fly)).
M_Socolovich,6697,J Baez,1297,2016-09-12,Javier Baez flied out to center (Fly).
M_Socolovich,6697,Y Alonso,2530,2016-08-28,Yonder Alonso grounded out to second (Grounder).
M_Socolovich,6697,D Fowler,4062,2016-09-12,Dexter Fowler struck out swinging.
M_Socolovich,6697,A Barnes,1215,2016-07-23,Austin Barnes flied out to second (Fly).
M_Socolovich,6697,C Coghlan,6878,2016-09-23,Chris Coghlan grounded out to second (Grounder).
M_Socolovich,6697,A Toles,1341,2016-07-23,Andrew Toles struck out swinging.
M_Socolovich,6697,M Montero,3364,2016-09-23,Miguel Montero grounded out to first (Grounder).
M_Socolovich,6697,J Bell,1314,2016-09-05,Josh Bell hit a sacrifice fly to center (Fly). Jordy Mercer scored.
M_Socolovich,6697,A Pagan,2918,2016-09-15,Angel Pagan flied out to right (Fliner (Fly)).
M_Socolovich,6697,S Rodriguez,6589,2016-09-05,Sean Rodriguez grounded out to third (Grounder).
M_Socolovich,6697,J Kang,1718,2016-09-30,Jung Ho Kang struck out swinging.
M_Socolovich,6697,B Posey,9166,2016-09-15,Buster Posey flied out to left (Fliner (Fly)).
M_Socolovich,6697,E Fryer,8145,2016-09-05,Eric Fryer grounded out to pitcher (Grounder).
M_Socolovich,6697,A Hanson,1292,2016-09-05,Alen Hanson flied out to center (Fly).
M_Socolovich,6697,J Rogers,1177,2016-09-05,Jason Rogers struck out looking.
M_Socolovich,6697,C Blackmon,7859,2016-09-21,Charlie Blackmon flied out to shortstop (Fly).
M_Socolovich,6697,S Rodriguez,6589,2016-09-30,Sean Rodriguez grounded out to third (Grounder).
M_Socolovich,6697,S Marte,9241,2016-09-05,Starling Marte singled to second (Grounder).
M_Socolovich,6697,J Mercer,6547,2016-09-05,Jordy Mercer tripled to left (Fliner (Liner)).
M_Socolovich,6697,R Schimpf,9953,2016-07-21,Ryan Schimpf advanced on a stolen base to 2B.
M_Socolovich,6697,J Villar,1007,2016-09-08,Jonathan Villar advanced on a stolen base to 2B.
M_Socolovich,6697,R Schimpf,9953,2016-07-21,Ryan Schimpf walked.
M_Socolovich,6697,B Hamilton,1019,2016-09-03,Billy Hamilton advanced on a stolen base to 2B.
M_Socolovich,6697,Y Solarte,5352,2016-07-21,Yangervis Solarte homered (Fly).
