playername,playerid,vsname,vsid,date,Play
M_Strahm,1379,M Napoli,3057,2016-10-01,Mike Napoli grounded into a double play to second (Grounder). Francisco Lindor out at second.
M_Strahm,1379,D Gordon,8203,2016-08-25,Dee Gordon grounded out to shortstop (Grounder).
M_Strahm,1379,D Jennings,1965,2016-08-02,Desmond Jennings struck out swinging.
M_Strahm,1379,A Eaton,1120,2016-09-10,Adam Eaton lined out to shortstop (Liner).
M_Strahm,1379,R Nunez,1450,2016-09-13,Renato Nunez flied out to third (Fliner (Fly)).
M_Strahm,1379,G Sanchez,1144,2016-08-30,Gary Sanchez flied out to center (Fly).
M_Strahm,1379,M Ozuna,1032,2016-08-25,Marcell Ozuna struck out swinging.
M_Strahm,1379,M Kepler,1214,2016-08-19,Max Kepler struck out looking.
M_Strahm,1379,A Judge,1564,2016-08-31,Aaron Judge struck out swinging.
M_Strahm,1379,C McGehee,6086,2016-08-17,Casey McGehee flied out to right (Fliner (Fly)).
M_Strahm,1379,A Hechavarria,1045,2016-08-23,Adeiny Hechavarria struck out swinging.
M_Strahm,1379,V Martinez,393&,2016-08-17,Victor Martinez flied out to right (Fly).
M_Strahm,1379,B Gardner,9927,2016-08-31,Brett Gardner grounded out to third (Grounder).
M_Strahm,1379,M Prado,3312,2016-08-25,Martin Prado flied out to left (Fliner (Fly)).
M_Strahm,1379,D Ortiz,745&,2016-08-28,David Ortiz grounded into a double play to second (Grounder). Xander Bogaerts out at second.
M_Strahm,1379,S Castro,4579,2016-08-30,Starlin Castro flied out to right (Fliner (Liner)).
M_Strahm,1379,C Johnson,1191,2016-08-23,Chris Johnson struck out swinging.
M_Strahm,1379,T Frazier,785&,2016-08-09,Todd Frazier struck out swinging.
M_Strahm,1379,C Maybin,5223,2016-09-24,Cameron Maybin reached on fielder's choice to shortstop (Grounder). Ian Kinsler out at second.
M_Strahm,1379,D Navarro,3179,2016-08-09,Dioner Navarro struck out swinging.
M_Strahm,1379,R Rua,1240,2016-07-31,Ryan Rua struck out swinging.
M_Strahm,1379,T Saladino,1080,2016-08-09,Tyler Saladino struck out swinging.
M_Strahm,1379,M Cabrera,4022,2016-08-09,Melky Cabrera grounded out to shortstop (Grounder).
M_Strahm,1379,L Garcia,5913,2016-09-16,Leury Garcia struck out looking.
M_Strahm,1379,J Polanco,1315,2016-09-28,Jorge Polanco flied out to center (Fly).
M_Strahm,1379,A Eaton,1120,2016-08-09,Adam Eaton struck out swinging.
M_Strahm,1379,R Grossman,5254,2016-08-12,Robbie Grossman flied out to center (Fliner (Liner)).
M_Strahm,1379,B Dozier,9810,2016-08-12,Brian Dozier flied out to left (Fliner (Liner)).
M_Strahm,1379,J Bradley Jr.,1298,2016-08-28,Jackie Bradley Jr. flied out to shortstop (Fly).
M_Strahm,1379,H Ramirez,8001,2016-08-28,Hanley Ramirez grounded out to shortstop (Grounder).
M_Strahm,1379,J Mauer,1857,2016-08-12,Joe Mauer struck out swinging.
M_Strahm,1379,J Ramirez,1351,2016-09-21,Jose Ramirez walked.
M_Strahm,1379,C Headley,4720,2016-08-31,Chase Headley was intentionally walked.
M_Strahm,1379,C Maybin,5223,2016-09-24,Cameron Maybin advanced on a passed ball to 2B. Passed ball by Salvador Perez.
M_Strahm,1379,M Moreland,3086,2016-07-31,Mitch Moreland advanced on a wild pitch to 2B.
M_Strahm,1379,C Yelich,1147,2016-08-25,Christian Yelich advanced on error to 2B. Error by Salvador Perez.
M_Strahm,1379,M Kepler,1214,2016-08-12,Max Kepler singled to center (Liner).
M_Strahm,1379,D Gordon,8203,2016-08-23,Dee Gordon singled to left (Liner).
M_Strahm,1379,I Kinsler,6195,2016-09-24,Ian Kinsler walked.
M_Strahm,1379,J Morneau,1737,2016-08-09,Justin Morneau singled to left (Fliner (Liner)).
M_Strahm,1379,C Yelich,1147,2016-08-25,Christian Yelich singled to left (Grounder).
M_Strahm,1379,J Martinez,6184,2016-08-17,J.D. Martinez singled to third (Grounder).
M_Strahm,1379,J Kipnis,9776,2016-09-21,Jason Kipnis doubled to left (Fliner (Fly)).
M_Strahm,1379,B McCann,4810,2016-08-31,Brian McCann hit a sacrifice fly to left (Fly). Didi Gregorius scored. Starlin Castro advanced to 3B.
M_Strahm,1379,N Franklin,1016,2016-08-04,Nick Franklin walked. Steven Souza Jr. advanced to 2B.
M_Strahm,1379,J Martinez,6184,2016-09-24,J.D. Martinez singled to left (Grounder). Cameron Maybin scored. Victor Martinez advanced to 2B.
