playername,playerid,vsname,vsid,date,Play
M_Upton,5015,K Jansen,3096,2016-05-20,Melvin Upton Jr. homered (Fliner (Fly)). Wil Myers scored.
M_Upton,5015,R de la Rosa,3862,2016-04-16,Melvin Upton Jr. homered (Fly). Wil Myers scored.
M_Upton,5015,K Jansen,3096,2016-05-22,Melvin Upton Jr. tripled to right (Fliner (Liner)). Wil Myers scored.
M_Upton,5015,D Betances,6216,2016-09-06,Melvin Upton Jr. singled to first (Grounder). Josh Donaldson scored. Ezequiel Carrera advanced to 3B. Darwin Barney advanced to 2B.
M_Upton,5015,C Sabathia,404&,2016-08-17,Melvin Upton Jr. homered (Fliner (Fly)). Edwin Encarnacion scored. Russell Martin scored.
M_Upton,5015,M Leake,1013,2016-04-24,Melvin Upton Jr. singled to left (Grounder). Jon Jay scored.
M_Upton,5015,P Corbin,9323,2016-04-17,Melvin Upton Jr. tripled to center (Fliner (Liner)). Matt Kemp scored.
M_Upton,5015,D Betances,6216,2016-09-25,Melvin Upton Jr. walked.
M_Upton,5015,S Miller,1019,2016-07-06,Melvin Upton Jr. doubled to center (Fliner (Fly)). Matt Kemp scored. Yangervis Solarte advanced to 3B.
M_Upton,5015,A Liberatore,1063,2016-05-22,Melvin Upton Jr. singled to third (Grounder). Yangervis Solarte advanced to 3B on error. Melvin Upton Jr. out. Error by Howie Kendrick.
M_Upton,5015,J Tomlin,9388,2016-08-20,Melvin Upton Jr. homered (Fly). Michael Saunders scored.
M_Upton,5015,O Drake,8823,2016-06-21,Derek Norris advanced on a wild pitch to 2B. Melvin Upton Jr. scored. Ryan Schimpf advanced to 3B.
M_Upton,5015,C Kluber,2429,2016-08-21,Melvin Upton Jr. homered (Fliner (Fly)).
M_Upton,5015,U Jimenez,3374,2016-06-28,Melvin Upton Jr. homered (Fly).
M_Upton,5015,M Lorenzen,1484,2016-06-24,Melvin Upton Jr. homered (Fliner (Fly)). Yangervis Solarte scored.
M_Upton,5015,H Ryu,1444,2016-07-07,Melvin Upton Jr. homered (Fly).
M_Upton,5015,J Paxton,1182,2016-06-01,Melvin Upton Jr. reached on fielder's choice and error to pitcher (Grounder). Matt Kemp scored on error. Yangervis Solarte advanced to 3B on error. Error by James Paxton.
M_Upton,5015,R Ray,1148,2016-05-27,Melvin Upton Jr. singled to center (Fliner (Liner)). Jon Jay scored. Wil Myers advanced to 3B.
M_Upton,5015,H Strickland,7836,2016-04-25,Melvin Upton Jr. singled to right (Liner). Matt Kemp advanced to 3B.
M_Upton,5015,J Cueto,6893,2016-04-26,Melvin Upton Jr. singled to right (Fliner (Liner)). Wil Myers advanced to 3B.
M_Upton,5015,B Ziegler,7293,2016-04-16,Melvin Upton Jr. singled to shortstop (Grounder).
M_Upton,5015,T Chatwood,4338,2016-06-11,Melvin Upton Jr. singled to right (Fliner (Liner)). Matt Kemp scored.
M_Upton,5015,C Morton,4676,2016-04-12,Melvin Upton Jr. singled to right (Liner).
M_Upton,5015,J Teheran,6797,2016-06-08,Melvin Upton Jr. singled to right (Liner).
M_Upton,5015,P Dean,1135,2016-08-26,Melvin Upton Jr. singled to left (Fliner (Liner)). Troy Tulowitzki advanced to 2B.
M_Upton,5015,T Roark,8753,2016-06-16,Melvin Upton Jr. singled to center (Grounder).
M_Upton,5015,J Lamb,8493,2016-06-23,"Melvin Upton Jr. advanced on a stolen base to 2B, advanced to 3B on error. Error by Ramon Cabrera."
M_Upton,5015,R Porcello,2717,2016-09-09,Melvin Upton Jr. walked. Michael Saunders advanced to 2B.
M_Upton,5015,J Cueto,6893,2016-05-18,Melvin Upton Jr. walked.
M_Upton,5015,T Thornburg,1068,2016-05-12,Melvin Upton Jr. homered (Fliner (Fly)).
M_Upton,5015,J Miller,8580,2016-04-08,Melvin Upton Jr. homered (Fly). Derek Norris scored.
M_Upton,5015,C Reed,1523,2016-06-24,Melvin Upton Jr. singled to left (Liner). Matt Kemp advanced to 3B. Yangervis Solarte advanced to 2B.
M_Upton,5015,Y Ventura,1185,2016-08-07,Melvin Upton Jr. singled to right (Fliner (Fly)). Troy Tulowitzki advanced to 2B.
M_Upton,5015,W Chen,1307,2016-06-13,Melvin Upton Jr. doubled to left (Liner).
M_Upton,5015,C Morton,4676,2016-04-12,Melvin Upton Jr. walked. Matt Kemp advanced to 2B.
M_Upton,5015,J Weaver,4235,2016-08-25,Melvin Upton Jr. doubled to left (Liner).
M_Upton,5015,Z Greinke,1943,2016-04-15,Melvin Upton Jr. singled to shortstop (Grounder).
M_Upton,5015,J Weaver,4235,2016-08-25,Melvin Upton Jr. singled to center (Grounder). Kevin Pillar advanced to 3B.
M_Upton,5015,B Ziegler,7293,2016-05-28,Melvin Upton Jr. singled to center (Fliner (Liner)). Yangervis Solarte advanced to 2B.
M_Upton,5015,N Karns,1263,2016-05-30,Melvin Upton Jr. singled to left (Grounder).
M_Upton,5015,J Locke,2929,2016-04-20,Melvin Upton Jr. walked.
M_Upton,5015,C Sabathia,404&,2016-08-17,Melvin Upton Jr. walked. Troy Tulowitzki advanced to 2B.
M_Upton,5015,J Gomez,9033,2016-04-12,Melvin Upton Jr. singled to shortstop (Grounder).
M_Upton,5015,S Kazmir,4897,2016-07-08,Melvin Upton Jr. singled to center (Fliner (Liner)).
M_Upton,5015,J Lester,4930,2016-05-10,Melvin Upton Jr. homered (Fliner (Fly)).
M_Upton,5015,A Bradley,1291,2016-07-04,Melvin Upton Jr. singled to right (Liner).
M_Upton,5015,A Wood,1378,2016-05-21,Melvin Upton Jr. advanced on a passed ball to 3B. Passed ball by Yasmani Grandal.
M_Upton,5015,M Wacha,1407,2016-04-23,Melvin Upton Jr. walked.
M_Upton,5015,J Lyles,7593,2016-04-08,Melvin Upton Jr. walked. Yangervis Solarte advanced to 3B. Alexei Ramirez advanced to 2B.
M_Upton,5015,J Lyles,7593,2016-04-08,Melvin Upton Jr. singled to left (Grounder).
M_Upton,5015,C Sabathia,404&,2016-08-17,Melvin Upton Jr. singled to left (Liner).
M_Upton,5015,N Karns,1263,2016-05-30,Melvin Upton Jr. advanced on a stolen base to 2B.
M_Upton,5015,F Abad,4994,2016-09-11,Melvin Upton Jr. reached on error to third (Grounder). Troy Tulowitzki advanced to 2B on error. Error by Travis Shaw.
M_Upton,5015,C Martinez,1168,2016-07-20,Melvin Upton Jr. walked. Yangervis Solarte advanced to 2B.
M_Upton,5015,A DeSclafani,1305,2016-06-26,Melvin Upton Jr. was hit by a pitch.
M_Upton,5015,S Miller,1019,2016-04-16,Melvin Upton Jr. singled to center (Fliner (Liner)).
M_Upton,5015,C Bettis,1058,2016-04-10,Melvin Upton Jr. singled to right (Liner).
M_Upton,5015,A Schugel,1143,2016-04-19,Melvin Upton Jr. doubled to left (Fliner (Liner)).
M_Upton,5015,J Odorizzi,6397,2016-08-08,Melvin Upton Jr. singled to left (Grounder).
M_Upton,5015,J de la Rosa,2047,2016-04-09,Melvin Upton Jr. walked.
M_Upton,5015,H Strickland,7836,2016-04-25,Melvin Upton Jr. advanced on a stolen base to 2B.
M_Upton,5015,J Paxton,1182,2016-06-01,Melvin Upton Jr. advanced on a stolen base to 2B.
M_Upton,5015,T Roark,8753,2016-06-16,Melvin Upton Jr. advanced on a stolen base to 2B.
M_Upton,5015,L McCullers,1412,2016-08-02,Melvin Upton Jr. singled to right (Grounder). Devon Travis advanced to 3B.
M_Upton,5015,W Miley,8779,2016-06-02,Melvin Upton Jr. singled to left (Grounder). Yangervis Solarte advanced to 2B.
M_Upton,5015,M Blazek,9654,2016-05-14,Melvin Upton Jr. singled to center (Grounder).
M_Upton,5015,T Chatwood,4338,2016-05-04,Melvin Upton Jr. walked.
M_Upton,5015,A Wood,1378,2016-05-21,Melvin Upton Jr. advanced on a stolen base to 2B.
M_Upton,5015,J Cueto,6893,2016-05-18,Melvin Upton Jr. singled to center (Fliner (Liner)).
M_Upton,5015,E Ramirez,1031,2016-09-03,Melvin Upton Jr. walked.
M_Upton,5015,C Rusin,9895,2016-06-03,Melvin Upton Jr. walked.
M_Upton,5015,T Roark,8753,2016-07-22,Melvin Upton Jr. advanced on error to 2B. Error by Tanner Roark.
M_Upton,5015,J Gurka,8007,2016-04-09,Melvin Upton Jr. singled to right (Liner). Jabari Blash advanced to 3B. Jon Jay advanced to 2B.
M_Upton,5015,M Pineda,5372,2016-08-16,Melvin Upton Jr. singled to shortstop (Grounder).
