playername,playerid,vsname,vsid,date,Play
M_Wacha,1407,A Hill,6104,2016-07-03,Aaron Hill grounded into a double play to shortstop (Grounder). Chris Carter out at second.
M_Wacha,1407,J Turner,5235,2016-07-22,Justin Turner grounded into a double play to shortstop (Grounder). Corey Seager out at second.
M_Wacha,1407,A Rendon,1286,2016-05-29,Anthony Rendon struck out swinging.
M_Wacha,1407,K Morales,8610,2016-06-28,Kendrys Morales reached on fielder's choice to first (Grounder). Alcides Escobar out at home. Lorenzo Cain advanced to 3B. Eric Hosmer advanced to 2B.
M_Wacha,1407,C Utley,1679,2016-07-22,Chase Utley flied out to right (Fly).
M_Wacha,1407,J Lucroy,7870,2016-04-11,Jonathan Lucroy grounded into a double play to pitcher (Grounder). Ryan Braun out at second.
M_Wacha,1407,E Suarez,1255,2016-04-17,Eugenio Suarez picked off.
M_Wacha,1407,A Duvall,1095,2016-04-17,Adam Duvall grounded into a double play to third (Grounder). Devin Mesoraco out at second.
M_Wacha,1407,G Polanco,1290,2016-05-08,Gregory Polanco struck out swinging.
M_Wacha,1407,O Herrera,1147,2016-05-03,Odubel Herrera was caught stealing.
M_Wacha,1407,J Realmuto,1173,2016-07-28,J.T. Realmuto grounded out to shortstop (Grounder).
M_Wacha,1407,A Duvall,1095,2016-08-03,Adam Duvall struck out swinging.
M_Wacha,1407,E Suarez,1255,2016-08-03,Eugenio Suarez struck out looking.
M_Wacha,1407,B McCarthy,4662,2016-07-22,Brandon McCarthy reached on fielder's choice to catcher (Bunt Grounder). Yasmani Grandal out at third. Scott Van Slyke advanced to 2B.
M_Wacha,1407,A Nola,1614,2016-05-03,Aaron Nola grounded out to pitcher (Grounder).
M_Wacha,1407,C Reed,1523,2016-08-08,Cody Reed flied out to pitcher (Bunt Fly).
M_Wacha,1407,A Russell,1410,2016-05-24,Addison Russell reached on fielder's choice to first (Grounder). Anthony Rizzo out at home. Ben Zobrist advanced to 3B. Jorge Soler advanced to 2B.
M_Wacha,1407,C Utley,1679,2016-07-22,Chase Utley grounded out to second (Grounder).
M_Wacha,1407,B Zobrist,7435,2016-06-22,Ben Zobrist grounded out to second (Grounder).
M_Wacha,1407,J Bruce,9892,2016-04-17,Jay Bruce struck out looking.
M_Wacha,1407,H Kendrick,4229,2016-07-22,Howie Kendrick struck out swinging.
M_Wacha,1407,P Bourjos,2578,2016-05-03,Peter Bourjos struck out looking.
M_Wacha,1407,D Norris,6867,2016-04-23,Derek Norris grounded into a double play to pitcher (Grounder). Brett Wallace out at second.
M_Wacha,1407,S Marte,9241,2016-04-05,Starling Marte grounded into a double play to shortstop (Grounder). David Freese out at second.
M_Wacha,1407,W Merrifield,1128,2016-06-28,Whit Merrifield flied out to shortstop (Fly).
M_Wacha,1407,G Polanco,1290,2016-10-01,Gregory Polanco fouled out to first (Fly).
M_Wacha,1407,Y Grandal,1136,2016-07-22,Yasmani Grandal grounded out to second (Grounder).
M_Wacha,1407,C Carter,9911,2016-07-03,Chris Carter struck out looking.
M_Wacha,1407,R Braun,3410,2016-07-08,Ryan Braun flied out to right (Fliner (Liner)).
M_Wacha,1407,R Braun,3410,2016-07-08,Ryan Braun struck out swinging.
M_Wacha,1407,W Myers,1004,2016-04-23,Wil Myers flied out to left (Fliner (Fly)).
M_Wacha,1407,K Nieuwenhuis,6400,2016-07-08,Kirk Nieuwenhuis struck out swinging.
M_Wacha,1407,D Span,8347,2016-06-04,Denard Span flied out to right (Fly).
M_Wacha,1407,B Revere,4712,2016-05-29,Ben Revere grounded out to second (Grounder).
M_Wacha,1407,C Colon,1114,2016-06-28,Christian Colon struck out swinging.
M_Wacha,1407,J Votto,4314,2016-08-03,Joey Votto grounded out to pitcher (Grounder).
