playername,playerid,vsname,vsid,date,Play
M_Wieters,4298,J Smith,3281,2016-05-21,Matt Wieters homered (Fly). Chris Davis scored. Nolan Reimold scored.
M_Wieters,4298,D Hudson,7146,2016-09-23,Matt Wieters homered (Fliner (Fly)).
M_Wieters,4298,K Jepsen,6475,2016-04-04,Matt Wieters singled to center (Grounder). Chris Davis scored. Mark Trumbo advanced to 2B.
M_Wieters,4298,D Duffy,3542,2016-06-06,Matt Wieters homered (Fliner (Fly)).
M_Wieters,4298,M Stroman,1343,2016-04-19,Matt Wieters homered (Fliner (Fly)). Mark Trumbo scored.
M_Wieters,4298,B Boxberger,1013,2016-09-16,Matt Wieters was hit by a pitch. Jonathan Schoop advanced to 3B. Nolan Reimold advanced to 2B.
M_Wieters,4298,N Eovaldi,9132,2016-06-03,Matt Wieters singled to left (Fliner (Liner)). Hyun Soo Kim scored. Chris Davis scored. Mark Trumbo advanced to 2B.
M_Wieters,4298,C Hamels,4972,2016-08-03,Matt Wieters singled to center (Grounder). Mark Trumbo scored. Chris Davis scored. Steve Pearce advanced to 2B.
M_Wieters,4298,B Snell,1354,2016-09-15,Matt Wieters singled to left (Fliner (Fly)). Adam Jones scored. Manny Machado scored. Mark Trumbo advanced to 2B.
M_Wieters,4298,T Walker,1183,2016-05-18,Matt Wieters doubled to left (Fly). Mark Trumbo scored.
M_Wieters,4298,J Berrios,1416,2016-05-10,Matt Wieters singled to right (Grounder). Mark Trumbo scored. Matt Wieters advanced to 2B on error. Error by Kurt Suzuki.
M_Wieters,4298,J Zimmermann,4505,2016-09-10,Matt Wieters homered (Fliner (Fly)). Pedro Alvarez scored.
M_Wieters,4298,S Feldman,6283,2016-05-24,Matt Wieters doubled to left (Grounder).
M_Wieters,4298,M Cain,4732,2016-08-12,Matt Wieters doubled to right (Liner). Jonathan Schoop scored.
M_Wieters,4298,A Sanchez,1149,2016-06-12,Matt Wieters homered (Fly).
M_Wieters,4298,R Lopez,1640,2016-08-23,Matt Wieters doubled to right (Fliner (Liner)). Pedro Alvarez scored.
M_Wieters,4298,C McHugh,7531,2016-08-19,Jonathan Schoop advanced on a wild pitch to 3B. Matt Wieters scored.
M_Wieters,4298,J Grilli,521&,2016-07-31,Matt Wieters walked.
M_Wieters,4298,J Gray,1491,2016-07-27,Matt Wieters doubled to right (Fliner (Liner)).
M_Wieters,4298,R Buchter,9456,2016-06-21,Matt Wieters walked. J.J. Hardy advanced to 3B. Ryan Flaherty advanced to 2B.
M_Wieters,4298,D Farquhar,8501,2016-06-25,Matt Wieters homered (Fliner (Fly)).
M_Wieters,4298,E Johnson,1252,2016-06-22,Matt Wieters singled to center (Grounder). Mark Trumbo scored.
M_Wieters,4298,F Liriano,3201,2016-09-28,Matt Wieters singled to left (Grounder).
M_Wieters,4298,C Buchholz,3543,2016-09-21,Matt Wieters sacrifice fielder's choice to catcher (Bunt Grounder). Jonathan Schoop advanced to 2B.
M_Wieters,4298,C Rodon,1613,2016-04-29,Matt Wieters singled to center (Grounder).
M_Wieters,4298,M Barnes,1286,2016-06-01,Matt Wieters singled to center (Fliner (Liner)). Hyun Soo Kim scored. Chris Davis scored. Joey Rickard advanced to 3B.
M_Wieters,4298,M Montgomery,4869,2016-07-01,Matt Wieters singled to left (Fliner (Liner)).
M_Wieters,4298,M Estrada,1118,2016-04-21,Matt Wieters singled to center (Liner).
M_Wieters,4298,J Odorizzi,6397,2016-09-06,Matt Wieters walked. Chris Davis advanced to 2B.
M_Wieters,4298,M Pineda,5372,2016-09-04,Matt Wieters was hit by a pitch. Steve Pearce advanced to 2B.
M_Wieters,4298,A Sanchez,1149,2016-08-31,Matt Wieters singled to left (Liner).
M_Wieters,4298,J Cueto,6893,2016-08-14,Matt Wieters singled to left (Grounder).
M_Wieters,4298,L Severino,1589,2016-05-03,Matt Wieters singled to center (Grounder).
M_Wieters,4298,J Urias,1476,2016-07-04,Matt Wieters singled to left (Fliner (Liner)).
M_Wieters,4298,T Roark,8753,2016-08-24,Matt Wieters doubled to center (Fly). Jonathan Schoop advanced to 3B.
M_Wieters,4298,C McHugh,7531,2016-05-25,Matt Wieters singled to right (Fliner (Liner)).
M_Wieters,4298,B Treinen,1257,2016-08-24,Matt Wieters homered (Fly). Mark Trumbo scored. Jonathan Schoop scored.
M_Wieters,4298,M Shoemaker,4776,2016-05-21,Matt Wieters doubled to left (Fliner (Liner)).
M_Wieters,4298,C McHugh,7531,2016-05-25,Matt Wieters singled to second (Fliner (Liner)).
M_Wieters,4298,I Nova,1994,2016-07-18,Matt Wieters was hit by a pitch. Adam Jones advanced to 3B. Mark Trumbo advanced to 2B.
M_Wieters,4298,M Tanaka,1576,2016-05-05,Matt Wieters singled to left (Fliner (Liner)).
M_Wieters,4298,J Verlander,8700,2016-05-13,Matt Wieters singled to left (Liner).
M_Wieters,4298,E Rodriguez,1316,2016-06-16,Matt Wieters walked.
