playername,playerid,vsname,vsid,date,Play
M_Zunino,1326,A Swarzak,7466,2016-08-22,Mike Zunino homered (Fly). Robinson Cano scored. Kyle Seager scored.
M_Zunino,1326,L Hendriks,3548,2016-09-29,Mike Zunino homered (Fly).
M_Zunino,1326,Z Duke,3840,2016-07-20,Mike Zunino homered (Fly). Adam Lind scored.
M_Zunino,1326,F Rodriguez,1642,2016-08-09,Mike Zunino hit a sacrifice fly to center (Fly). Adam Lind scored.
M_Zunino,1326,D Coulombe,1329,2016-09-09,Mike Zunino homered (Fly).
M_Zunino,1326,R Porcello,2717,2016-08-03,Mike Zunino homered (Fly).
M_Zunino,1326,J Arrieta,4153,2016-07-30,Mike Zunino walked.
M_Zunino,1326,C Hamels,4972,2016-08-30,Mike Zunino walked. Franklin Gutierrez scored. Kyle Seager advanced to 3B. Leonys Martin advanced to 2B.
M_Zunino,1326,M Bush,1246,2016-08-30,Mike Zunino walked.
M_Zunino,1326,R Nolasco,3830,2016-08-15,Mike Zunino singled to left (Grounder). Kyle Seager scored. Adam Lind advanced to 2B.
M_Zunino,1326,A Ranaudo,1142,2016-08-25,Mike Zunino walked. Nelson Cruz advanced to 3B. Adam Lind advanced to 2B.
M_Zunino,1326,B Hardy,6499,2016-08-09,Mike Zunino singled to left (Grounder).
M_Zunino,1326,C Sabathia,404&,2016-08-23,Mike Zunino walked.
M_Zunino,1326,W Peralta,7738,2016-08-20,Mike Zunino homered (Fly).
M_Zunino,1326,M Shoemaker,4776,2016-08-07,Mike Zunino was hit by a pitch.
M_Zunino,1326,J Happ,7410,2016-07-24,Mike Zunino walked.
M_Zunino,1326,S Manaea,1587,2016-08-12,Mike Zunino walked.
M_Zunino,1326,D Pomeranz,1142,2016-08-04,Mike Zunino walked. Dae-Ho Lee advanced to 2B.
M_Zunino,1326,J Nathan,1122,2016-07-31,Mike Zunino doubled to left (Liner). Dae-Ho Lee advanced to 3B.
M_Zunino,1326,J Ramirez,8302,2016-08-16,Mike Zunino reached on error to pitcher (Grounder). Mike Zunino advanced to 2B. Error by J.C. Ramirez.
M_Zunino,1326,R Tepera,1029,2016-09-21,Mike Zunino walked.
M_Zunino,1326,R Nolasco,3830,2016-08-15,Mike Zunino singled to center (Fliner (Liner)). Adam Lind advanced to 2B.
M_Zunino,1326,P Strop,4070,2016-07-31,Mike Zunino doubled to left (Grounder).
M_Zunino,1326,M Shoemaker,4776,2016-08-07,Mike Zunino was hit by a pitch. Adam Lind advanced to 2B.
M_Zunino,1326,S Manaea,1587,2016-08-12,Mike Zunino was hit by a pitch.
M_Zunino,1326,R Nolasco,3830,2016-09-12,Mike Zunino was hit by a pitch.
M_Zunino,1326,C Sabathia,404&,2016-08-23,Mike Zunino advanced on a wild pitch to 2B.
M_Zunino,1326,J Wilson,4301,2016-08-10,Mike Zunino walked. Kyle Seager advanced to 2B.
M_Zunino,1326,Z Neal,1129,2016-08-14,Mike Zunino singled to left (Liner).
M_Zunino,1326,J Axford,9059,2016-09-09,Mike Zunino walked.
M_Zunino,1326,R Madson,1852,2016-09-29,Ketel Marte advanced on a passed ball to 2B. Passed ball by Stephen Vogt.
M_Zunino,1326,R Scahill,9286,2016-08-20,Mike Zunino doubled to center (Fliner (Liner)). Kyle Seager scored. Adam Lind scored.
M_Zunino,1326,D Alvarez,1423,2016-09-05,Mike Zunino walked.
M_Zunino,1326,A Albers,7853,2016-09-23,Mike Zunino fouled out to right (Fly).
M_Zunino,1326,P Neshek,4682,2016-09-28,Mike Zunino struck out swinging.
M_Zunino,1326,N Martinez,1273,2016-09-07,Mike Zunino struck out swinging.
