playername,playerid,vsname,vsid,date,Play
N_Arenado,9777,C Gearrin,7947,2016-07-05,Nolan Arenado homered (Fliner (Fly)). Nick Hundley scored. DJ LeMahieu scored.
N_Arenado,9777,B Ziegler,7293,2016-06-24,Nolan Arenado hit a ground rule double (Fliner (Fly)).
N_Arenado,9777,E Burgos,3895,2016-09-02,Nolan Arenado singled to left (Liner). Charlie Blackmon scored. DJ LeMahieu advanced to 2B.
N_Arenado,9777,D Storen,6983,2016-06-27,Nolan Arenado singled to left (Fliner (Liner)). Brandon Barnes scored. Charlie Blackmon scored. Cristhian Adames advanced to 2B.
N_Arenado,9777,H Strickland,7836,2016-05-28,Nolan Arenado doubled to center (Fly). Gerardo Parra scored. Charlie Blackmon scored.
N_Arenado,9777,M Cain,4732,2016-05-05,Nolan Arenado homered (Fly). Carlos Gonzalez scored.
N_Arenado,9777,C Anderson,6895,2016-08-23,Nolan Arenado homered (Fliner (Fly)). Charlie Blackmon scored. David Dahl scored.
N_Arenado,9777,G Cole,1312,2016-05-20,Nolan Arenado homered (Fly).
N_Arenado,9777,I Nova,1994,2016-06-15,Nolan Arenado homered (Fliner (Fly)). DJ LeMahieu scored.
N_Arenado,9777,J Hammel,4538,2016-08-21,Nolan Arenado homered (Fliner (Fly)). David Dahl scored. DJ LeMahieu scored.
N_Arenado,9777,J Peavy,1051,2016-04-13,Nolan Arenado homered (Fliner (Fly)). Carlos Gonzalez scored.
N_Arenado,9777,L Perdomo,1468,2016-06-10,Nolan Arenado homered (Fliner (Fly)). DJ LeMahieu scored.
N_Arenado,9777,T Thornburg,1068,2016-10-02,Nolan Arenado singled to center (Fliner (Liner)).
N_Arenado,9777,D Hudson,7146,2016-06-24,Nolan Arenado doubled to center (Fliner (Fly)). DJ LeMahieu scored.
N_Arenado,9777,S Bracho,1505,2016-04-04,Nolan Arenado homered (Fly). Charlie Blackmon scored. Carlos Gonzalez scored.
N_Arenado,9777,Y Gallardo,8173,2016-07-25,Nolan Arenado homered (Fly).
N_Arenado,9777,C Heston,1030,2016-04-14,Nolan Arenado doubled to left (Fliner (Fly)). Jorge de la Rosa scored. DJ LeMahieu scored. Carlos Gonzalez advanced to 3B.
N_Arenado,9777,J Osich,1152,2016-04-13,Nolan Arenado homered (Fly). Charlie Blackmon scored. Trevor Story scored.
N_Arenado,9777,J Samardzija,3254,2016-05-08,Nolan Arenado tripled to center (Fly). Trevor Story scored.
N_Arenado,9777,J Cueto,6893,2016-09-29,Nolan Arenado doubled to left (Grounder). Charlie Blackmon scored.
N_Arenado,9777,J Gomez,9033,2016-07-08,Nolan Arenado singled to right (Grounder).
N_Arenado,9777,N Wittgren,1559,2016-08-07,Nolan Arenado doubled to left (Fliner (Liner)). DJ LeMahieu scored.
N_Arenado,9777,Z Davies,1318,2016-08-24,Nolan Arenado homered (Fliner (Fly)).
N_Arenado,9777,J Locke,2929,2016-06-09,Nolan Arenado doubled to left (Liner). Dustin Garneau scored. DJ LeMahieu scored.
N_Arenado,9777,W Chen,1307,2016-06-18,Nolan Arenado doubled to left (Fliner (Fly)). Carlos Gonzalez advanced to 3B.
N_Arenado,9777,A Bradley,1291,2016-09-04,Nolan Arenado tripled to left (Fliner (Fly)).
N_Arenado,9777,R Stripling,1327,2016-08-31,Nolan Arenado doubled to left (Fliner (Liner)). DJ LeMahieu scored.
N_Arenado,9777,G Cole,1312,2016-04-26,Nolan Arenado homered (Fliner (Fly)).
N_Arenado,9777,C Hamels,4972,2016-08-08,Nolan Arenado homered (Fly).
N_Arenado,9777,S Miller,1019,2016-05-01,Nolan Arenado singled to right (Fliner (Liner)). Carlos Gonzalez scored.
N_Arenado,9777,J Urias,1476,2016-06-07,Nolan Arenado doubled to center (Fliner (Fly)). DJ LeMahieu scored.
N_Arenado,9777,C Withrow,7161,2016-07-17,Nolan Arenado singled to center (Fliner (Liner)).
N_Arenado,9777,I Nova,1994,2016-06-15,Nolan Arenado singled to left (Liner). DJ LeMahieu scored.
N_Arenado,9777,F Rodney,494&,2016-08-05,Nolan Arenado reached on fielder's choice to shortstop (Grounder). DJ LeMahieu scored. Carlos Gonzalez out at second. Nolan Arenado advanced to 2B on error. Error by Dee Gordon.
N_Arenado,9777,J Shields,7059,2016-05-02,Nolan Arenado singled to center (Liner). Carlos Gonzalez advanced to 2B.
N_Arenado,9777,K Lobstein,9178,2016-04-27,Nolan Arenado singled to left (Liner).
N_Arenado,9777,P Corbin,9323,2016-06-26,Nolan Arenado singled to left (Fliner (Liner)). DJ LeMahieu advanced to 3B on error. Nolan Arenado Error by Rickie Weeks Jr..
N_Arenado,9777,Z Greinke,1943,2016-06-23,Nolan Arenado walked. DJ LeMahieu advanced to 2B.
N_Arenado,9777,A Griffin,1113,2016-08-09,Nolan Arenado singled to left (Fliner (Liner)). Charlie Blackmon scored. David Dahl advanced to 2B.
N_Arenado,9777,L Giolito,1547,2016-08-28,Nolan Arenado singled to center (Liner). Charlie Blackmon scored. DJ LeMahieu advanced to 2B.
N_Arenado,9777,G Cole,1312,2016-05-20,Nolan Arenado singled to center (Fliner (Fly)). Charlie Blackmon advanced to 3B.
N_Arenado,9777,T Watson,3132,2016-05-20,Nolan Arenado walked.
N_Arenado,9777,S Romo,9817,2016-07-04,Nolan Arenado doubled to left (Fliner (Fly)).
N_Arenado,9777,N Wittgren,1559,2016-08-05,Nolan Arenado walked.
N_Arenado,9777,K Hendricks,1204,2016-04-15,Nolan Arenado singled to pitcher (Bunt Grounder). Carlos Gonzalez advanced to 2B.
N_Arenado,9777,J Peavy,1051,2016-04-13,Nolan Arenado doubled to left (Grounder). Trevor Story scored.
N_Arenado,9777,A Wainwright,2233,2016-05-18,Nolan Arenado singled to left (Fliner (Liner)).
N_Arenado,9777,J Fields,5070,2016-09-23,Nolan Arenado homered (Fliner (Fly)).
N_Arenado,9777,M Scherzer,3137,2016-08-15,Nolan Arenado walked. DJ LeMahieu advanced to 3B. Carlos Gonzalez advanced to 2B.
N_Arenado,9777,B Shipley,1515,2016-09-14,Nolan Arenado doubled to center (Grounder). DJ LeMahieu advanced to 3B.
N_Arenado,9777,C Edwards Jr.,1360,2016-08-19,Nolan Arenado hit a sacrifice fly to left (Fliner (Fly)). DJ LeMahieu scored.
N_Arenado,9777,A Liberatore,1063,2016-04-24,Nolan Arenado walked.
N_Arenado,9777,I Nova,1994,2016-06-21,Nolan Arenado singled to shortstop (Grounder). DJ LeMahieu advanced to 2B.
N_Arenado,9777,C Hatcher,3299,2016-04-22,Nolan Arenado walked.
N_Arenado,9777,R Zastryzny,1509,2016-08-19,Nolan Arenado walked. DJ LeMahieu advanced to 3B. Carlos Gonzalez advanced to 2B.
N_Arenado,9777,K Kela,1469,2016-08-10,Nolan Arenado walked.
N_Arenado,9777,B Hand,9111,2016-09-16,Nolan Arenado walked.
N_Arenado,9777,A Morgan,1258,2016-07-07,Nolan Arenado singled to right (Fliner (Liner)). DJ LeMahieu advanced to 2B.
N_Arenado,9777,M Wacha,1407,2016-05-19,Nolan Arenado walked.
N_Arenado,9777,B Boyer,2237,2016-10-02,Nolan Arenado singled to center (Liner). David Dahl advanced to 2B.
N_Arenado,9777,A Griffin,1113,2016-08-09,Nolan Arenado singled to right (Grounder). David Dahl scored.
N_Arenado,9777,A Sanchez,1149,2016-06-29,Nolan Arenado singled to second (Grounder).
N_Arenado,9777,J Samardzija,3254,2016-09-06,Nolan Arenado singled to center (Fliner (Fly)).
N_Arenado,9777,J Samardzija,3254,2016-09-28,Nolan Arenado walked.
N_Arenado,9777,J Niese,4424,2016-04-27,Nolan Arenado homered (Fly).
N_Arenado,9777,D Straily,9460,2016-04-18,Nolan Arenado singled to left (Liner).
N_Arenado,9777,A Wainwright,2233,2016-05-18,Nolan Arenado reached on fielder's choice and error to shortstop (Grounder). Trevor Story advanced to 2B on error. Error by Aledmys Diaz.
N_Arenado,9777,A Suarez,6175,2016-09-07,Nolan Arenado doubled to left (Grounder). Carlos Gonzalez advanced to 3B.
N_Arenado,9777,B McCarthy,4662,2016-09-25,Nolan Arenado walked.
N_Arenado,9777,B Norris,9492,2016-08-31,Nolan Arenado walked. DJ LeMahieu advanced to 2B.
N_Arenado,9777,J Cueto,6893,2016-09-29,Nolan Arenado singled to left (Liner).
N_Arenado,9777,A Wood,1378,2016-04-24,Nolan Arenado walked.
N_Arenado,9777,A Cashner,8782,2016-05-03,Nolan Arenado walked. Carlos Gonzalez advanced to 2B.
N_Arenado,9777,L Verrett,1290,2016-05-14,Nolan Arenado singled to left (Fliner (Liner)).
N_Arenado,9777,B Colon,375&,2016-07-30,Nolan Arenado singled to left (Liner).
N_Arenado,9777,C Cotham,1007,2016-04-18,Nolan Arenado singled to right (Grounder). Carlos Gonzalez advanced to 3B.
N_Arenado,9777,D Law,1313,2016-05-07,Nolan Arenado walked.
N_Arenado,9777,L Weaver,1691,2016-09-21,Nolan Arenado singled to center (Liner). Carlos Gonzalez advanced to 2B.
N_Arenado,9777,R Iglesias,1713,2016-04-20,Nolan Arenado walked.
N_Arenado,9777,L Harrell,7541,2016-08-11,Nolan Arenado singled to shortstop (Liner).
N_Arenado,9777,S Miller,1019,2016-09-12,Nolan Arenado singled to right (Liner). DJ LeMahieu advanced to 3B.
N_Arenado,9777,J Garcia,8137,2016-05-17,Nolan Arenado reached on error to third (Grounder). Trevor Story advanced to 2B on error. Error by Matt Carpenter.
N_Arenado,9777,K Maeda,1849,2016-08-04,Nolan Arenado advanced on a wild pitch to 2B.
N_Arenado,9777,B Ziegler,7293,2016-04-30,Nolan Arenado singled to left (Grounder). Trevor Story scored. Carlos Gonzalez advanced to 2B.
N_Arenado,9777,E Jackson,1841,2016-09-17,Nolan Arenado walked. DJ LeMahieu advanced to 3B. Carlos Gonzalez advanced to 2B.
N_Arenado,9777,C Tillman,5279,2016-07-26,Nolan Arenado advanced on a wild pitch to score.
N_Arenado,9777,L Harrell,7541,2016-08-11,Nolan Arenado walked.
N_Arenado,9777,L Perdomo,1468,2016-06-05,Nolan Arenado doubled to left (Fliner (Liner)).
N_Arenado,9777,T Cravy,1077,2016-10-02,Nolan Arenado walked.
N_Arenado,9777,Y Petit,4020,2016-08-16,Nolan Arenado grounded out to third (Grounder). DJ LeMahieu scored.
N_Arenado,9777,J Urias,1476,2016-06-07,Nolan Arenado walked.
N_Arenado,9777,A Cashner,8782,2016-05-03,Nolan Arenado singled to left (Grounder).
N_Arenado,9777,C Friedrich,7942,2016-06-12,Nolan Arenado walked.
N_Arenado,9777,J Samardzija,3254,2016-05-08,Nolan Arenado singled to right (Grounder). Carlos Gonzalez advanced to 2B.
N_Arenado,9777,R Delgado,5985,2016-04-04,Nolan Arenado singled to right (Fliner (Fly)).
N_Arenado,9777,N Eovaldi,9132,2016-06-14,Nolan Arenado doubled to left (Fliner (Fly)). DJ LeMahieu scored.
