playername,playerid,vsname,vsid,date,Play
N_Buss,6835,R Dickey,1245,2016-08-23,Nick Buss homered (Fliner (Fly)). Andrelton Simmons scored.
N_Buss,6835,F Hernandez,4772,2016-08-15,Nick Buss doubled to right (Grounder).
N_Buss,6835,D Fister,9425,2016-09-23,Nick Buss doubled to center (Fliner (Fly)). C.J. Cron scored.
N_Buss,6835,T Wilhelmsen,9975,2016-08-17,Nick Buss singled to center (Fliner (Liner)). Andrelton Simmons advanced to 2B.
N_Buss,6835,R Dickey,1245,2016-09-16,Nick Buss singled to left (Liner).
N_Buss,6835,J Biagini,1319,2016-08-25,Nick Buss singled to third (Bunt Grounder). Jett Bandy advanced to 2B.
N_Buss,6835,D Fister,9425,2016-09-23,Nick Buss walked.
N_Buss,6835,A Wilson,9239,2016-08-27,Nick Buss doubled to right (Grounder). Andrelton Simmons advanced to 3B.
N_Buss,6835,J Cotton,1365,2016-09-07,Nick Buss walked.
N_Buss,6835,N Vincent,7555,2016-09-12,Nick Buss walked. C.J. Cron advanced to 2B.
N_Buss,6835,R Alcantara,1279,2016-09-05,Nick Buss hit a sacrifice fly to left (Fly). C.J. Cron scored.
N_Buss,6835,S Feldman,6283,2016-08-24,Nick Buss walked.
N_Buss,6835,S Feldman,6283,2016-08-23,Nick Buss advanced on a stolen base to 2B.
N_Buss,6835,A Caminero,8992,2016-09-02,Nick Buss advanced on a wild pitch to 2B.
N_Buss,6835,T Sipp,8280,2016-10-02,Nick Buss flied out to center (Fliner (Fly)).
N_Buss,6835,D Coulombe,1329,2016-09-28,Nick Buss struck out looking.
N_Buss,6835,J Grilli,521&,2016-08-25,Nick Buss flied out to right (Fliner (Fly)).
N_Buss,6835,M Estrada,1118,2016-08-24,Nick Buss grounded out to second (Grounder).
N_Buss,6835,T Adleman,1096,2016-08-30,Nick Buss flied out to left (Fliner (Fly)).
N_Buss,6835,B Shaw,8110,2016-08-13,Nick Buss struck out swinging.
N_Buss,6835,R Detwiler,2859,2016-09-05,Nick Buss struck out swinging.
N_Buss,6835,M Estrada,1118,2016-08-24,Nick Buss flied out to shortstop (Fly).
N_Buss,6835,L Cessa,1334,2016-08-20,Nick Buss grounded out to shortstop (Grounder).
N_Buss,6835,C Green,1555,2016-08-21,Nick Buss struck out swinging.
N_Buss,6835,M Fulmer,1321,2016-08-27,Nick Buss flied out to first (Fly).
N_Buss,6835,C Martin,1218,2016-08-17,Nick Buss lined out to shortstop (Fliner (Liner)).
N_Buss,6835,K Ryan,1175,2016-08-27,Nick Buss flied out to center (Fliner (Fly)).
N_Buss,6835,V Nuno,9674,2016-08-17,Nick Buss flied out to center (Fly).
N_Buss,6835,C Green,1555,2016-08-21,Nick Buss struck out swinging.
N_Buss,6835,L Cessa,1334,2016-08-20,Nick Buss grounded out to second (Grounder).
N_Buss,6835,M Clevinger,1280,2016-08-13,Nick Buss grounded out to shortstop (Grounder).
N_Buss,6835,A Sanchez,3284,2016-08-28,Nick Buss grounded out to first (Grounder).
N_Buss,6835,M Fulmer,1321,2016-08-27,Nick Buss flied out to center (Fly).
N_Buss,6835,C Devenski,1276,2016-09-24,Nick Buss struck out looking.
N_Buss,6835,A Miller,6785,2016-08-14,Nick Buss grounded out to shortstop (Grounder).
N_Buss,6835,B Peacock,5401,2016-09-24,Nick Buss out on a dropped third strike.
N_Buss,6835,J Verlander,8700,2016-08-26,Nick Buss flied out to second (Fly).
N_Buss,6835,B Peacock,5401,2016-09-24,Nick Buss struck out looking.
N_Buss,6835,A Miranda,1752,2016-08-16,Nick Buss struck out swinging.
N_Buss,6835,B Finnegan,1620,2016-08-31,Nick Buss struck out swinging.
N_Buss,6835,C Green,1555,2016-08-21,Nick Buss flied out to center (Fliner (Fly)).
N_Buss,6835,T Adleman,1096,2016-08-30,Nick Buss struck out swinging.
N_Buss,6835,E Diaz,1471,2016-08-15,Nick Buss flied out to left (Fliner (Liner)).
N_Buss,6835,V Nuno,9674,2016-08-16,Nick Buss flied out to left (Fly).
N_Buss,6835,M Feliz,1190,2016-09-23,Nick Buss struck out swinging.
N_Buss,6835,J Grilli,521&,2016-09-16,Nick Buss struck out looking.
N_Buss,6835,H Iwakuma,1304,2016-08-18,Nick Buss grounded into a double play to second (Grounder). Andrelton Simmons out at second.
N_Buss,6835,F Rodriguez,1642,2016-08-26,Nick Buss grounded into a double play to second (Grounder). Andrelton Simmons out at second.
