playername,playerid,vsname,vsid,date,Play
N_Noonan,6880,R Delgado,5985,2016-08-19,Nick Noonan walked.
N_Noonan,6880,C Archer,6345,2016-08-17,Nick Noonan singled to right (Grounder).
N_Noonan,6880,C Archer,6345,2016-08-17,Nick Noonan singled to right (Grounder). Alexei Ramirez advanced to 2B.
N_Noonan,6880,E Goeddel,1171,2016-08-12,Nick Noonan struck out looking.
N_Noonan,6880,L Verrett,1290,2016-08-12,Nick Noonan flied out to center (Fly).
N_Noonan,6880,A Bradley,1291,2016-08-18,Nick Noonan struck out swinging.
N_Noonan,6880,J Taillon,1167,2016-08-11,Nick Noonan flied out to left (Fly).
N_Noonan,6880,J deGrom,1095,2016-08-13,Nick Noonan struck out swinging.
N_Noonan,6880,Z Greinke,1943,2016-08-19,Nick Noonan flied out to center (Fly).
N_Noonan,6880,A Reed,1058,2016-08-13,Nick Noonan flied out to left (Fly).
N_Noonan,6880,Z Greinke,1943,2016-08-19,Nick Noonan hit a sacrifice fly to center (Fly). Christian Bethancourt scored.
N_Noonan,6880,S Hathaway,1529,2016-08-19,Nick Noonan was caught stealing.
