playername,playerid,vsname,vsid,date,Play
N_Ramirez,1280,J Schoop,1126,2016-04-12,Jonathan Schoop lined out to third (Liner).
N_Ramirez,1280,A Jones,6368,2016-09-13,Adam Jones struck out swinging.
N_Ramirez,1280,M Napoli,3057,2016-04-06,Mike Napoli grounded into a double play to shortstop (Grounder). Jason Kipnis out at second.
N_Ramirez,1280,R Martin,4616,2016-09-11,Russell Martin struck out swinging.
N_Ramirez,1280,M Bourn,6387,2016-09-13,Michael Bourn grounded out to first (Grounder). Matt Wieters advanced to 3B. J.J. Hardy advanced to 2B.
N_Ramirez,1280,E Longoria,9368,2016-04-21,Evan Longoria flied out to right (Fly).
N_Ramirez,1280,B Miller,1277,2016-04-20,Brad Miller out on a dropped third strike.
N_Ramirez,1280,R Martin,4616,2016-04-08,Russell Martin struck out swinging.
N_Ramirez,1280,T Tulowitzki,3531,2016-04-08,Troy Tulowitzki struck out swinging.
N_Ramirez,1280,C Santana,2396,2016-04-06,Carlos Santana flied out to center (Fliner (Fly)).
N_Ramirez,1280,S Souza Jr.,5667,2016-04-20,Steven Souza Jr. grounded out to shortstop (Grounder).
N_Ramirez,1280,J Bautista,1887,2016-04-08,Jose Bautista struck out swinging.
N_Ramirez,1280,J Thole,9689,2016-06-03,Josh Thole struck out swinging.
N_Ramirez,1280,G Sanchez,1144,2016-09-29,Gary Sanchez struck out swinging.
N_Ramirez,1280,R Goins,9807,2016-04-08,Ryan Goins struck out looking.
N_Ramirez,1280,M Trumbo,6876,2016-09-13,Mark Trumbo struck out swinging.
N_Ramirez,1280,D Barney,2430,2016-06-03,Darwin Barney flied out to left (Fliner (Fly)).
N_Ramirez,1280,H Kim,1871,2016-06-02,Hyun Soo Kim flied out to shortstop (Fliner (Fly)).
N_Ramirez,1280,D Jennings,1965,2016-04-21,Desmond Jennings was hit by a pitch.
N_Ramirez,1280,D Barney,2430,2016-04-08,Darwin Barney advanced on a stolen base to 2B.
N_Ramirez,1280,K Kiermaier,1103,2016-04-20,Kevin Kiermaier singled to right (Grounder).
N_Ramirez,1280,M Saunders,9981,2016-04-08,Michael Saunders singled to second (Grounder). Edwin Encarnacion advanced to 2B.
N_Ramirez,1280,E Encarnacion,2151,2016-04-08,Edwin Encarnacion singled to center (Liner).
N_Ramirez,1280,K Pillar,1243,2016-04-18,Kevin Pillar walked.
N_Ramirez,1280,C Correa,1416,2016-04-23,Carlos Correa singled to left (Grounder). George Springer advanced to 2B.
N_Ramirez,1280,F Pena,8298,2016-06-02,Francisco Pena homered (Fly). Jonathan Schoop scored.
N_Ramirez,1280,B Guyer,2636,2016-04-21,Brandon Guyer was hit by a pitch. Logan Forsythe advanced to 2B.
N_Ramirez,1280,T Tulowitzki,3531,2016-09-11,Troy Tulowitzki singled to right (Fliner (Liner)).
N_Ramirez,1280,M Machado,1149,2016-04-12,Manny Machado singled to center (Fliner (Liner)).
N_Ramirez,1280,L Forsythe,7185,2016-04-21,Logan Forsythe singled to center (Liner). Kevin Kiermaier scored.
N_Ramirez,1280,C Dickerson,1076,2016-04-21,Corey Dickerson doubled to right (Fliner (Liner)). Logan Forsythe scored. Brandon Guyer scored.
N_Ramirez,1280,J Donaldson,5038,2016-04-17,Josh Donaldson doubled to center (Fliner (Fly)). Ryan Goins scored.
