playername,playerid,vsname,vsid,date,Play
O_Arcia,1030,H Street,8258,2016-04-17,Oswaldo Arcia singled (Fliner (Fly)). Byron Buxton scored.
O_Arcia,1030,J Smith,3281,2016-04-16,Oswaldo Arcia homered (Fliner (Fly)).
O_Arcia,1030,T Wilson,1269,2016-06-26,Oswaldo Arcia tripled to right (Fliner (Liner)). Logan Morrison scored. Desmond Jennings scored.
O_Arcia,1030,M Latos,3815,2016-05-06,Oswaldo Arcia homered (Fly). Byung-ho Park scored.
O_Arcia,1030,K Graveman,1551,2016-07-23,Oswaldo Arcia doubled to center (Fly). Steve Pearce advanced to 3B.
O_Arcia,1030,C Sale,1060,2016-05-07,Oswaldo Arcia walked. Miguel Sano scored. Trevor Plouffe advanced to 3B. Byung-ho Park advanced to 2B.
O_Arcia,1030,M Pelfrey,5203,2016-05-01,Oswaldo Arcia singled to center (Fliner (Liner)). Miguel Sano scored. Byung-ho Park advanced to 3B.
O_Arcia,1030,J Weaver,4235,2016-04-16,Oswaldo Arcia singled to center (Liner). Joe Mauer scored. Trevor Plouffe advanced to 2B.
O_Arcia,1030,W Peralta,7738,2016-04-19,Oswaldo Arcia walked. Miguel Sano advanced to 2B.
O_Arcia,1030,W Chen,1307,2016-06-08,Oswaldo Arcia doubled to right (Liner). Byung-ho Park advanced to 3B.
O_Arcia,1030,J Tomlin,9388,2016-04-27,Oswaldo Arcia singled to right (Grounder). Miguel Sano scored.
O_Arcia,1030,W Chen,1307,2016-06-08,Oswaldo Arcia doubled to center (Fly).
O_Arcia,1030,E Volquez,3990,2016-05-24,Oswaldo Arcia singled to right (Fliner (Liner)).
O_Arcia,1030,M Fulmer,1321,2016-07-01,Oswaldo Arcia walked.
O_Arcia,1030,T Wilson,1269,2016-06-26,Oswaldo Arcia homered (Fly).
O_Arcia,1030,H Santiago,4026,2016-07-07,Oswaldo Arcia walked. Brandon Guyer advanced to 2B.
O_Arcia,1030,J Quintana,1142,2016-05-08,Oswaldo Arcia singled to left (Fliner (Liner)). Trevor Plouffe advanced to 2B.
O_Arcia,1030,T Chatwood,4338,2016-07-19,Oswaldo Arcia walked.
O_Arcia,1030,K Graveman,1551,2016-05-30,Oswaldo Arcia walked.
O_Arcia,1030,C Buchholz,3543,2016-09-06,Oswaldo Arcia singled to right (Grounder).
O_Arcia,1030,N Tropeano,1238,2016-04-17,Oswaldo Arcia walked.
O_Arcia,1030,J Teheran,6797,2016-08-30,Oswaldo Arcia doubled to left (Fliner (Liner)).
O_Arcia,1030,C Tillman,5279,2016-06-25,Oswaldo Arcia hit a sacrifice fly to center (Fly). Brad Miller scored.
O_Arcia,1030,J Fields,5070,2016-05-04,Oswaldo Arcia walked. Miguel Sano advanced to 3B. Byung-ho Park advanced to 2B.
O_Arcia,1030,M Wisler,1280,2016-08-31,Oswaldo Arcia walked.
O_Arcia,1030,E Volquez,3990,2016-05-24,Oswaldo Arcia was hit by a pitch. Robbie Grossman advanced to 2B.
O_Arcia,1030,M Latos,3815,2016-05-06,Oswaldo Arcia walked.
O_Arcia,1030,T Chatwood,4338,2016-07-19,Oswaldo Arcia singled to right (Grounder).
O_Arcia,1030,E Rodriguez,1316,2016-06-27,Oswaldo Arcia doubled to left (Fliner (Fly)).
O_Arcia,1030,Z Duke,3840,2016-05-07,Oswaldo Arcia walked.
O_Arcia,1030,C Wang,2074,2016-04-09,Oswaldo Arcia walked.
O_Arcia,1030,C Kimbrel,6655,2016-06-27,Oswaldo Arcia singled to right (Liner). Evan Longoria advanced to 3B.
O_Arcia,1030,M Feliz,1190,2016-05-04,Oswaldo Arcia flied out to center (Fliner (Liner)).
O_Arcia,1030,S Greene,1075,2016-07-01,Oswaldo Arcia grounded out to third (Grounder).
