playername,playerid,vsname,vsid,date,Play
P_Bourjos,2578,H Robles,1180,2016-04-20,Peter Bourjos singled to third (Grounder). Freddy Galvis scored. David Lough advanced to 3B.
P_Bourjos,2578,J Manship,6865,2016-04-29,Peter Bourjos doubled to left (Liner). Andres Blanco advanced to 3B.
P_Bourjos,2578,J Papelbon,5975,2016-04-17,Peter Bourjos doubled to left (Fliner (Fly)).
P_Bourjos,2578,J Gray,1491,2016-08-12,Peter Bourjos doubled to right (Fliner (Liner)). Freddy Galvis scored on error. Peter Bourjos advanced to 3B. Error by Gerardo Parra.
P_Bourjos,2578,A Cashner,8782,2016-04-11,Peter Bourjos doubled to left (Grounder). Cameron Rupp scored.
P_Bourjos,2578,J Esch,1275,2016-09-05,Peter Bourjos tripled to center (Fliner (Liner)).
P_Bourjos,2578,C Gearrin,7947,2016-06-24,Peter Bourjos walked. Cameron Rupp scored. Tyler Goeddel advanced to 3B. Freddy Galvis advanced to 2B.
P_Bourjos,2578,J Barrett,1332,2016-06-29,Peter Bourjos walked. Andres Blanco advanced to 3B. Odubel Herrera advanced to 2B.
P_Bourjos,2578,M Foltynewicz,1081,2016-07-05,Peter Bourjos homered (Fly).
P_Bourjos,2578,W Chen,1307,2016-05-17,Peter Bourjos singled to center (Fliner (Liner)). Freddy Galvis scored.
P_Bourjos,2578,D Salazar,5867,2016-05-01,Peter Bourjos balked to score. Freddy Galvis advanced to 2B.
P_Bourjos,2578,J Peavy,1051,2016-06-24,Peter Bourjos tripled to center (Fly).
P_Bourjos,2578,J Gray,1491,2016-08-12,Peter Bourjos advanced on a wild pitch to score.
P_Bourjos,2578,R Ray,1148,2016-06-27,Peter Bourjos singled to left (Fly). Odubel Herrera advanced to 2B.
P_Bourjos,2578,S Oh,1871,2016-08-19,Peter Bourjos singled to center (Liner).
P_Bourjos,2578,A Wainwright,2233,2016-08-19,Peter Bourjos tripled to right (Fliner (Fly)).
P_Bourjos,2578,J Gray,1491,2016-07-08,Peter Bourjos doubled to left (Liner).
P_Bourjos,2578,S Bracho,1505,2016-06-29,Peter Bourjos singled to shortstop (Grounder).
P_Bourjos,2578,J Wilson,4301,2016-05-23,Peter Bourjos reached on error to third (Grounder). Error by Nick Castellanos.
P_Bourjos,2578,M Wisler,1280,2016-05-10,Peter Bourjos doubled to left (Fliner (Fly)).
P_Bourjos,2578,J Urena,1158,2016-07-19,Peter Bourjos singled to second (Fliner (Fly)).
P_Bourjos,2578,J Wilson,4301,2016-05-23,Peter Bourjos advanced on a wild pitch to 2B.
P_Bourjos,2578,S Miller,1019,2016-06-20,Peter Bourjos walked.
P_Bourjos,2578,L Weaver,1691,2016-08-20,Peter Bourjos singled to left (Liner). Freddy Galvis advanced to 2B.
P_Bourjos,2578,N Feliz,18&p,2016-07-24,Peter Bourjos walked.
P_Bourjos,2578,A Wainwright,2233,2016-05-02,Peter Bourjos singled to left (Fliner (Liner)). Jeremy Hellickson advanced to 2B.
P_Bourjos,2578,D Salazar,5867,2016-05-01,Peter Bourjos singled to left (Liner). Vince Velasquez advanced to 2B.
P_Bourjos,2578,R Ray,1148,2016-06-17,Peter Bourjos singled to third (Grounder).
P_Bourjos,2578,M Bumgarner,5524,2016-06-25,Peter Bourjos walked.
P_Bourjos,2578,H Robles,1180,2016-08-28,Peter Bourjos was hit by a pitch. Jimmy Paredes scored. A.J. Ellis advanced to 3B. Freddy Galvis advanced to 2B.
P_Bourjos,2578,K Gibson,1012,2016-06-22,Peter Bourjos singled to left (Grounder).
P_Bourjos,2578,G Gonzalez,7448,2016-04-17,Peter Bourjos singled to center (Grounder).
P_Bourjos,2578,M Blazek,9654,2016-04-24,Peter Bourjos tripled to right (Liner).
P_Bourjos,2578,T Rogers,1344,2016-06-21,Peter Bourjos singled to right (Grounder).
P_Bourjos,2578,T Roark,8753,2016-09-09,Peter Bourjos singled to left (Grounder). Ryan Howard advanced to 3B. Freddy Galvis advanced to 2B.
P_Bourjos,2578,B Ziegler,7293,2016-06-28,Peter Bourjos walked. Odubel Herrera advanced to 2B.
P_Bourjos,2578,J Gray,1491,2016-07-08,Peter Bourjos advanced on a wild pitch to 3B.
P_Bourjos,2578,K Barraclough,1371,2016-05-06,Peter Bourjos walked.
P_Bourjos,2578,B Colon,375&,2016-04-09,Peter Bourjos doubled to left (Grounder).
P_Bourjos,2578,C Bettis,1058,2016-07-07,Peter Bourjos singled to right (Fliner (Liner)).
P_Bourjos,2578,J Lester,4930,2016-06-06,Peter Bourjos singled to catcher (Bunt Grounder). Tyler Goeddel advanced to 2B.
P_Bourjos,2578,T Clippard,5640,2016-06-28,Peter Bourjos singled to center (Fliner (Liner)).
P_Bourjos,2578,T Koehler,6570,2016-07-21,Peter Bourjos reached on error to third (Grounder). Error by Martin Prado.
P_Bourjos,2578,D Pomeranz,1142,2016-04-14,Peter Bourjos reached on error to center (Fly). Peter Bourjos advanced to 2B. Error by Jon Jay.
P_Bourjos,2578,K Sampson,1003,2016-04-07,Peter Bourjos doubled to left (Fliner (Fly)).
P_Bourjos,2578,M Bumgarner,5524,2016-06-25,Peter Bourjos singled to left (Liner).
P_Bourjos,2578,B Colon,375&,2016-08-26,Peter Bourjos was intentionally walked.
P_Bourjos,2578,J Cueto,6893,2016-06-26,Peter Bourjos singled to shortstop (Grounder).
P_Bourjos,2578,N Wittgren,1559,2016-07-20,Peter Bourjos hit a sacrifice fly to center (Fly). Freddy Galvis scored. Cesar Hernandez advanced to 3B.
P_Bourjos,2578,J Lyles,7593,2016-07-09,Peter Bourjos singled to left (Fliner (Fly)).
P_Bourjos,2578,M Stroman,1343,2016-06-14,Peter Bourjos singled to first (Grounder).
P_Bourjos,2578,A Blair,1493,2016-05-12,Peter Bourjos singled to shortstop (Grounder). Vince Velasquez advanced to 2B.
P_Bourjos,2578,B Finnegan,1620,2016-05-13,Peter Bourjos advanced on a stolen base to 2B.
P_Bourjos,2578,D Duffy,3542,2016-07-02,Peter Bourjos singled to first (Grounder).
P_Bourjos,2578,T Koehler,6570,2016-07-21,Peter Bourjos walked.
P_Bourjos,2578,J Lackey,1507,2016-05-29,Peter Bourjos walked.
P_Bourjos,2578,B Ellington,1723,2016-09-05,Peter Bourjos advanced on a stolen base to 2B.
P_Bourjos,2578,M Stroman,1343,2016-06-14,Peter Bourjos tripled to right (Fliner (Liner)).
P_Bourjos,2578,M Dunn,9948,2016-07-21,Peter Bourjos singled to right (Fliner (Liner)).
P_Bourjos,2578,H Robles,1180,2016-04-08,Peter Bourjos reached on error to third (Grounder). Error by David Wright.
P_Bourjos,2578,J De La Cruz,1282,2016-07-04,Peter Bourjos doubled to center (Liner).
P_Bourjos,2578,T Rogers,1344,2016-06-23,Peter Bourjos singled to right (Fliner (Liner)).
P_Bourjos,2578,S Diamond,5089,2016-06-13,Peter Bourjos singled to left (Grounder). Cody Asche scored. Cesar Hernandez advanced to 3B.
P_Bourjos,2578,M Cabrera,1297,2016-07-04,Peter Bourjos singled to pitcher (Grounder).
P_Bourjos,2578,G Floyd,3886,2016-06-16,Peter Bourjos doubled to left (Fliner (Fly)).
P_Bourjos,2578,Y Petit,4020,2016-04-15,Peter Bourjos struck out swinging.
P_Bourjos,2578,C Fien,3926,2016-08-16,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,J Henderson,6653,2016-08-27,Peter Bourjos struck out swinging.
P_Bourjos,2578,J Marinez,5830,2016-06-05,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,P Baez,5420,2016-08-16,Peter Bourjos struck out looking.
P_Bourjos,2578,S Maness,1223,2016-05-02,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,C Beck,1341,2016-08-23,Peter Bourjos grounded out to second (Grounder).
P_Bourjos,2578,J Hoover,9037,2016-04-04,Peter Bourjos grounded out to first (Grounder).
P_Bourjos,2578,J Barnes,1232,2016-06-03,Peter Bourjos struck out swinging.
P_Bourjos,2578,J Chavez,5448,2016-08-17,Peter Bourjos flied out to center (Fliner (Fly)).
P_Bourjos,2578,J Happ,7410,2016-06-16,Peter Bourjos struck out swinging.
P_Bourjos,2578,B Flynn,1202,2016-07-03,Peter Bourjos fouled out to first (Fly).
P_Bourjos,2578,M Belisle,1837,2016-09-08,Peter Bourjos grounded out to pitcher (Grounder). Aaron Altherr advanced to 2B.
P_Bourjos,2578,J Manship,6865,2016-05-01,Peter Bourjos flied out to right (Fliner (Fly)).
P_Bourjos,2578,N Wittgren,1559,2016-07-18,Peter Bourjos flied out to left (Fly).
P_Bourjos,2578,M Melancon,4264,2016-09-10,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,J Lester,4930,2016-06-06,Peter Bourjos struck out swinging.
P_Bourjos,2578,K Barraclough,1371,2016-09-07,Peter Bourjos flied out to center (Fliner (Fly)).
P_Bourjos,2578,B Flynn,1202,2016-07-01,Peter Bourjos struck out looking.
P_Bourjos,2578,C Rusin,9895,2016-08-13,Peter Bourjos grounded out to shortstop (Grounder).
P_Bourjos,2578,M Foltynewicz,1081,2016-07-05,Peter Bourjos grounded out to shortstop (Grounder).
P_Bourjos,2578,K Hendricks,1204,2016-05-28,Peter Bourjos grounded out to shortstop (Grounder).
P_Bourjos,2578,W Chen,1307,2016-07-20,Peter Bourjos struck out looking.
P_Bourjos,2578,S Oh,1871,2016-05-02,Peter Bourjos flied out to center (Fly).
P_Bourjos,2578,D Duffy,3542,2016-07-02,Peter Bourjos flied out to right (Fly).
P_Bourjos,2578,K Hendricks,1204,2016-05-28,Peter Bourjos struck out looking.
P_Bourjos,2578,J Lester,4930,2016-05-27,Peter Bourjos flied out to third (Fly).
P_Bourjos,2578,J Taillon,1167,2016-07-24,Peter Bourjos out on a dropped third strike.
P_Bourjos,2578,M Dunn,9948,2016-09-18,Peter Bourjos flied out to right (Fly).
P_Bourjos,2578,N Wittgren,1559,2016-09-06,Peter Bourjos grounded out to first (Bunt Grounder).
P_Bourjos,2578,A Wilson,9239,2016-05-25,Peter Bourjos struck out swinging.
P_Bourjos,2578,W Perez,1159,2016-05-11,Peter Bourjos grounded out to pitcher (Grounder).
P_Bourjos,2578,T Roark,8753,2016-06-11,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,L Weaver,1691,2016-08-20,Peter Bourjos struck out looking.
P_Bourjos,2578,C Kluber,2429,2016-04-29,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,J Urena,1158,2016-09-06,Peter Bourjos struck out swinging.
P_Bourjos,2578,J Shields,7059,2016-08-24,Peter Bourjos flied out to center (Fly).
P_Bourjos,2578,J McGee,7550,2016-07-08,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,J Fernandez,1153,2016-07-18,Peter Bourjos out on a dropped third strike. Odubel Herrera advanced to 3B.
P_Bourjos,2578,G Gonzalez,7448,2016-04-17,Peter Bourjos struck out swinging.
P_Bourjos,2578,G Cole,1312,2016-07-22,Peter Bourjos grounded out to shortstop (Grounder).
P_Bourjos,2578,J Broxton,4759,2016-08-19,Peter Bourjos struck out swinging.
P_Bourjos,2578,T Bauer,1270,2016-04-30,Peter Bourjos struck out swinging.
P_Bourjos,2578,N Syndergaard,1176,2016-08-27,Peter Bourjos grounded out to pitcher (Grounder).
P_Bourjos,2578,G Gonzalez,7448,2016-04-27,Peter Bourjos grounded out to shortstop (Grounder).
P_Bourjos,2578,A Bastardo,8844,2016-04-09,Peter Bourjos flied out to center (Fliner (Liner)).
P_Bourjos,2578,J Hughes,9325,2016-07-23,Peter Bourjos grounded out to third (Grounder).
P_Bourjos,2578,W Perez,1159,2016-05-11,Peter Bourjos grounded out to second (Grounder).
P_Bourjos,2578,L Verrett,1290,2016-07-16,Peter Bourjos grounded out to third (Grounder).
