playername,playerid,vsname,vsid,date,Play
P_Clemens,8037,N Arenado,9777,2016-06-20,Nolan Arenado grounded into a double play to third (Grounder). Charlie Blackmon advanced to 3B. DJ LeMahieu out at second.
P_Clemens,8037,Y Moncada,1723,2016-09-06,Yoan Moncada struck out looking.
P_Clemens,8037,R Raburn,2218,2016-06-20,Ryan Raburn grounded into a double play to shortstop (Grounder). Trevor Story out at second.
P_Clemens,8037,A Bradley,1291,2016-08-18,Archie Bradley struck out swinging.
P_Clemens,8037,C Buchholz,3543,2016-09-06,Clay Buchholz struck out swinging.
P_Clemens,8037,M Kemp,5631,2016-08-31,Matt Kemp grounded into a double play to third (Grounder). Adonis Garcia out at third.
P_Clemens,8037,T Pham,2967,2016-07-20,Tommy Pham grounded out to second (Grounder).
P_Clemens,8037,J Segura,5933,2016-10-02,Jean Segura was caught stealing.
P_Clemens,8037,J Soler,1422,2016-08-24,Jorge Soler fouled out to catcher (Fly).
P_Clemens,8037,M Haniger,1427,2016-08-18,Mitch Haniger reached on fielder's choice to shortstop (Grounder). Welington Castillo out at second.
P_Clemens,8037,P Goldschmidt,9218,2016-09-20,Paul Goldschmidt grounded into a double play to shortstop (Grounder). Jean Segura out at second.
P_Clemens,8037,J Baez,1297,2016-06-25,Javier Baez flied out to first (Fliner (Fly)).
P_Clemens,8037,J Segura,5933,2016-08-18,Jean Segura fouled out to right (Fly).
P_Clemens,8037,J de la Rosa,2047,2016-06-20,Jorge de la Rosa struck out swinging.
P_Clemens,8037,B Phillips,791&,2016-07-31,Brandon Phillips flied out to right (Fly).
P_Clemens,8037,A Pagan,2918,2016-09-12,Angel Pagan struck out looking.
P_Clemens,8037,B Drury,1161,2016-10-02,Brandon Drury flied out to right (Fly).
P_Clemens,8037,Y Tomas,1717,2016-08-18,Yasmany Tomas flied out to center (Fly).
P_Clemens,8037,A Altherr,1127,2016-08-06,Aaron Altherr flied out to shortstop (Fly).
