playername,playerid,vsname,vsid,date,Play
P_Dean,1135,D Pedroia,8370,2016-06-12,Dustin Pedroia grounded into a double play to third (Grounder). Mookie Betts out at second.
P_Dean,1135,J Kipnis,9776,2016-08-31,Jason Kipnis grounded into a double play to second (Grounder). Rajai Davis out at second.
P_Dean,1135,M Cabrera,1744,2016-09-22,Miguel Cabrera grounded into a double play to third (Grounder). Cameron Maybin scored. Jose Iglesias out at second.
P_Dean,1135,D Barney,2430,2016-08-26,Darwin Barney fouled out to third (Fly).
P_Dean,1135,R Martin,4616,2016-05-21,Russell Martin grounded into a double play to third (Grounder). Troy Tulowitzki out at second.
P_Dean,1135,J Shuck,6677,2016-09-04,J.B. Shuck flied out to right (Fly).
P_Dean,1135,J Bradley Jr.,1298,2016-06-12,Jackie Bradley Jr. flied out to third (Fly).
P_Dean,1135,A Hechavarria,1045,2016-06-07,Adeiny Hechavarria grounded out to shortstop (Grounder).
P_Dean,1135,J Iglesias,1023,2016-05-16,Jose Iglesias flied out to center (Fliner (Fly)).
P_Dean,1135,K Davis,9112,2016-06-01,Khris Davis struck out swinging.
P_Dean,1135,J Iglesias,1023,2016-09-22,Jose Iglesias flied out to center (Fliner (Fly)).
P_Dean,1135,J Donaldson,5038,2016-08-26,Josh Donaldson flied out to left (Fly).
P_Dean,1135,A Garcia,5760,2016-09-04,Avisail Garcia grounded out to third (Grounder).
P_Dean,1135,J Realmuto,1173,2016-06-07,J.T. Realmuto flied out to shortstop (Fly).
P_Dean,1135,J Rutledge,1116,2016-06-12,Josh Rutledge flied out to center (Fly).
P_Dean,1135,J McCann,1285,2016-09-22,James McCann grounded out to third (Grounder).
P_Dean,1135,J Bradley Jr.,1298,2016-06-12,Jackie Bradley Jr. flied out to left (Fly).
P_Dean,1135,J Phegley,9308,2016-06-01,Josh Phegley flied out to right (Fliner (Fly)).
P_Dean,1135,N Cruz,2434,2016-05-27,Nelson Cruz grounded out to third (Grounder).
P_Dean,1135,M Cabrera,1744,2016-09-22,Miguel Cabrera grounded out to shortstop (Grounder).
P_Dean,1135,J Phegley,9308,2016-06-01,Josh Phegley grounded into a double play to shortstop (Grounder). Billy Butler out at second.
P_Dean,1135,K Pillar,1243,2016-05-21,Kevin Pillar flied out to center (Fly).
P_Dean,1135,R Davis,3708,2016-08-31,Rajai Davis grounded out to second (Grounder).
P_Dean,1135,C Vazquez,9774,2016-06-12,Christian Vazquez struck out swinging.
P_Dean,1135,J Realmuto,1173,2016-06-07,J.T. Realmuto grounded out to third (Grounder).
P_Dean,1135,J Upton,5222,2016-09-22,Justin Upton grounded out to shortstop (Grounder).
P_Dean,1135,D Lee,1872,2016-05-27,Dae-Ho Lee grounded out to second (Grounder).
P_Dean,1135,K Seager,9785,2016-05-27,Kyle Seager flied out to center (Fly).
P_Dean,1135,D Ortiz,745&,2016-06-12,David Ortiz struck out swinging.
P_Dean,1135,J Bautista,1887,2016-05-21,Jose Bautista flied out to second (Fly).
P_Dean,1135,J Jones,1481,2016-09-22,JaCoby Jones struck out swinging.
P_Dean,1135,C Joseph,7087,2016-05-11,Caleb Joseph struck out swinging.
P_Dean,1135,C Crisp,1572,2016-06-01,Coco Crisp grounded out to pitcher (Grounder).
P_Dean,1135,C Maybin,5223,2016-09-22,Cameron Maybin grounded out to third (Grounder). Andrew Romine advanced to 2B.
P_Dean,1135,J Martinez,6184,2016-09-22,J.D. Martinez struck out swinging.
P_Dean,1135,J Bautista,1887,2016-05-21,Jose Bautista grounded out to first (Grounder).
P_Dean,1135,T Tulowitzki,3531,2016-05-21,Troy Tulowitzki flied out to left (Fly).
P_Dean,1135,R Martin,4616,2016-05-21,Russell Martin struck out swinging.
P_Dean,1135,J Kipnis,9776,2016-08-31,Jason Kipnis grounded out to second (Grounder).
P_Dean,1135,R Goins,9807,2016-05-21,Ryan Goins struck out swinging.
P_Dean,1135,M Betts,1361,2016-06-12,Mookie Betts grounded out to third (Grounder).
P_Dean,1135,F Gutierrez,3255,2016-05-27,Franklin Gutierrez struck out swinging.
P_Dean,1135,J McCann,1285,2016-09-22,James McCann struck out looking.
P_Dean,1135,F Gutierrez,3255,2016-05-27,Franklin Gutierrez struck out swinging.
P_Dean,1135,J Donaldson,5038,2016-05-21,Josh Donaldson grounded out to shortstop (Grounder).
P_Dean,1135,E Carrera,9048,2016-08-26,Ezequiel Carrera reached on fielder's choice to second (Grounder). Justin Smoak out at second.
P_Dean,1135,J Saltalamacchia,5557,2016-09-22,Jarrod Saltalamacchia flied out to right (Fly).
P_Dean,1135,J Lowrie,4418,2016-06-01,Jed Lowrie flied out to first (Fly).
P_Dean,1135,M Napoli,3057,2016-09-11,Mike Napoli struck out looking.
P_Dean,1135,J Abreu,1567,2016-09-04,Jose Abreu flied out to right (Fliner (Fly)).
P_Dean,1135,K Pillar,1243,2016-05-21,Kevin Pillar flied out to left (Fly).
P_Dean,1135,M Trumbo,6876,2016-05-11,Mark Trumbo flied out to left (Fliner (Liner)).
P_Dean,1135,R Goins,9807,2016-05-21,Ryan Goins grounded out to second (Grounder).
