playername,playerid,vsname,vsid,date,Play
P_Klein,1267,Y Cespedes,1311,2016-10-01,Yoenis Cespedes grounded into a double play to pitcher (Grounder). Asdrubal Cabrera out at second.
P_Klein,1267,H Pence,8252,2016-08-03,Hunter Pence struck out swinging.
P_Klein,1267,J Loney,4556,2016-10-01,James Loney flied out to center (Fly).
P_Klein,1267,B Lawrie,5247,2016-04-23,Brett Lawrie struck out swinging.
P_Klein,1267,A Garcia,5760,2016-04-23,Avisail Garcia struck out swinging.
P_Klein,1267,J Panik,1193,2016-08-03,Joe Panik grounded out to first (Grounder).
P_Klein,1267,T Rivera,1249,2016-10-01,T.J. Rivera flied out to first (Fly).
P_Klein,1267,T d'Arnaud,7739,2016-10-01,Travis d'Arnaud struck out looking.
P_Klein,1267,M Teixeira,1281,2016-04-25,Mark Teixeira struck out swinging.
P_Klein,1267,J Reyes,1736,2016-10-01,Jose Reyes lined out to third (Liner).
P_Klein,1267,B Colon,375&,2016-10-01,Bartolo Colon struck out looking.
P_Klein,1267,J Cueto,6893,2016-08-03,Johnny Cueto sacrificed to first (Bunt Grounder). Conor Gillaspie advanced to 2B.
P_Klein,1267,H Pence,8252,2016-08-03,Hunter Pence grounded out to second (Grounder).
P_Klein,1267,B Crawford,5343,2016-08-03,Brandon Crawford grounded out to pitcher (Grounder). Buster Posey advanced to 3B.
P_Klein,1267,J Cueto,6893,2016-08-03,Johnny Cueto sacrificed to first (Bunt Grounder). Conor Gillaspie advanced to 2B.
P_Klein,1267,J Panik,1193,2016-08-03,Joe Panik struck out swinging.
P_Klein,1267,K Calhoun,1120,2016-04-10,Kole Calhoun struck out swinging.
P_Klein,1267,D Navarro,3179,2016-04-22,Dioner Navarro grounded out to second (Grounder).
P_Klein,1267,A Simmons,1084,2016-04-30,Andrelton Simmons flied out to right (Fliner (Fly)). Kole Calhoun advanced to 3B.
P_Klein,1267,M Kemp,5631,2016-09-28,Matt Kemp grounded into a double play to third (Grounder). Freddie Freeman out at second.
P_Klein,1267,A Eaton,1120,2016-04-22,Adam Eaton flied out to center (Fly).
P_Klein,1267,L Sardinas,1315,2016-04-12,Luis Sardinas struck out swinging.
P_Klein,1267,R Cano,3269,2016-04-12,Robinson Cano struck out swinging.
P_Klein,1267,T Flowers,9134,2016-09-28,Tyler Flowers struck out swinging.
P_Klein,1267,C Iannetta,8267,2016-04-12,Chris Iannetta flied out to center (Fliner (Fly)).
P_Klein,1267,F Gutierrez,3255,2016-04-12,Franklin Gutierrez flied out to center (Fly).
P_Klein,1267,J Bautista,1887,2016-05-05,Jose Bautista walked. Josh Donaldson advanced to 2B.
P_Klein,1267,J Smoak,9054,2016-05-05,Justin Smoak singled to center (Liner). Josh Donaldson scored. Jose Bautista advanced to 2B.
P_Klein,1267,C Cron,1254,2016-04-30,C.J. Cron advanced on a wild pitch to 3B.
P_Klein,1267,M Smith,1360,2016-09-28,Mallex Smith walked. Dansby Swanson advanced to 2B.
P_Klein,1267,F Freeman,5361,2016-09-28,Freddie Freeman singled to center (Liner).
P_Klein,1267,A Jackson,9848,2016-04-22,Austin Jackson hit a ground rule double (Liner).
P_Klein,1267,J Bruce,9892,2016-10-01,Jay Bruce was intentionally walked.
P_Klein,1267,C Gillaspie,9009,2016-08-03,Conor Gillaspie singled to center (Liner).
P_Klein,1267,B Belt,1026,2016-08-03,Brandon Belt hit a sacrifice fly to center (Fly). Buster Posey scored.
P_Klein,1267,D Span,8347,2016-08-03,Denard Span singled to second (Grounder). Conor Gillaspie advanced to 3B.
P_Klein,1267,A Pagan,2918,2016-08-03,Angel Pagan advanced on a stolen base to 2B.
P_Klein,1267,J Sands,4016,2016-04-22,Jerry Sands singled to left (Grounder). Brett Lawrie scored.
P_Klein,1267,A Cabrera,4962,2016-10-01,Asdrubal Cabrera singled to shortstop (Grounder).
P_Klein,1267,H Pence,8252,2016-08-03,Hunter Pence singled to right (Fliner (Fly)).
P_Klein,1267,C Granderson,4747,2016-10-01,Curtis Granderson singled to right (Fliner (Liner)).
P_Klein,1267,D Span,8347,2016-08-03,Denard Span doubled to right (Fliner (Fly)).
P_Klein,1267,E Encarnacion,2151,2016-05-03,Edwin Encarnacion singled to left (Fliner (Liner)).
P_Klein,1267,B Posey,9166,2016-08-03,Buster Posey singled to center (Grounder). Denard Span scored. Angel Pagan scored.
P_Klein,1267,J Smoak,9054,2016-05-03,Justin Smoak homered (Fliner (Fly)). Edwin Encarnacion scored.
