playername,playerid,vsname,vsid,date,Play
P_Light,1342,J Thole,9689,2016-08-28,Josh Thole grounded into a double play to first (Grounder). Devon Travis out at second.
P_Light,1342,A Garcia,5760,2016-09-02,Avisail Garcia struck out swinging.
P_Light,1342,C Santana,2396,2016-08-30,Carlos Santana flied out to center (Fly).
P_Light,1342,A Romine,1159,2016-09-14,Andrew Romine grounded out to shortstop (Grounder).
P_Light,1342,M Martinez,7358,2016-09-11,Michael Martinez reached on fielder's choice to first (Grounder). Abraham Almonte out at home. Tyler Naquin advanced to 3B. Roberto Perez advanced to 2B.
P_Light,1342,C Cuthbert,1047,2016-09-05,Cheslor Cuthbert fouled out to catcher (Fly).
P_Light,1342,J Ramirez,1351,2016-08-30,Jose Ramirez grounded out to shortstop (Grounder).
P_Light,1342,I Kinsler,6195,2016-09-14,Ian Kinsler grounded out to third (Grounder).
P_Light,1342,B Guyer,2636,2016-08-30,Brandon Guyer struck out swinging.
P_Light,1342,M Cabrera,1744,2016-09-22,Miguel Cabrera grounded out to second (Grounder).
P_Light,1342,C Maybin,5223,2016-08-24,Cameron Maybin reached on fielder's choice to shortstop (Grounder). Andrew Romine out at second.
P_Light,1342,J Morneau,1737,2016-09-30,Justin Morneau grounded out to pitcher (Grounder).
P_Light,1342,E Aybar,4082,2016-08-24,Erick Aybar grounded out to first (Grounder).
P_Light,1342,J Ramirez,1351,2016-09-11,Jose Ramirez grounded out to pitcher (Grounder).
P_Light,1342,F Lindor,1291,2016-09-11,Francisco Lindor grounded out to pitcher (Grounder).
P_Light,1342,J Upton,5222,2016-08-23,Justin Upton struck out looking.
P_Light,1342,T Frazier,785&,2016-09-30,Todd Frazier struck out swinging.
P_Light,1342,O Narvaez,1333,2016-09-30,Omar Narvaez grounded out to second (Grounder).
P_Light,1342,J Abreu,1567,2016-09-03,Jose Abreu flied out to right (Fly).
P_Light,1342,D Castro,1545,2016-04-26,Daniel Castro grounded out to shortstop (Grounder). Erick Aybar scored. Mallex Smith advanced to 3B.
P_Light,1342,J Jones,1481,2016-09-20,JaCoby Jones struck out swinging.
P_Light,1342,A Pujols,1177,2016-07-02,Albert Pujols doubled to right (Fliner (Liner)). Gregorio Petit scored. Kole Calhoun scored. Mike Trout scored.
P_Light,1342,J Saltalamacchia,5557,2016-09-20,Jarrod Saltalamacchia struck out swinging.
P_Light,1342,C Cron,1254,2016-07-02,C.J. Cron homered (Fliner (Fly)). Jefry Marte scored.
P_Light,1342,S Robinson,4249,2016-07-02,Shane Robinson struck out swinging.
P_Light,1342,S Robinson,4249,2016-07-02,Shane Robinson flied out to right (Fly).
P_Light,1342,K Calhoun,1120,2016-07-02,Kole Calhoun grounded out to first (Grounder).
P_Light,1342,J Giavotella,6740,2016-07-02,Johnny Giavotella doubled to center (Fliner (Fly)).
P_Light,1342,M Trout,1015,2016-07-02,Mike Trout was hit by a pitch. Gregorio Petit advanced to 3B. Kole Calhoun advanced to 2B.
P_Light,1342,D Stubbs,9328,2016-04-26,Drew Stubbs singled to center (Grounder).
P_Light,1342,E Aybar,4082,2016-09-22,Erick Aybar was intentionally walked.
P_Light,1342,M Cabrera,4022,2016-09-03,Melky Cabrera walked.
P_Light,1342,M Smith,1360,2016-04-26,Mallex Smith walked. Erick Aybar advanced to 2B.
P_Light,1342,J Martinez,6184,2016-08-23,J.D. Martinez singled to left (Liner).
P_Light,1342,J Morneau,1737,2016-09-02,Justin Morneau was intentionally walked.
P_Light,1342,M Napoli,3057,2016-08-30,Mike Napoli walked.
P_Light,1342,E Carrera,9048,2016-08-26,"Ezequiel Carrera advanced on a stolen base to 2B, advanced to 3B on error. Error by Kurt Suzuki."
P_Light,1342,T Tulowitzki,3531,2016-08-28,Troy Tulowitzki singled to center (Liner).
P_Light,1342,A De Aza,3371,2016-09-16,Alejandro De Aza singled to center (Grounder).
P_Light,1342,W Merrifield,1128,2016-09-05,Whit Merrifield walked. Alcides Escobar advanced to 2B.
P_Light,1342,R Perez,2900,2016-09-11,Roberto Perez singled to left (Liner). Abraham Almonte advanced to 3B. Tyler Naquin advanced to 2B.
P_Light,1342,J Martinez,6184,2016-09-22,J.D. Martinez walked.
P_Light,1342,J Upton,5222,2016-09-22,Justin Upton walked. J.D. Martinez advanced to 2B.
P_Light,1342,J Upton,5222,2016-09-22,James McCann advanced on a wild pitch to 2B.
P_Light,1342,J Upton,5222,2016-09-22,James McCann advanced on a wild pitch to 3B. Justin Upton scored. Erick Aybar
P_Light,1342,M Cabrera,4022,2016-09-02,Melky Cabrera singled to left (Liner). Tyler Saladino advanced to 2B.
P_Light,1342,J Bautista,1887,2016-08-28,Jose Bautista singled to left (Grounder).
P_Light,1342,P Orlando,8628,2016-09-06,Paulo Orlando singled to right (Grounder). Alcides Escobar scored. Drew Butera scored. Jarrod Dyson advanced to 3B.
