playername,playerid,vsname,vsid,date,Play
P_Severino,1452,R Ray,1148,2016-09-29,Pedro Severino homered (Fly).
P_Severino,1452,D Hinojosa,1567,2016-04-28,Pedro Severino walked.
P_Severino,1452,P Coke,5535,2016-09-25,Pedro Severino walked. Chris Heisey scored. Anthony Rendon advanced to 3B. Clint Robinson advanced to 2B.
P_Severino,1452,Z Godley,1486,2016-08-03,Pedro Severino singled to left (Grounder).
P_Severino,1452,Z Godley,1486,2016-08-03,Pedro Severino was hit by a pitch. Anthony Rendon advanced to 3B. Danny Espinosa advanced to 2B.
P_Severino,1452,J Peavy,1051,2016-07-30,Pedro Severino singled to left (Grounder). Ryan Zimmerman advanced to 2B.
P_Severino,1452,R Ray,1148,2016-09-29,Pedro Severino walked. Michael Taylor advanced to 2B.
P_Severino,1452,M Cabrera,1297,2016-08-18,Pedro Severino reached on error to second (Grounder). Error by Jace Peterson.
P_Severino,1452,E Escobar,1033,2016-09-26,Pedro Severino flied out to shortstop (Fly).
P_Severino,1452,Z Godley,1486,2016-09-29,Pedro Severino grounded out to pitcher (Grounder). Michael Taylor advanced to 2B.
P_Severino,1452,R Whalen,1416,2016-08-13,Pedro Severino struck out swinging.
P_Severino,1452,W Chen,1307,2016-10-01,Pedro Severino struck out looking.
P_Severino,1452,W Chen,1307,2016-10-01,Pedro Severino grounded out to second (Grounder).
P_Severino,1452,B Cunniff,1150,2016-09-17,Pedro Severino grounded out to third (Grounder).
P_Severino,1452,J Ramirez,1017,2016-08-18,Pedro Severino fouled out to catcher (Fly).
P_Severino,1452,R Whalen,1416,2016-08-18,Pedro Severino flied out to third (Fly).
P_Severino,1452,J Collmenter,7312,2016-09-17,Pedro Severino flied out to left (Fliner (Fly)).
