playername,playerid,vsname,vsid,date,Play
R_Alcantara,1279,N Aoki,1307,2016-09-11,Nori Aoki grounded into a double play to first (Grounder). Ketel Marte out at second.
R_Alcantara,1279,A Lind,8027,2016-09-30,Adam Lind grounded out to second (Grounder).
R_Alcantara,1279,N Cruz,2434,2016-09-11,Nelson Cruz flied out to right (Fly).
R_Alcantara,1279,L Martin,1184,2016-09-30,Leonys Martin struck out swinging.
R_Alcantara,1279,N Mazara,1455,2016-09-24,Nomar Mazara flied out to left (Fly). Jurickson Profar out at second.
R_Alcantara,1279,H Alberto,1190,2016-09-24,Hanser Alberto reached on fielder's choice to shortstop (Grounder). Robinson Chirinos out at third.
R_Alcantara,1279,M Zunino,1326,2016-09-11,Mike Zunino struck out swinging.
R_Alcantara,1279,R Cano,3269,2016-09-11,Robinson Cano grounded out to second (Grounder).
R_Alcantara,1279,J Hoying,1088,2016-09-24,Jared Hoying grounded out to second (Grounder).
R_Alcantara,1279,L Martin,1184,2016-09-11,Leonys Martin grounded out to second (Grounder).
R_Alcantara,1279,K Marte,1361,2016-09-11,Ketel Marte singled to shortstop (Grounder). Leonys Martin out at home. Ketel Marte
R_Alcantara,1279,A Beltre,639&,2016-09-17,Adrian Beltre struck out swinging.
R_Alcantara,1279,R Rua,1240,2016-09-24,Ryan Rua struck out looking.
R_Alcantara,1279,N Aoki,1307,2016-09-11,Nori Aoki lined out to first (Liner).
R_Alcantara,1279,N Mazara,1455,2016-09-17,Nomar Mazara flied out to center (Fliner (Liner)).
R_Alcantara,1279,J Hoying,1088,2016-09-24,Jared Hoying flied out to center (Fly).
R_Alcantara,1279,I Desmond,6885,2016-09-17,Ian Desmond struck out swinging.
R_Alcantara,1279,J Profar,1081,2016-09-24,Jurickson Profar grounded out to first (Grounder).
R_Alcantara,1279,D DeShields,1137,2016-09-24,Delino DeShields grounded out to pitcher (Grounder).
R_Alcantara,1279,J Gallo,1412,2016-09-24,Joey Gallo struck out looking.
R_Alcantara,1279,M Zunino,1326,2016-09-30,Mike Zunino grounded out to pitcher (Grounder).
R_Alcantara,1279,I Desmond,6885,2016-09-17,Ian Desmond grounded out to second (Grounder).
R_Alcantara,1279,C Beltran,589&,2016-09-17,Carlos Beltran flied out to second (Fly).
R_Alcantara,1279,J Lucroy,7870,2016-09-17,Jonathan Lucroy flied out to right (Fliner (Fly)).
R_Alcantara,1279,N Mazara,1455,2016-09-24,Nomar Mazara struck out looking.
R_Alcantara,1279,K Marte,1361,2016-09-30,Ketel Marte grounded out to first (Grounder).
R_Alcantara,1279,C Gomez,4881,2016-09-17,Carlos Gomez flied out to center (Fliner (Liner)).
R_Alcantara,1279,M Moreland,3086,2016-09-17,Mitch Moreland flied out to left (Fly).
R_Alcantara,1279,H Alberto,1190,2016-09-24,Hanser Alberto grounded out to second (Grounder).
R_Alcantara,1279,J Bandy,1250,2016-09-05,Jett Bandy grounded out to third (Grounder).
R_Alcantara,1279,N Mazara,1455,2016-09-17,Nomar Mazara fouled out to third (Fly).
R_Alcantara,1279,N Buss,6835,2016-09-05,Nick Buss hit a sacrifice fly to left (Fly). C.J. Cron scored.
R_Alcantara,1279,E Andrus,8709,2016-09-17,Elvis Andrus singled to left (Fliner (Liner)).
R_Alcantara,1279,A Lind,8027,2016-09-11,Adam Lind walked.
R_Alcantara,1279,C Beltran,589&,2016-09-17,Carlos Beltran singled to right (Grounder).
R_Alcantara,1279,C Beltran,589&,2016-09-17,Carlos Beltran singled to left (Grounder).
R_Alcantara,1279,D DeShields,1137,2016-09-24,Delino DeShields advanced on a stolen base to 2B.
R_Alcantara,1279,R Rua,1240,2016-09-24,Ryan Rua singled to center (Grounder).
R_Alcantara,1279,J Profar,1081,2016-09-24,Jurickson Profar singled to center (Fliner (Liner)).
R_Alcantara,1279,N Buss,6835,2016-09-05,Nick Buss hit a sacrifice fly to center (Fly). Andrelton Simmons scored.
R_Alcantara,1279,M Trout,1015,2016-09-05,Mike Trout was hit by a pitch.
R_Alcantara,1279,M Trout,1015,2016-09-05,Mike Trout singled to left (Liner).
R_Alcantara,1279,R Chirinos,3142,2016-09-24,Robinson Chirinos doubled to left (Liner).
R_Alcantara,1279,C Gomez,4881,2016-09-17,Carlos Gomez homered (Fliner (Fly)). Elvis Andrus scored.
R_Alcantara,1279,N Aoki,1307,2016-09-30,Nori Aoki singled to second (Grounder).
R_Alcantara,1279,A Pujols,1177,2016-09-05,Albert Pujols singled to left (Fliner (Liner)). Mike Trout advanced to 2B.
R_Alcantara,1279,N Cruz,2434,2016-09-11,Nelson Cruz singled to left (Grounder).
R_Alcantara,1279,J Hoying,1088,2016-09-24,Jared Hoying doubled to left (Liner).
R_Alcantara,1279,D Lee,1872,2016-09-11,Dae-Ho Lee doubled to left (Fliner (Fly)). Nelson Cruz advanced to 3B.
R_Alcantara,1279,C Cron,1254,2016-09-05,C.J. Cron singled to right (Fliner (Fly)). Mike Trout advanced to 3B. Albert Pujols advanced to 2B.
R_Alcantara,1279,N Aoki,1307,2016-09-30,Nori Aoki homered (Fly).
R_Alcantara,1279,K Calhoun,1120,2016-09-05,Kole Calhoun homered (Fliner (Fly)).
R_Alcantara,1279,E Andrus,8709,2016-09-24,Elvis Andrus homered (Fly). Jared Hoying scored.
R_Alcantara,1279,M Zunino,1326,2016-09-11,Mike Zunino homered (Fly). Adam Lind scored.
