playername,playerid,vsname,vsid,date,Play
R_Cabrera,1032,J Johnson,3656,2016-07-19,Ramon Cabrera doubled to left (Fliner (Liner)). Eugenio Suarez advanced to 3B.
R_Cabrera,1032,J Fernandez,1153,2016-08-18,Ramon Cabrera homered (Fly). Brandon Phillips scored. Scott Schebler scored.
R_Cabrera,1032,R Vogelsong,1011,2016-09-16,Ramon Cabrera homered (Fliner (Fly)). Eugenio Suarez scored.
R_Cabrera,1032,L McCullers,1412,2016-06-17,Ramon Cabrera singled to center (Fliner (Liner)). Billy Hamilton advanced to 3B.
R_Cabrera,1032,R Nolasco,3830,2016-08-31,Ramon Cabrera doubled to right (Liner).
R_Cabrera,1032,Z Davies,1318,2016-05-27,Ramon Cabrera singled to right (Grounder). Billy Hamilton advanced to 3B.
R_Cabrera,1032,J Johnson,3656,2016-06-15,Ramon Cabrera singled to left (Fliner (Liner)).
R_Cabrera,1032,E Burgos,3895,2016-08-26,Ramon Cabrera hit a sacrifice fly to right (Fliner (Fly)). Scott Schebler scored. Eugenio Suarez out at third.
R_Cabrera,1032,G Gonzalez,7448,2016-06-03,Ramon Cabrera singled to shortstop (Grounder). Eugenio Suarez advanced to 3B. Billy Hamilton advanced to 2B.
R_Cabrera,1032,J Lackey,1507,2016-07-05,Ramon Cabrera doubled to right (Fliner (Liner)). Eugenio Suarez scored. Ramon Cabrera advanced to 3B on error. Error by Javier Baez.
R_Cabrera,1032,R Nolasco,3830,2016-08-31,Ramon Cabrera singled to third (Grounder). Ramon Cabrera advanced to 2B on error. Error by Jefry Marte.
R_Cabrera,1032,T Williams,1697,2016-09-17,Ramon Cabrera homered (Fly).
R_Cabrera,1032,C Capuano,1701,2016-05-08,Ramon Cabrera singled to second (Grounder).
R_Cabrera,1032,P Neshek,4682,2016-06-17,Ramon Cabrera sacrificed to pitcher (Bunt Grounder). Eugenio Suarez scored.
R_Cabrera,1032,R Vogelsong,1011,2016-09-16,Ramon Cabrera singled to center (Grounder).
R_Cabrera,1032,K Graveman,1551,2016-06-12,Ramon Cabrera singled to right (Liner). Eugenio Suarez advanced to 3B.
R_Cabrera,1032,W Miley,8779,2016-05-22,Ramon Cabrera singled to center (Liner).
R_Cabrera,1032,W Miley,8779,2016-05-22,Ramon Cabrera singled to center (Grounder).
R_Cabrera,1032,W Peralta,7738,2016-09-25,Ramon Cabrera singled to center (Liner).
R_Cabrera,1032,C Kelly,9174,2016-06-15,Ramon Cabrera reached on error to shortstop (Grounder). Error by Erick Aybar.
R_Cabrera,1032,T Glasnow,1437,2016-09-11,Ramon Cabrera singled to center (Fliner (Liner)). Brandon Phillips scored.
R_Cabrera,1032,M Leake,1013,2016-09-28,Ramon Cabrera reached on error to second (Grounder). Error by Greg Garcia.
R_Cabrera,1032,M Shoemaker,4776,2016-08-29,Ramon Cabrera singled to right (Grounder).
R_Cabrera,1032,S Maness,1223,2016-08-04,Ramon Cabrera singled to right (Liner). Scott Schebler scored. Eugenio Suarez advanced to 3B.
R_Cabrera,1032,H Rondon,2391,2016-09-21,Ramon Cabrera was hit by a pitch.
R_Cabrera,1032,J Marinez,5830,2016-07-16,Ramon Cabrera singled to center (Fly). Jose Peraza advanced to 2B.
R_Cabrera,1032,J Broxton,4759,2016-06-07,Ramon Cabrera advanced on a stolen base to 2B.
R_Cabrera,1032,T Glasnow,1437,2016-09-11,Ramon Cabrera singled to left (Fliner (Fly)).
R_Cabrera,1032,D Otero,7385,2016-05-16,Ramon Cabrera singled to right (Liner). Jordan Pacheco advanced to 2B.
R_Cabrera,1032,T Wood,9884,2016-06-28,Ramon Cabrera advanced on defensive indifference to 2B.
R_Cabrera,1032,S Bracho,1505,2016-08-27,Ramon Cabrera grounded out to shortstop (Grounder). Eugenio Suarez advanced to 3B.
R_Cabrera,1032,J Blanton,4849,2016-08-20,Ramon Cabrera flied out to left (Fliner (Fly)).
R_Cabrera,1032,J Williams,1137,2016-08-04,Ramon Cabrera struck out swinging.
R_Cabrera,1032,J Nelson,1054,2016-07-16,Ramon Cabrera flied out to right (Fly).
R_Cabrera,1032,J Nelson,1054,2016-07-16,Ramon Cabrera flied out to left (Fly).
R_Cabrera,1032,V Campos,1168,2016-08-27,Ramon Cabrera flied out to shortstop (Fly).
R_Cabrera,1032,W Peralta,7738,2016-08-14,Ramon Cabrera struck out swinging.
R_Cabrera,1032,J Peavy,1051,2016-05-04,Ramon Cabrera flied out to left (Fly).
R_Cabrera,1032,D Law,1313,2016-05-04,Ramon Cabrera grounded out to first (Grounder).
R_Cabrera,1032,A Chapman,1023,2016-10-01,Ramon Cabrera struck out swinging.
R_Cabrera,1032,M Shoemaker,4776,2016-08-29,Ramon Cabrera grounded out to first (Grounder).
R_Cabrera,1032,R Scahill,9286,2016-08-14,Ramon Cabrera grounded out to second (Grounder).
R_Cabrera,1032,J Fernandez,1153,2016-08-18,Ramon Cabrera lined out to shortstop (Liner).
R_Cabrera,1032,T Thornburg,1068,2016-08-14,Ramon Cabrera flied out to right (Fliner (Liner)).
R_Cabrera,1032,M Leake,1013,2016-08-04,Ramon Cabrera grounded out to shortstop (Grounder).
R_Cabrera,1032,B Anderson,8223,2016-08-20,Ramon Cabrera grounded out to pitcher (Grounder).
R_Cabrera,1032,C Edwards Jr.,1360,2016-06-29,Ramon Cabrera struck out swinging.
R_Cabrera,1032,S Strasburg,1013,2016-07-03,Ramon Cabrera grounded out to second (Grounder).
R_Cabrera,1032,J Lester,4930,2016-10-01,Ramon Cabrera struck out swinging.
R_Cabrera,1032,J Peralta,2332,2016-07-05,Ramon Cabrera struck out swinging.
R_Cabrera,1032,J Peavy,1051,2016-05-04,Ramon Cabrera fouled out to first (Fly).
R_Cabrera,1032,J Smith,3281,2016-10-02,Ramon Cabrera struck out swinging.
R_Cabrera,1032,G Cole,1312,2016-08-07,Ramon Cabrera grounded out to pitcher (Grounder).
R_Cabrera,1032,A Wainwright,2233,2016-06-09,Ramon Cabrera flied out to right (Fly).
R_Cabrera,1032,J Hughes,9325,2016-09-09,Ramon Cabrera flied out to left (Fliner (Fly)).
R_Cabrera,1032,W Miley,8779,2016-05-22,Ramon Cabrera grounded out to second (Grounder).
R_Cabrera,1032,C Friedrich,7942,2016-06-23,Ramon Cabrera flied out to shortstop (Fly).
R_Cabrera,1032,T Williams,1697,2016-09-17,Ramon Cabrera struck out swinging.
R_Cabrera,1032,Z Davies,1318,2016-05-27,Ramon Cabrera flied out to left (Fliner (Fly)).
R_Cabrera,1032,C Anderson,1279,2016-05-16,Ramon Cabrera flied out to left (Fly).
R_Cabrera,1032,P Strop,4070,2016-10-01,Ramon Cabrera flied out to right (Fly).
R_Cabrera,1032,B Anderson,8223,2016-08-20,Ramon Cabrera grounded out to catcher (Grounder).
R_Cabrera,1032,J Marinez,5830,2016-09-25,Ramon Cabrera struck out swinging.
R_Cabrera,1032,Y Darvish,1307,2016-08-24,Ramon Cabrera reached on fielder's choice to second (Grounder). Adam Duvall scored. Scott Schebler advanced to 3B. Eugenio Suarez out at second.
R_Cabrera,1032,J Barrett,1332,2016-07-24,Ramon Cabrera grounded out to shortstop (Grounder).
R_Cabrera,1032,R Buchter,9456,2016-06-23,Ramon Cabrera flied out to second (Fly).
R_Cabrera,1032,T Chatwood,4338,2016-06-01,Ramon Cabrera flied out to center (Fliner (Fly)).
R_Cabrera,1032,J Lester,4930,2016-10-01,Ramon Cabrera grounded out to shortstop (Grounder).
R_Cabrera,1032,J Peavy,1051,2016-05-04,Ramon Cabrera struck out swinging.
R_Cabrera,1032,Z Godley,1486,2016-07-24,Ramon Cabrera grounded out to first (Grounder).
R_Cabrera,1032,B Boyer,2237,2016-05-27,Ramon Cabrera struck out swinging.
R_Cabrera,1032,J Lackey,1507,2016-07-05,Ramon Cabrera struck out looking.
R_Cabrera,1032,M Cain,4732,2016-07-26,Ramon Cabrera fouled out to third (Fly).
R_Cabrera,1032,J Nelson,1054,2016-07-16,Ramon Cabrera grounded out to first (Grounder). Jose Peraza advanced to 3B.
R_Cabrera,1032,Y Darvish,1307,2016-08-24,Ramon Cabrera flied out to left (Fly).
R_Cabrera,1032,D Pomeranz,1142,2016-06-25,Ramon Cabrera grounded out to pitcher (Grounder).
