playername,playerid,vsname,vsid,date,Play
R_Erlin,1035,C Owings,1003,2016-04-17,Chris Owings grounded into a double play to shortstop (Grounder). Jake Lamb out at second.
R_Erlin,1035,M Franco,1217,2016-04-12,Maikel Franco grounded into a double play to shortstop (Grounder). Odubel Herrera out at second.
R_Erlin,1035,C Hernandez,1055,2016-04-12,Cesar Hernandez struck out swinging.
R_Erlin,1035,G Parra,8553,2016-04-08,Gerardo Parra flied out to center (Fliner (Fly)).
R_Erlin,1035,P Gosselin,1095,2016-04-17,Phil Gosselin flied out to left (Fliner (Fly)).
R_Erlin,1035,R Howard,2154,2016-04-12,Ryan Howard struck out swinging.
R_Erlin,1035,M Reynolds,7619,2016-04-08,Mark Reynolds lined out to second (Liner).
R_Erlin,1035,P Corbin,9323,2016-04-17,Patrick Corbin grounded out to first (Grounder).
R_Erlin,1035,R Howard,2154,2016-04-12,Ryan Howard flied out to right (Fly).
R_Erlin,1035,P Corbin,9323,2016-04-17,Patrick Corbin out on a dropped third strike.
R_Erlin,1035,J Lamb,1332,2016-04-17,Jake Lamb out on a dropped third strike.
R_Erlin,1035,C Ruiz,2579,2016-04-12,Carlos Ruiz grounded out to second (Grounder).
R_Erlin,1035,N Hundley,3376,2016-04-08,Nick Hundley struck out swinging.
R_Erlin,1035,N Ahmed,1214,2016-04-17,Nick Ahmed fouled out to catcher (Fly).
R_Erlin,1035,N Ahmed,1214,2016-04-17,Nick Ahmed grounded out to shortstop (Grounder).
R_Erlin,1035,R Weeks Jr.,1849,2016-04-17,Rickie Weeks Jr. grounded out to third (Grounder).
R_Erlin,1035,C Morton,4676,2016-04-12,Charlie Morton struck out swinging.
R_Erlin,1035,D LeMahieu,9874,2016-04-08,DJ LeMahieu flied out to right (Fliner (Liner)).
R_Erlin,1035,M Franco,1217,2016-04-12,Maikel Franco fouled out to left (Fly).
R_Erlin,1035,B Drury,1161,2016-04-17,Brandon Drury flied out to second (Fly).
R_Erlin,1035,T Story,1256,2016-04-08,Trevor Story flied out to left (Fly).
R_Erlin,1035,R Weeks Jr.,1849,2016-04-17,Rickie Weeks Jr. walked.
R_Erlin,1035,F Galvis,6609,2016-04-12,Freddy Galvis singled to center (Liner).
R_Erlin,1035,C Owings,1003,2016-04-17,Chris Owings singled to center (Fliner (Liner)).
R_Erlin,1035,J Lamb,1332,2016-04-17,Jake Lamb grounded out to first (Grounder). Brandon Drury scored.
R_Erlin,1035,O Herrera,1147,2016-04-12,Odubel Herrera walked.
R_Erlin,1035,T Goeddel,1318,2016-04-12,Tyler Goeddel advanced on a wild pitch to 2B.
R_Erlin,1035,T Goeddel,1318,2016-04-12,Tyler Goeddel singled to left (Grounder).
R_Erlin,1035,Y Tomas,1717,2016-04-17,Yasmany Tomas homered (Fly).
R_Erlin,1035,Y Tomas,1717,2016-04-17,Yasmany Tomas homered (Fliner (Fly)). Phil Gosselin scored.
