playername,playerid,vsname,vsid,date,Play
R_Flaherty,7888,E Volquez,3990,2016-06-08,Ryan Flaherty doubled to right (Fliner (Liner)). Jonathan Schoop scored. Pedro Alvarez scored. Nolan Reimold advanced to 3B.
R_Flaherty,7888,M Stroman,1343,2016-06-19,Ryan Flaherty doubled to left (Liner). Jonathan Schoop scored.
R_Flaherty,7888,B Norris,9492,2016-07-06,Ryan Flaherty doubled to right (Fliner (Liner)). Mark Trumbo scored.
R_Flaherty,7888,S Wright,8185,2016-05-30,Ryan Flaherty doubled to left (Grounder). Nolan Reimold scored.
R_Flaherty,7888,J Berrios,1416,2016-05-10,Ryan Flaherty doubled to center (Fliner (Fly)).
R_Flaherty,7888,R Ross Jr.,6819,2016-06-02,Ryan Flaherty walked.
R_Flaherty,7888,M Estrada,1118,2016-06-10,Ryan Flaherty singled to left (Fliner (Liner)). Nolan Reimold advanced to 2B.
R_Flaherty,7888,L Perdomo,1468,2016-06-21,Ryan Flaherty singled to right (Grounder). J.J. Hardy advanced to 2B.
R_Flaherty,7888,I Nova,1994,2016-06-04,Ryan Flaherty walked.
R_Flaherty,7888,C Sabathia,404&,2016-05-04,Ryan Flaherty walked.
R_Flaherty,7888,M Shoemaker,4776,2016-05-21,Ryan Flaherty singled to center (Grounder).
R_Flaherty,7888,L Gregerson,4090,2016-05-24,Ryan Flaherty walked. Jonathan Schoop advanced to 2B.
R_Flaherty,7888,B Norris,9492,2016-07-06,Ryan Flaherty advanced on a wild pitch to 3B.
R_Flaherty,7888,M Tanaka,1576,2016-05-05,Ryan Flaherty singled to right (Grounder).
R_Flaherty,7888,J Hahn,1328,2016-05-07,Ryan Flaherty singled to first (Grounder). Jonathan Schoop advanced to 3B on error. Ryan Flaherty Error by Yonder Alonso.
R_Flaherty,7888,C Buchholz,3543,2016-06-01,Ryan Flaherty grounded out to first (Grounder). Matt Wieters scored. Pedro Alvarez advanced to 3B. Jonathan Schoop advanced to 2B.
R_Flaherty,7888,C Kluber,2429,2016-07-24,Ryan Flaherty singled to center (Grounder). Pedro Alvarez advanced to 2B.
R_Flaherty,7888,R Porcello,2717,2016-06-02,Ryan Flaherty singled to center (Fliner (Liner)).
R_Flaherty,7888,M Clevinger,1280,2016-05-29,Ryan Flaherty hit a sacrifice fly to left (Fly). Jonathan Schoop scored.
R_Flaherty,7888,M Clevinger,1280,2016-05-29,Ryan Flaherty singled to center (Grounder).
R_Flaherty,7888,M Pelfrey,5203,2016-05-12,Ryan Flaherty singled to center (Grounder).
R_Flaherty,7888,K Herrera,6033,2016-04-24,Ryan Flaherty singled to first (Liner).
R_Flaherty,7888,N Ramirez,1280,2016-04-12,Ryan Flaherty advanced on a stolen base to 2B.
R_Flaherty,7888,J Hahn,1328,2016-05-07,Ryan Flaherty walked.
R_Flaherty,7888,A Sanchez,1149,2016-06-17,Ryan Flaherty doubled to right (Fliner (Fly)).
R_Flaherty,7888,P Venditte,7108,2016-06-12,Ryan Flaherty singled to second (Grounder).
R_Flaherty,7888,P Moylan,4891,2016-06-07,Ryan Flaherty walked.
R_Flaherty,7888,J Mantiply,1485,2016-09-10,Ryan Flaherty singled to center (Grounder).
R_Flaherty,7888,J Chavez,5448,2016-07-30,Ryan Flaherty struck out looking.
R_Flaherty,7888,T Sipp,8280,2016-08-20,Ryan Flaherty struck out looking.
R_Flaherty,7888,C Smith,4544,2016-08-11,Ryan Flaherty grounded out to second (Grounder).
R_Flaherty,7888,A Sanchez,1149,2016-06-17,Ryan Flaherty struck out looking.
R_Flaherty,7888,B Parker,5224,2016-08-28,Ryan Flaherty grounded out to second (Grounder).
R_Flaherty,7888,K Yates,9073,2016-08-27,Ryan Flaherty struck out swinging.
