playername,playerid,vsname,vsid,date,Play
R_Flores,1116,J deGrom,1095,2016-05-21,Ramon Flores homered (Fly). Aaron Hill scored.
R_Flores,1116,M Wacha,1407,2016-07-03,Ramon Flores doubled to right (Grounder). Aaron Hill scored. Kirk Nieuwenhuis scored.
R_Flores,1116,D Mengden,1698,2016-06-22,Ramon Flores doubled to left (Fliner (Fly)). Ramon Flores advanced to 3B on error. Error by Coco Crisp.
R_Flores,1116,M Leake,1013,2016-04-13,Ramon Flores singled to center (Grounder). Jonathan Lucroy scored.
R_Flores,1116,C Kelly,9174,2016-05-25,Ramon Flores singled to center (Grounder).
R_Flores,1116,B Wood,1345,2016-05-08,Ramon Flores walked.
R_Flores,1116,R Iglesias,1713,2016-07-15,Ramon Flores walked. Will Middlebrooks advanced to 2B.
R_Flores,1116,B Wood,1345,2016-05-28,Ramon Flores singled to center (Grounder).
R_Flores,1116,J Cueto,6893,2016-04-05,Ramon Flores singled to right (Grounder).
R_Flores,1116,T Roark,8753,2016-07-06,Ramon Flores singled to right (Grounder). Hernan Perez advanced to 2B.
R_Flores,1116,A Conley,1445,2016-05-10,Ramon Flores singled to center (Fliner (Liner)). Alex Presley advanced to 2B.
R_Flores,1116,A Nola,1614,2016-06-05,Ramon Flores walked. Hernan Perez advanced to 2B.
R_Flores,1116,S Gray,1276,2016-06-21,Ramon Flores singled to left (Grounder).
R_Flores,1116,B Finnegan,1620,2016-05-07,Ramon Flores singled to center (Fliner (Liner)).
R_Flores,1116,C Martinez,1168,2016-05-30,Ramon Flores reached on error to shortstop (Grounder). Error by Aledmys Diaz.
R_Flores,1116,M Scherzer,3137,2016-07-04,Ramon Flores reached on error to second (Grounder). Error by Stephen Drew.
R_Flores,1116,M Leake,1013,2016-05-31,Ramon Flores singled to left (Fliner (Liner)).
R_Flores,1116,K Maeda,1849,2016-06-19,Ramon Flores singled to left (Fliner (Liner)). Kirk Nieuwenhuis advanced to 2B.
R_Flores,1116,J Urias,1476,2016-06-28,Ramon Flores walked.
R_Flores,1116,N Tropeano,1238,2016-05-03,Ramon Flores walked.
R_Flores,1116,B Shipley,1515,2016-07-25,Ramon Flores singled to center (Liner). Hernan Perez advanced to 2B.
R_Flores,1116,C Breslow,4363,2016-04-30,Ramon Flores singled to center (Fliner (Fly)). Jonathan Lucroy scored. Aaron Hill scored.
R_Flores,1116,B Shipley,1515,2016-07-25,Ramon Flores walked.
R_Flores,1116,R Nolasco,3830,2016-04-21,Ramon Flores walked.
R_Flores,1116,C Cotham,1007,2016-05-06,Ramon Flores singled to left (Fliner (Liner)).
R_Flores,1116,M Leake,1013,2016-04-13,Ramon Flores singled to left (Liner).
R_Flores,1116,J Hahn,1328,2016-06-08,Ramon Flores walked. Kirk Nieuwenhuis advanced to 2B.
R_Flores,1116,A Suarez,6175,2016-06-13,Ramon Flores singled to right (Fliner (Liner)). Aaron Hill advanced to 2B.
R_Flores,1116,K Quackenbush,1236,2016-05-15,Ramon Flores walked.
R_Flores,1116,A Schugel,1143,2016-07-20,Ramon Flores singled to left (Grounder).
R_Flores,1116,G Gonzalez,7448,2016-07-05,Ramon Flores walked.
R_Flores,1116,J Hammel,4538,2016-05-19,Ramon Flores walked.
R_Flores,1116,J Gomez,9033,2016-06-02,Ramon Flores advanced on a passed ball to 2B. Passed ball by Cameron Rupp.
R_Flores,1116,J Hahn,1328,2016-06-08,Ramon Flores hit a sacrifice fly to left (Fliner (Fly)). Chris Carter scored.
R_Flores,1116,M Bolsinger,1113,2016-06-18,Ramon Flores singled to right (Fliner (Liner)).
