playername,playerid,vsname,vsid,date,Play
R_Fuentes,1032,E Santana,3200,2016-04-08,Reymond Fuentes singled to right (Fliner (Liner)). Salvador Perez scored. Omar Infante scored.
R_Fuentes,1032,R Madson,1852,2016-04-16,Reymond Fuentes reached on error to second (Grounder). Omar Infante advanced to 2B on error. Error by Jed Lowrie.
R_Fuentes,1032,N Syndergaard,1176,2016-04-05,Reymond Fuentes reached on dropped third strike (wp).
R_Fuentes,1032,J Tomlin,9388,2016-06-04,Reymond Fuentes singled to third (Fliner (Fly)). Kendrys Morales scored. Paulo Orlando advanced to 2B.
R_Fuentes,1032,C Carrasco,6632,2016-06-02,Reymond Fuentes singled to center (Liner).
R_Fuentes,1032,C McHugh,7531,2016-04-11,Reymond Fuentes singled to shortstop (Grounder).
R_Fuentes,1032,C Carrasco,6632,2016-06-13,Reymond Fuentes singled to center (Grounder).
R_Fuentes,1032,C Kluber,2429,2016-06-05,Reymond Fuentes walked.
R_Fuentes,1032,U Jimenez,3374,2016-06-07,Reymond Fuentes doubled to right (Liner).
R_Fuentes,1032,C McHugh,7531,2016-04-11,Reymond Fuentes singled to right (Grounder). Omar Infante advanced to 2B.
R_Fuentes,1032,J Fields,5070,2016-04-11,Reymond Fuentes flied out to second (Fly).
R_Fuentes,1032,J Manship,6865,2016-06-15,Reymond Fuentes reached on fielder's choice to second (Grounder). Cheslor Cuthbert out at second.
R_Fuentes,1032,B Colon,375&,2016-04-03,Reymond Fuentes flied out to third (Fly).
R_Fuentes,1032,C Kluber,2429,2016-06-15,Reymond Fuentes struck out swinging.
R_Fuentes,1032,J Chamberlain,2692,2016-06-13,Reymond Fuentes grounded out to pitcher (Grounder).
R_Fuentes,1032,N Syndergaard,1176,2016-04-05,Reymond Fuentes struck out swinging.
R_Fuentes,1032,C Kluber,2429,2016-06-05,Reymond Fuentes flied out to left (Fly).
R_Fuentes,1032,E Santana,3200,2016-04-08,Reymond Fuentes was caught stealing.
R_Fuentes,1032,C Bassitt,1230,2016-04-17,Reymond Fuentes grounded out to second (Grounder).
R_Fuentes,1032,C Bassitt,1230,2016-04-17,Reymond Fuentes grounded out to first (Grounder).
R_Fuentes,1032,A Adams,7411,2016-06-02,Reymond Fuentes out on a dropped third strike.
R_Fuentes,1032,C Carrasco,6632,2016-06-13,Reymond Fuentes struck out swinging.
R_Fuentes,1032,U Jimenez,3374,2016-06-07,Reymond Fuentes lined out to shortstop (Liner).
