playername,playerid,vsname,vsid,date,Play
R_Hill,4806,G Polanco,1290,2016-07-02,Gregory Polanco grounded into a double play to first (Grounder). Andrew McCutchen advanced to 3B. Jung Ho Kang out at second.
R_Hill,4806,M Cabrera,1744,2016-05-29,Miguel Cabrera grounded into a double play to second (Grounder). Ian Kinsler advanced to 3B. J.D. Martinez out at second.
R_Hill,4806,F Gutierrez,3255,2016-05-23,Franklin Gutierrez grounded into a double play to shortstop (Grounder). Leonys Martin out at second.
R_Hill,4806,K Kiermaier,1103,2016-05-13,Kevin Kiermaier grounded out to second (Grounder).
R_Hill,4806,C Taylor,1375,2016-05-23,Chris Taylor struck out swinging.
R_Hill,4806,E Kratz,4403,2016-07-02,Erik Kratz flied out to left (Fly).
R_Hill,4806,B Miller,1277,2016-05-13,Brad Miller reached on fielder's choice to catcher (Bunt Grounder). Steven Souza Jr. out at second.
R_Hill,4806,J McCann,1285,2016-05-29,James McCann struck out swinging.
R_Hill,4806,M Gonzalez,5497,2016-07-07,Marwin Gonzalez struck out looking.
R_Hill,4806,E Nunez,6848,2016-09-20,Eduardo Nunez was caught stealing.
R_Hill,4806,J Martinez,6184,2016-04-26,J.D. Martinez grounded into a double play to shortstop (Grounder). Miguel Cabrera out at second.
R_Hill,4806,M Williamson,1415,2016-09-20,Mac Williamson struck out swinging.
R_Hill,4806,R Cano,3269,2016-05-23,Robinson Cano grounded into a double play to second (Grounder). Leonys Martin out at second.
R_Hill,4806,D Lee,1872,2016-05-23,Dae-Ho Lee struck out swinging.
R_Hill,4806,E Hosmer,3516,2016-04-15,Eric Hosmer grounded into a double play to second (Grounder). Omar Infante scored. Lorenzo Cain out at second.
R_Hill,4806,J Iglesias,1023,2016-05-29,Jose Iglesias flied out to second (Fly).
R_Hill,4806,O Infante,1609,2016-04-15,Omar Infante grounded out to pitcher (Grounder).
R_Hill,4806,D Freese,9549,2016-07-02,David Freese grounded out to shortstop (Grounder).
R_Hill,4806,B Crawford,5343,2016-08-24,Brandon Crawford struck out looking.
R_Hill,4806,K Tomlinson,1300,2016-09-30,Kelby Tomlinson struck out swinging.
R_Hill,4806,R Torreyes,1140,2016-04-21,Ronald Torreyes grounded out to third (Grounder).
R_Hill,4806,N Cruz,2434,2016-04-09,Nelson Cruz flied out to right (Fly).
R_Hill,4806,K Seager,9785,2016-04-09,Kyle Seager struck out swinging.
R_Hill,4806,V Martinez,393&,2016-04-26,Victor Martinez flied out to right (Fly).
R_Hill,4806,D Stubbs,9328,2016-05-18,Drew Stubbs struck out swinging.
R_Hill,4806,B Posey,9166,2016-09-30,Buster Posey struck out swinging.
R_Hill,4806,B Posey,9166,2016-08-24,Buster Posey flied out to center (Fly).
R_Hill,4806,K Marte,1361,2016-04-09,Ketel Marte struck out swinging.
R_Hill,4806,C Yelich,1147,2016-09-10,Christian Yelich flied out to left (Fly).
R_Hill,4806,W Myers,1004,2016-09-03,Wil Myers struck out looking.
