playername,playerid,vsname,vsid,date,Play
R_Iglesias,1713,A Frazier,1522,2016-09-09,Adam Frazier flied out to left (Fly).
R_Iglesias,1713,G Garcia,1095,2016-09-28,Greg Garcia flied out to left (Fly).
R_Iglesias,1713,J Rondon,1414,2016-07-30,Jose Rondon struck out swinging.
R_Iglesias,1713,A Diaz,1593,2016-09-28,Aledmys Diaz grounded out to third (Grounder).
R_Iglesias,1713,J Kang,1718,2016-09-09,Jung Ho Kang grounded into a double play to shortstop (Grounder). Gregory Polanco out at second.
R_Iglesias,1713,J Profar,1081,2016-08-23,Jurickson Profar struck out looking.
R_Iglesias,1713,J Segura,5933,2016-08-26,Jean Segura flied out to left (Fly).
R_Iglesias,1713,J Villar,1007,2016-07-15,Jonathan Villar fouled out to third (Fly).
R_Iglesias,1713,M Bourn,6387,2016-08-26,Michael Bourn flied out to center (Fly).
R_Iglesias,1713,E Andrus,8709,2016-08-23,Elvis Andrus reached on fielder's choice to third (Grounder). Mitch Moreland out at third. Nomar Mazara advanced to 2B.
R_Iglesias,1713,J Baez,1297,2016-07-05,Javier Baez flied out to pitcher (Bunt Fly).
R_Iglesias,1713,D Espinosa,9219,2016-07-01,Danny Espinosa struck out swinging.
R_Iglesias,1713,R Zimmerman,4220,2016-07-01,Ryan Zimmerman flied out to center (Fliner (Liner)).
R_Iglesias,1713,K Bryant,1542,2016-07-05,Kris Bryant struck out swinging.
R_Iglesias,1713,J Baez,1297,2016-10-02,Javier Baez struck out swinging.
R_Iglesias,1713,C Owings,1003,2016-08-26,Chris Owings grounded out to pitcher (Grounder).
R_Iglesias,1713,B Zobrist,7435,2016-04-14,Ben Zobrist flied out to right (Fliner (Fly)). Dexter Fowler out at third.
R_Iglesias,1713,G Blanco,3123,2016-07-27,Gregor Blanco grounded out to second (Grounder).
R_Iglesias,1713,J Harrison,8202,2016-08-07,Josh Harrison struck out swinging.
R_Iglesias,1713,M Bourn,6387,2016-08-26,Michael Bourn lined out to first (Liner).
R_Iglesias,1713,S Piscotty,1336,2016-09-02,Stephen Piscotty flied out to left (Fliner (Fly)).
R_Iglesias,1713,S Drew,4251,2016-07-01,Stephen Drew flied out to center (Fly).
R_Iglesias,1713,N Arenado,9777,2016-04-20,Nolan Arenado grounded out to shortstop (Grounder).
R_Iglesias,1713,B Wallace,8434,2016-07-30,Brett Wallace flied out to second (Fly).
R_Iglesias,1713,A Hechavarria,1045,2016-08-18,Adeiny Hechavarria flied out to right (Fly).
R_Iglesias,1713,G Parra,8553,2016-04-20,Gerardo Parra flied out to left (Fly).
R_Iglesias,1713,C Carter,9911,2016-09-25,Chris Carter struck out swinging.
R_Iglesias,1713,J Mercer,6547,2016-08-07,Jordy Mercer reached on fielder's choice to shortstop (Grounder). Matt Joyce scored. Jung Ho Kang out at third. John Jaso advanced to 2B.
R_Iglesias,1713,G Blanco,3123,2016-07-25,Gregor Blanco struck out swinging.
R_Iglesias,1713,Y Molina,7007,2016-09-02,Yadier Molina grounded out to pitcher (Grounder).
R_Iglesias,1713,M Reynolds,7619,2016-04-20,Mark Reynolds struck out swinging.
R_Iglesias,1713,T Jankowski,1376,2016-07-30,Travis Jankowski struck out looking.
R_Iglesias,1713,R Braun,3410,2016-07-15,Ryan Braun grounded out to second (Grounder). Scooter Gennett advanced to 2B.
R_Iglesias,1713,R Howard,2154,2016-04-04,Ryan Howard struck out swinging.
R_Iglesias,1713,B Posey,9166,2016-07-25,Buster Posey flied out to second (Fly).
R_Iglesias,1713,O Herrera,1147,2016-04-04,Odubel Herrera struck out swinging.
R_Iglesias,1713,N Walker,7539,2016-04-25,Neil Walker struck out looking.
R_Iglesias,1713,J Lamb,1332,2016-07-22,Jake Lamb struck out swinging.
R_Iglesias,1713,A McCutchen,9847,2016-04-09,Andrew McCutchen fouled out to third (Fly).
R_Iglesias,1713,D Norris,6867,2016-07-30,Derek Norris grounded out to third (Grounder).
R_Iglesias,1713,T Story,1256,2016-04-20,Trevor Story grounded out to shortstop (Grounder).
R_Iglesias,1713,C Hunter,2833,2016-04-04,Cedric Hunter struck out looking.
R_Iglesias,1713,C Hernandez,1055,2016-04-04,Cesar Hernandez flied out to left (Fliner (Fly)).
R_Iglesias,1713,M Freeman,1124,2016-07-22,Mike Freeman grounded out to pitcher (Grounder).
R_Iglesias,1713,D Freese,9549,2016-04-09,David Freese struck out swinging.
R_Iglesias,1713,D Span,8347,2016-07-25,Denard Span lined out to pitcher (Liner).
R_Iglesias,1713,D Garneau,9433,2016-04-20,Dustin Garneau struck out looking.
R_Iglesias,1713,H Perez,5751,2016-09-25,Hernan Perez struck out swinging.
R_Iglesias,1713,B Paulsen,9741,2016-04-20,Ben Paulsen grounded out to first (Grounder).
R_Iglesias,1713,P Bourjos,2578,2016-04-04,Peter Bourjos struck out looking.
R_Iglesias,1713,O Herrera,1147,2016-04-04,Odubel Herrera reached on fielder's choice to second (Grounder). Jeremy Hellickson out at second.
R_Iglesias,1713,N Syndergaard,1176,2016-04-25,Noah Syndergaard struck out looking.
