playername,playerid,vsname,vsid,date,Play
R_Martin,4616,C Kimbrel,6655,2016-05-28,Russell Martin doubled to left (Fliner (Liner)). Ezequiel Carrera scored.
R_Martin,4616,A Warren,9029,2016-08-16,Russell Martin homered (Fly). Troy Tulowitzki scored.
R_Martin,4616,R Ray,1148,2016-06-22,Russell Martin homered (Fly). Josh Donaldson scored. Edwin Encarnacion scored.
R_Martin,4616,C Kluber,2429,2016-07-03,Russell Martin homered (Fly). Josh Donaldson scored. Michael Saunders scored.
R_Martin,4616,D Smyly,1176,2016-09-13,Russell Martin homered (Fly). Jose Bautista scored.
R_Martin,4616,T Bauer,1270,2016-08-19,Russell Martin homered (Fliner (Fly)). Michael Saunders scored.
R_Martin,4616,C Kimbrel,6655,2016-04-18,Russell Martin singled to center (Fliner (Liner)). Josh Donaldson scored. Jose Bautista scored. Troy Tulowitzki advanced to 3B.
R_Martin,4616,T Barnette,3555,2016-05-04,Russell Martin singled to right (Fliner (Fly)). Ezequiel Carrera scored. Justin Smoak advanced to 3B. Kevin Pillar advanced to 2B.
R_Martin,4616,J Valdez,1447,2016-09-15,Russell Martin homered (Fliner (Fly)). Josh Donaldson scored. Jose Bautista scored.
R_Martin,4616,I Nova,1994,2016-05-25,Russell Martin homered (Fly).
R_Martin,4616,Z Britton,3240,2016-06-18,Russell Martin walked. Devon Travis advanced to 3B. Darwin Barney advanced to 2B.
R_Martin,4616,J Tazawa,4079,2016-05-28,Devon Travis advanced on a wild pitch to 3B. Russell Martin scored.
R_Martin,4616,M Fiers,7754,2016-08-04,Troy Tulowitzki advanced on a wild pitch to 2B. Russell Martin scored.
R_Martin,4616,C Buchholz,3543,2016-09-11,Russell Martin walked. Josh Donaldson scored. Edwin Encarnacion advanced to 3B. Jose Bautista advanced to 2B.
R_Martin,4616,D Floro,1339,2016-08-08,Russell Martin walked. Michael Saunders advanced to 3B. Troy Tulowitzki advanced to 2B.
R_Martin,4616,T Skaggs,1019,2016-08-23,Russell Martin walked. Darwin Barney scored. Josh Donaldson advanced to 3B. Edwin Encarnacion advanced to 2B.
R_Martin,4616,C Villanueva,4138,2016-07-26,Russell Martin singled to center (Fliner (Liner)).
R_Martin,4616,J Tomlin,9388,2016-08-20,Russell Martin homered (Fly).
R_Martin,4616,M Givens,1043,2016-07-30,Russell Martin doubled to right (Fliner (Fly)). Edwin Encarnacion scored. Michael Saunders scored. Troy Tulowitzki advanced to 3B.
R_Martin,4616,C Kimbrel,6655,2016-06-04,Russell Martin singled to center (Liner).
R_Martin,4616,B Hand,9111,2016-07-26,Russell Martin walked.
R_Martin,4616,J Dominguez,1157,2016-07-26,Russell Martin was hit by a pitch.
R_Martin,4616,A Swarzak,7466,2016-08-16,Russell Martin homered (Fly).
R_Martin,4616,D Holland,4141,2016-05-05,Russell Martin singled to center (Grounder). Edwin Encarnacion scored.
R_Martin,4616,S Manaea,1587,2016-07-17,Russell Martin doubled to center (Fliner (Liner)).
R_Martin,4616,P Corbin,9323,2016-06-21,Russell Martin singled to left (Liner).
R_Martin,4616,M Wright,1258,2016-04-19,Russell Martin walked. Edwin Encarnacion advanced to 3B. Justin Smoak advanced to 2B.
R_Martin,4616,E Rodriguez,1316,2016-10-01,Russell Martin walked. Jose Bautista advanced to 2B.
R_Martin,4616,E Volquez,3990,2016-07-04,Russell Martin walked.
R_Martin,4616,M Givens,1043,2016-07-31,Russell Martin walked.
R_Martin,4616,M Fiers,7754,2016-08-14,Russell Martin homered (Fly).
R_Martin,4616,E Rodriguez,1316,2016-10-01,Russell Martin walked.
R_Martin,4616,M Wright,1258,2016-06-17,Russell Martin doubled to center (Fliner (Fly)).
R_Martin,4616,C Shreve,1085,2016-05-25,Russell Martin homered (Fliner (Fly)). Justin Smoak scored.
R_Martin,4616,C Tillman,5279,2016-07-31,Russell Martin doubled to right (Fliner (Liner)).
R_Martin,4616,C Sabathia,404&,2016-09-24,Russell Martin singled to right (Grounder). Jose Bautista advanced to 2B.
R_Martin,4616,C Archer,6345,2016-05-17,Russell Martin singled to center (Fliner (Fly)).
R_Martin,4616,A Nola,1614,2016-06-16,Russell Martin singled to left (Liner). Josh Donaldson scored. Edwin Encarnacion advanced to 2B.
R_Martin,4616,R Nolasco,3830,2016-09-17,Russell Martin singled to center (Fliner (Liner)).
R_Martin,4616,M Boyd,1544,2016-06-07,Russell Martin singled to left (Liner).
R_Martin,4616,E Rodriguez,1316,2016-09-10,Russell Martin walked.
R_Martin,4616,J Wilson,4301,2016-07-09,Russell Martin singled to center (Grounder).
R_Martin,4616,L Cessa,1334,2016-09-06,Russell Martin singled to center (Grounder).
R_Martin,4616,C Tillman,5279,2016-06-19,Russell Martin doubled to center (Fliner (Fly)).
R_Martin,4616,K Gausman,1410,2016-06-10,Russell Martin walked.
R_Martin,4616,B Ziegler,7293,2016-10-02,Russell Martin singled to third (Grounder). Edwin Encarnacion advanced to 3B.
R_Martin,4616,Y Flande,5057,2016-06-28,Russell Martin walked.
R_Martin,4616,C Tillman,5279,2016-09-28,Russell Martin walked. Jose Bautista advanced to 2B.
R_Martin,4616,C McHugh,7531,2016-08-13,Russell Martin walked.
R_Martin,4616,R Nolasco,3830,2016-09-17,Russell Martin advanced on a stolen base to 2B.
R_Martin,4616,B Shaw,8110,2016-08-20,Russell Martin singled to center (Fliner (Liner)).
R_Martin,4616,F Hernandez,4772,2016-09-21,Russell Martin walked.
R_Martin,4616,L Hendriks,3548,2016-07-15,Russell Martin singled to center (Grounder). Michael Saunders advanced to 2B.
R_Martin,4616,T Duffey,1375,2016-05-20,Russell Martin singled to center (Fliner (Liner)).
R_Martin,4616,M Givens,1043,2016-06-10,Russell Martin walked.
R_Martin,4616,C Tillman,5279,2016-07-31,Russell Martin walked.
R_Martin,4616,S Gray,1276,2016-04-22,Russell Martin doubled to center (Fliner (Fly)).
R_Martin,4616,C Lewis,1259,2016-05-04,Russell Martin singled to center (Grounder).
R_Martin,4616,C Kimbrel,6655,2016-05-28,Russell Martin advanced on a wild pitch to 3B.
R_Martin,4616,M Boyd,1544,2016-06-07,Russell Martin walked. Edwin Encarnacion advanced to 2B.
R_Martin,4616,D Farquhar,8501,2016-09-02,Russell Martin walked.
R_Martin,4616,J Hellickson,4371,2016-06-15,Russell Martin was hit by a pitch.
R_Martin,4616,B Kintzler,9939,2016-05-21,Russell Martin singled to right (Grounder).
R_Martin,4616,S Morimando,1360,2016-07-02,Russell Martin singled to third (Grounder).
R_Martin,4616,D Law,1313,2016-05-10,Russell Martin singled to right (Grounder). Troy Tulowitzki scored.
