playername,playerid,vsname,vsid,date,Play
R_Pena,8841,E Burgos,3895,2016-07-03,Ramiro Pena doubled to right (Liner). Jarrett Parker scored.
R_Pena,8841,J Hughes,9325,2016-06-22,Ramiro Pena doubled to center (Fliner (Liner)). Brandon Crawford scored.
R_Pena,8841,S Gonzalez,1469,2016-06-26,Ramiro Pena doubled to right (Fly).
R_Pena,8841,C Reed,1523,2016-07-26,Ramiro Pena singled to shortstop (Grounder). Brandon Crawford scored. Brandon Belt advanced to 3B.
R_Pena,8841,B Maurer,4878,2016-07-17,Ramiro Pena singled to center (Fliner (Fly)).
R_Pena,8841,A Nola,1614,2016-06-26,Ramiro Pena singled to center (Grounder).
R_Pena,8841,A Cashner,8782,2016-07-15,Ramiro Pena was hit by a pitch.
R_Pena,8841,A Nola,1614,2016-06-26,Ramiro Pena was hit by a pitch. Brandon Crawford advanced to 3B. Jarrett Parker advanced to 2B.
R_Pena,8841,J Niese,4424,2016-06-23,Ramiro Pena singled to center (Grounder). Trevor Brown advanced to 2B.
R_Pena,8841,L Perdomo,1468,2016-07-16,Ramiro Pena doubled to center (Fliner (Fly)).
R_Pena,8841,J Locke,2929,2016-06-20,Ramiro Pena singled to left (Grounder).
R_Pena,8841,J Motte,5861,2016-07-05,Ramiro Pena singled to right (Fliner (Liner)). Brandon Crawford advanced to 2B.
R_Pena,8841,D Mengden,1698,2016-06-27,Conor Gillaspie advanced on a wild pitch to 2B.
R_Pena,8841,Z Neal,1129,2016-06-27,Ramiro Pena singled to center (Liner). Mac Williamson scored.
R_Pena,8841,J Rondon,5791,2016-06-21,Ramiro Pena tripled to center (Fliner (Fly)).
R_Pena,8841,J Barnes,1232,2016-06-15,Ramiro Pena struck out swinging.
R_Pena,8841,T Clippard,5640,2016-07-10,Ramiro Pena struck out looking.
R_Pena,8841,K Graveman,1551,2016-06-28,Ramiro Pena flied out to shortstop (Fly).
R_Pena,8841,C Reed,1523,2016-07-26,Ramiro Pena reached on fielder's choice to shortstop (Grounder). Brandon Belt out at second.
R_Pena,8841,H Neris,1180,2016-06-24,Ramiro Pena flied out to right (Fly).
R_Pena,8841,J Lyles,7593,2016-07-05,Ramiro Pena grounded out to shortstop (Grounder).
R_Pena,8841,B Ziegler,7293,2016-07-19,Ramiro Pena flied out to center (Fly).
R_Pena,8841,J Niese,4424,2016-06-23,Ramiro Pena grounded out to shortstop (Grounder).
R_Pena,8841,D Mengden,1698,2016-06-27,Ramiro Pena grounded out to second (Grounder).
R_Pena,8841,R Dull,1397,2016-06-28,Ramiro Pena flied out to center (Fliner (Fly)).
R_Pena,8841,J Diaz,3397,2016-07-25,Ramiro Pena struck out swinging.
R_Pena,8841,T Chatwood,4338,2016-07-05,Ramiro Pena flied out to right (Fliner (Fly)).
R_Pena,8841,R Buchter,9456,2016-07-15,Ramiro Pena fouled out to first (Fly).
R_Pena,8841,A Swarzak,7466,2016-07-23,Ramiro Pena flied out to third (Fly).
R_Pena,8841,M Scherzer,3137,2016-07-29,Ramiro Pena flied out to center (Fly).
R_Pena,8841,R Porcello,2717,2016-07-19,Ramiro Pena reached on fielder's choice to second (Grounder). Mac Williamson out at second.
R_Pena,8841,I Nova,1994,2016-07-23,Ramiro Pena doubled to left (Fliner (Fly)). Mac Williamson out at home. Ramiro Pena advanced to 2B.
R_Pena,8841,E Jackson,1841,2016-07-17,Ramiro Pena reached on fielder's choice to second (Grounder). Brandon Crawford advanced to 3B. Gregor Blanco out at second.
R_Pena,8841,K Quackenbush,1236,2016-07-16,Ramiro Pena grounded out to second (Grounder).
R_Pena,8841,D Mengden,1698,2016-06-27,Ramiro Pena flied out to left (Fliner (Fly)).
R_Pena,8841,K Graveman,1551,2016-06-28,Ramiro Pena flied out to left (Fliner (Fly)).
R_Pena,8841,J Locke,2929,2016-06-20,Ramiro Pena grounded out to second (Grounder).
R_Pena,8841,L Perdomo,1468,2016-07-16,Ramiro Pena flied out to left (Fly).
R_Pena,8841,J Locke,2929,2016-06-20,Ramiro Pena reached on fielder's choice to shortstop (Grounder). Brandon Crawford out at second.
R_Pena,8841,B Oberholtzer,3855,2016-06-26,Ramiro Pena reached on fielder's choice to third (Grounder). Brandon Crawford out at third. Jarrett Parker advanced to 2B.
R_Pena,8841,A DeSclafani,1305,2016-07-25,Ramiro Pena reached on fielder's choice to first (Grounder). Conor Gillaspie out at second.
R_Pena,8841,N Eovaldi,9132,2016-07-24,Ramiro Pena grounded out to second (Grounder).
R_Pena,8841,D Betances,6216,2016-07-22,Ramiro Pena struck out swinging.
R_Pena,8841,T Cingrani,1255,2016-07-25,Ramiro Pena struck out looking.
R_Pena,8841,N Eovaldi,9132,2016-07-24,Ramiro Pena grounded out to second (Grounder).
R_Pena,8841,S Manaea,1587,2016-06-29,Ramiro Pena grounded out to shortstop (Grounder). Mac Williamson out at second.
R_Pena,8841,A Miller,6785,2016-07-22,Ramiro Pena struck out looking.
