playername,playerid,vsname,vsid,date,Play
R_Refsnyder,1377,M Boyd,1544,2016-06-02,Rob Refsnyder singled to left (Liner). Chase Headley scored. Austin Romine advanced to 2B.
R_Refsnyder,1377,T Milone,7608,2016-06-24,Rob Refsnyder singled to left (Fliner (Liner)). Didi Gregorius scored. Brett Gardner advanced to 2B.
R_Refsnyder,1377,P Dean,1135,2016-06-17,Rob Refsnyder doubled to left (Fliner (Liner)). Jacoby Ellsbury scored.
R_Refsnyder,1377,M Boyd,1544,2016-06-02,Rob Refsnyder doubled to center (Fliner (Liner)).
R_Refsnyder,1377,T Wilson,1269,2016-06-04,Rob Refsnyder doubled to right (Fliner (Liner)). Starlin Castro scored.
R_Refsnyder,1377,K Gausman,1410,2016-06-05,Rob Refsnyder walked. Chase Headley advanced to 3B. Didi Gregorius advanced to 2B.
R_Refsnyder,1377,T Bauer,1270,2016-07-07,Rob Refsnyder singled to center (Grounder). Chase Headley advanced to 2B.
R_Refsnyder,1377,G Germen,5876,2016-06-21,Rob Refsnyder doubled to left (Liner).
R_Refsnyder,1377,B Snell,1354,2016-07-31,Rob Refsnyder singled to third (Grounder).
R_Refsnyder,1377,C Rodon,1613,2016-07-05,Rob Refsnyder singled to left (Grounder).
R_Refsnyder,1377,L Verrett,1290,2016-08-01,Rob Refsnyder walked.
R_Refsnyder,1377,W Miley,8779,2016-10-01,Rob Refsnyder singled to third (Grounder). Billy Butler advanced to 2B.
R_Refsnyder,1377,C Carrasco,6632,2016-08-07,Rob Refsnyder singled to center (Fliner (Liner)).
R_Refsnyder,1377,C Hamels,4972,2016-06-28,Rob Refsnyder walked.
R_Refsnyder,1377,D Salazar,5867,2016-07-09,Rob Refsnyder singled to pitcher (Grounder). Chase Headley advanced to 2B.
R_Refsnyder,1377,M Bush,1246,2016-06-29,Rob Refsnyder singled to center (Fliner (Liner)).
R_Refsnyder,1377,W Miley,8779,2016-09-04,Rob Refsnyder singled to center (Grounder).
R_Refsnyder,1377,M Bumgarner,5524,2016-07-22,Rob Refsnyder walked. Carlos Beltran advanced to 2B.
R_Refsnyder,1377,R Ross Jr.,6819,2016-08-10,Jacoby Ellsbury advanced on a wild pitch to 3B. Rob Refsnyder scored.
R_Refsnyder,1377,V Worley,6435,2016-07-19,Rob Refsnyder advanced on a stolen base to 2B.
R_Refsnyder,1377,J Gray,1491,2016-06-22,Rob Refsnyder walked.
R_Refsnyder,1377,W Miley,8779,2016-09-04,Chase Headley advanced on a wild pitch to 2B.
R_Refsnyder,1377,D Pomeranz,1142,2016-09-18,Rob Refsnyder walked.
R_Refsnyder,1377,C Carrasco,6632,2016-07-10,Rob Refsnyder reached on error to third (Grounder). Error by Jose Ramirez.
R_Refsnyder,1377,N Martinez,1273,2016-06-29,Rob Refsnyder walked.
R_Refsnyder,1377,R Garton,1401,2016-09-09,Rob Refsnyder singled to center (Grounder).
R_Refsnyder,1377,H Robles,1180,2016-08-03,Rob Refsnyder hit a sacrifice fly to center (Fly). Gary Sanchez scored.
R_Refsnyder,1377,K Gausman,1410,2016-07-18,Rob Refsnyder singled to second (Grounder).
R_Refsnyder,1377,H Hembree,1163,2016-07-17,Rob Refsnyder walked.
R_Refsnyder,1377,C Rodon,1613,2016-07-05,Rob Refsnyder walked.
R_Refsnyder,1377,P Dean,1135,2016-06-17,Rob Refsnyder walked.
R_Refsnyder,1377,Z McAllister,2895,2016-08-05,Rob Refsnyder singled to third (Grounder). Gary Sanchez advanced to 3B.
R_Refsnyder,1377,D Jennings,8073,2016-07-04,Rob Refsnyder reached on error to pitcher (Grounder). Error by Dan Jennings.
R_Refsnyder,1377,J Miller,8580,2016-06-14,Rob Refsnyder singled to center (Fliner (Liner)).
R_Refsnyder,1377,D Barnes,1138,2016-09-23,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,C Kluber,2429,2016-07-08,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,E Goeddel,1171,2016-08-03,Rob Refsnyder flied out to center (Fly).
R_Refsnyder,1377,T Rogers,1344,2016-06-17,Rob Refsnyder grounded out to shortstop (Grounder).
R_Refsnyder,1377,M Pelfrey,5203,2016-06-10,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,Y Gallardo,8173,2016-09-30,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,B Hand,9111,2016-07-01,Rob Refsnyder struck out looking.
R_Refsnyder,1377,C Carrasco,6632,2016-08-07,Rob Refsnyder lined out to first (Liner).
R_Refsnyder,1377,S Manaea,1587,2016-05-21,Rob Refsnyder grounded out to third (Grounder).
R_Refsnyder,1377,C Archer,6345,2016-09-10,Rob Refsnyder flied out to right (Fly).
R_Refsnyder,1377,S Greene,1075,2016-06-12,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,O Despaigne,1601,2016-07-19,Rob Refsnyder flied out to left (Fliner (Fly)).
R_Refsnyder,1377,J Odorizzi,6397,2016-07-29,Rob Refsnyder fouled out to first (Fliner (Fly)).
R_Refsnyder,1377,J Gray,1491,2016-06-22,Rob Refsnyder flied out to left (Fliner (Liner)).
R_Refsnyder,1377,H Street,8258,2016-06-09,Rob Refsnyder flied out to first (Fly).
R_Refsnyder,1377,A Loup,1034,2016-05-30,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,D Pomeranz,1142,2016-09-18,Rob Refsnyder grounded out to second (Grounder).
R_Refsnyder,1377,J Marks,1026,2016-09-09,Rob Refsnyder reached on fielder's choice to shortstop (Grounder). Aaron Judge out at second.
R_Refsnyder,1377,M Bumgarner,5524,2016-07-22,Rob Refsnyder fouled out to first (Fliner (Fly)).
R_Refsnyder,1377,W Miley,8779,2016-09-04,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,C Tillman,5279,2016-06-03,Rob Refsnyder reached on error to third (Grounder). Rob Refsnyder out. Error by Ryan Flaherty.
R_Refsnyder,1377,K Jepsen,6475,2016-07-29,Rob Refsnyder flied out to right (Fliner (Fly)).
R_Refsnyder,1377,D Keuchel,9434,2016-07-25,Rob Refsnyder grounded out to second (Grounder).
R_Refsnyder,1377,J Urias,1476,2016-09-13,Rob Refsnyder grounded out to second (Grounder).
R_Refsnyder,1377,T Wilson,1269,2016-06-04,Rob Refsnyder flied out to center (Fly). Chase Headley advanced to 3B.
R_Refsnyder,1377,D Keuchel,9434,2016-07-25,Rob Refsnyder flied out to right (Fliner (Fly)).
R_Refsnyder,1377,C Tillman,5279,2016-06-03,Rob Refsnyder grounded out to second (Grounder).
R_Refsnyder,1377,M Boyd,1544,2016-06-02,Rob Refsnyder grounded out to third (Grounder).
R_Refsnyder,1377,C Ramos,3357,2016-06-29,Rob Refsnyder grounded out to shortstop (Grounder).
R_Refsnyder,1377,J Tazawa,4079,2016-09-18,Rob Refsnyder struck out swinging.
R_Refsnyder,1377,D Keuchel,9434,2016-07-25,Rob Refsnyder grounded out to third (Grounder).
R_Refsnyder,1377,D Pomeranz,1142,2016-07-02,Rob Refsnyder flied out to right (Fliner (Liner)).
R_Refsnyder,1377,H Robles,1180,2016-08-01,Rob Refsnyder flied out to right (Fliner (Liner)).
