playername,playerid,vsname,vsid,date,Play
R_Vogelsong,1011,A Duvall,1095,2016-05-01,Adam Duvall flied out to left (Fly).
R_Vogelsong,1011,I De Jesus,9886,2016-05-01,Ivan De Jesus flied out to right (Fliner (Liner)). Tucker Barnhart out at home.
R_Vogelsong,1011,F Freeman,5361,2016-08-04,Freddie Freeman struck out swinging.
R_Vogelsong,1011,M Kemp,5631,2016-08-04,Matt Kemp flied out to center (Fliner (Fly)).
R_Vogelsong,1011,H Pence,8252,2016-08-15,Hunter Pence lined out to third (Liner).
R_Vogelsong,1011,A Diaz,1593,2016-10-02,Aledmys Diaz flied out to left (Fliner (Fly)).
R_Vogelsong,1011,R Stephenson,1359,2016-09-16,Robert Stephenson grounded into a double play to first (Bunt Grounder). Ramon Cabrera out at second.
R_Vogelsong,1011,K Broxton,9253,2016-08-26,Keon Broxton reached on fielder's choice to shortstop (Grounder). Chris Carter out at third. Kirk Nieuwenhuis advanced to 2B.
R_Vogelsong,1011,J Soler,1422,2016-08-31,Jorge Soler grounded out to third (Grounder).
R_Vogelsong,1011,J Votto,4314,2016-05-01,Joey Votto grounded out to second (Grounder).
R_Vogelsong,1011,I Suzuki,1101,2016-08-21,Ichiro Suzuki flied out to left (Fliner (Liner)).
R_Vogelsong,1011,S Schebler,1222,2016-09-16,Scott Schebler flied out to second (Fly).
R_Vogelsong,1011,M Reynolds,7619,2016-05-23,Mark Reynolds grounded out to second (Grounder).
R_Vogelsong,1011,J Lackey,1507,2016-09-27,John Lackey struck out looking.
R_Vogelsong,1011,J Gyorko,1081,2016-09-06,Jedd Gyorko flied out to left (Fliner (Liner)).
R_Vogelsong,1011,M Garza,3340,2016-08-26,Matt Garza out on a dropped third strike.
R_Vogelsong,1011,M Cabrera,1744,2016-04-13,Miguel Cabrera flied out to right (Fly).
R_Vogelsong,1011,B Phillips,791&,2016-05-01,Brandon Phillips grounded out to shortstop (Grounder).
R_Vogelsong,1011,M Montero,3364,2016-09-27,Miguel Montero struck out looking.
R_Vogelsong,1011,J Villar,1007,2016-09-22,Jonathan Villar was caught stealing.
R_Vogelsong,1011,D Span,8347,2016-08-15,Denard Span singled to left (Fliner (Liner)). Trevor Brown out at home. Denard Span
R_Vogelsong,1011,A Duvall,1095,2016-09-16,Adam Duvall flied out to left (Fly).
R_Vogelsong,1011,M Ozuna,1032,2016-08-21,Marcell Ozuna grounded out to shortstop (Grounder).
R_Vogelsong,1011,E Suarez,1255,2016-04-08,Eugenio Suarez flied out to center (Fly).
R_Vogelsong,1011,N Arenado,9777,2016-05-23,Nolan Arenado flied out to center (Fly).
R_Vogelsong,1011,E Aybar,4082,2016-08-04,Erick Aybar grounded out to second (Grounder).
R_Vogelsong,1011,W Myers,1004,2016-08-10,Wil Myers struck out looking.
R_Vogelsong,1011,A Diaz,1593,2016-10-02,Aledmys Diaz flied out to right (Fly).
R_Vogelsong,1011,J Iglesias,1023,2016-04-13,Jose Iglesias lined out to pitcher (Liner).
