playername,playerid,vsname,vsid,date,Play
S_Choo,3174,K Siegrist,8180,2016-06-18,Shin-Soo Choo walked. Rougned Odor scored. Jurickson Profar advanced to 3B. Robinson Chirinos advanced to 2B.
S_Choo,3174,K Gausman,1410,2016-06-20,Shin-Soo Choo singled to right (Fliner (Fly)). Elvis Andrus scored. Mitch Moreland scored.
S_Choo,3174,C Devenski,1276,2016-08-07,Shin-Soo Choo doubled to right (Liner).
S_Choo,3174,I Nova,1994,2016-06-27,Shin-Soo Choo doubled to right (Liner). Robinson Chirinos advanced to 3B.
S_Choo,3174,M Pineda,5372,2016-06-30,Shin-Soo Choo homered (Fliner (Fly)).
S_Choo,3174,D Price,3184,2016-06-24,Shin-Soo Choo homered (Fly).
S_Choo,3174,D Price,3184,2016-07-05,Shin-Soo Choo homered (Fly).
S_Choo,3174,T Cingrani,1255,2016-06-22,Shin-Soo Choo homered (Fly).
S_Choo,3174,J Peralta,2332,2016-04-05,Shin-Soo Choo walked.
S_Choo,3174,M Tanaka,1576,2016-06-29,Shin-Soo Choo singled to right (Grounder). Robinson Chirinos advanced to 2B.
S_Choo,3174,W Miley,8779,2016-08-04,Shin-Soo Choo doubled to center (Fliner (Liner)).
S_Choo,3174,C Devenski,1276,2016-08-06,Shin-Soo Choo advanced on a stolen base to 2B.
S_Choo,3174,W Harris,3192,2016-08-07,Shin-Soo Choo was hit by a pitch. Delino DeShields advanced to 2B.
S_Choo,3174,D Straily,9460,2016-06-22,Shin-Soo Choo walked.
S_Choo,3174,J de la Rosa,2047,2016-08-10,Shin-Soo Choo singled to left (Grounder). Elvis Andrus advanced to 2B.
S_Choo,3174,S Gray,1276,2016-06-15,Shin-Soo Choo doubled to left (Fliner (Fly)).
S_Choo,3174,R Garton,1401,2016-10-02,Shin-Soo Choo singled to center (Liner).
S_Choo,3174,L McCullers,1412,2016-05-20,Shin-Soo Choo walked.
S_Choo,3174,D Fister,9425,2016-08-06,Shin-Soo Choo singled to left (Fliner (Liner)).
