playername,playerid,vsname,vsid,date,Play
S_Clevenger,9542,F Salas,4971,2016-05-14,Steve Clevenger singled to right (Liner). Luis Sardinas scored.
S_Clevenger,9542,P Hughes,7450,2016-05-28,Steve Clevenger singled to center (Fliner (Liner)). Franklin Gutierrez scored on error. Steve Clevenger advanced to 2B. Error by Danny Santana.
S_Clevenger,9542,M Tanaka,1576,2016-04-17,Steve Clevenger singled to left (Fliner (Liner)). Kyle Seager scored.
S_Clevenger,9542,Y Darvish,1307,2016-06-03,Steve Clevenger doubled to left (Fliner (Fly)). Dae-Ho Lee advanced to 3B.
S_Clevenger,9542,M Bush,1246,2016-06-11,Steve Clevenger walked. Nelson Cruz advanced to 3B. Dae-Ho Lee advanced to 2B.
S_Clevenger,9542,M Shoemaker,4776,2016-04-24,Steve Clevenger walked.
S_Clevenger,9542,T Barnette,3555,2016-06-03,Steve Clevenger singled to left (Grounder).
S_Clevenger,9542,R Porcello,2717,2016-06-18,Steve Clevenger singled to left (Grounder).
S_Clevenger,9542,S Gray,1276,2016-05-03,Steve Clevenger singled to left (Liner).
S_Clevenger,9542,A Simon,2155,2016-05-22,Steve Clevenger singled to left (Fliner (Liner)). Nelson Cruz scored. Kyle Seager out at home. Adam Lind advanced to 2B. Steve Clevenger
S_Clevenger,9542,D Otero,7385,2016-06-07,Steve Clevenger walked.
S_Clevenger,9542,C Bethancourt,1002,2016-05-31,Steve Clevenger walked.
S_Clevenger,9542,L Perdomo,1468,2016-05-31,Steve Clevenger grounded out to pitcher (Grounder).
S_Clevenger,9542,C Rasmus,2413,2016-04-24,Steve Clevenger grounded out to shortstop (Grounder).
S_Clevenger,9542,J Manship,6865,2016-06-07,Steve Clevenger grounded into a double play to second (Grounder). Adam Lind out at second.
S_Clevenger,9542,D Bundy,1291,2016-05-19,Steve Clevenger flied out to center (Fliner (Liner)).
S_Clevenger,9542,T Wilson,1269,2016-05-19,Steve Clevenger grounded out to first (Grounder).
S_Clevenger,9542,C Anderson,1279,2016-06-07,Steve Clevenger flied out to left (Fliner (Fly)).
S_Clevenger,9542,T Lyons,1133,2016-06-25,Steve Clevenger grounded out to shortstop (Grounder).
S_Clevenger,9542,C Lewis,1259,2016-06-11,Steve Clevenger flied out to right (Fly).
S_Clevenger,9542,J Chacin,2608,2016-05-14,Steve Clevenger grounded out to first (Grounder).
S_Clevenger,9542,C Lewis,1259,2016-04-06,Steve Clevenger grounded out to first (Grounder).
S_Clevenger,9542,J Shields,7059,2016-05-31,Steve Clevenger flied out to right (Fly).
S_Clevenger,9542,W Davis,7441,2016-05-01,Steve Clevenger grounded out to third (Grounder).
S_Clevenger,9542,R Porcello,2717,2016-06-18,Steve Clevenger struck out swinging.
S_Clevenger,9542,S Dyson,1171,2016-06-03,Steve Clevenger grounded into a double play to third (Grounder). Dae-Ho Lee out at second.
S_Clevenger,9542,C Lewis,1259,2016-04-06,Steve Clevenger grounded out to shortstop (Grounder).
S_Clevenger,9542,A Simon,2155,2016-05-22,Steve Clevenger grounded out to first (Grounder).
S_Clevenger,9542,T Wilson,1269,2016-05-19,Steve Clevenger flied out to left (Fly).
S_Clevenger,9542,C McHugh,7531,2016-05-08,Steve Clevenger grounded out to pitcher (Grounder).
S_Clevenger,9542,J Chacin,2608,2016-05-14,Steve Clevenger flied out to left (Fliner (Liner)).
S_Clevenger,9542,C Bassitt,1230,2016-04-10,Steve Clevenger grounded out to shortstop (Grounder).
S_Clevenger,9542,Z McAllister,2895,2016-04-21,Steve Clevenger fouled out to left (Fly).
S_Clevenger,9542,C Bassitt,1230,2016-04-10,Steve Clevenger reached on fielder's choice to shortstop (Grounder). Ketel Marte out at second.
S_Clevenger,9542,M Tanaka,1576,2016-04-17,Steve Clevenger grounded out to third (Grounder).
S_Clevenger,9542,C McHugh,7531,2016-05-08,Steve Clevenger grounded out to second (Grounder).
S_Clevenger,9542,W Harris,3192,2016-04-27,Steve Clevenger struck out swinging.
S_Clevenger,9542,P Hughes,7450,2016-05-28,Steve Clevenger grounded into a double play to shortstop (Grounder). Kyle Seager scored. Adam Lind advanced to 3B. Franklin Gutierrez out at second.
