playername,playerid,vsname,vsid,date,Play
S_Freeman,6832,E Nunez,6848,2016-04-21,Eduardo Nunez flied out to center (Fliner (Fly)).
S_Freeman,6832,L Valbuena,4969,2016-04-08,Luis Valbuena flied out to left (Fly).
S_Freeman,6832,C Figueroa,8790,2016-04-16,Cole Figueroa flied out to left (Fliner (Fly)).
S_Freeman,6832,A Rizzo,3473,2016-04-28,Anthony Rizzo struck out looking.
S_Freeman,6832,J Mauer,1857,2016-04-21,Joe Mauer flied out to center (Fliner (Liner)).
S_Freeman,6832,J Murphy,1034,2016-04-21,JR Murphy struck out swinging.
S_Freeman,6832,S Piscotty,1336,2016-04-11,Stephen Piscotty grounded into a double play to shortstop (Grounder). Matt Adams out at second.
S_Freeman,6832,J Hazelbaker,9399,2016-04-14,Jeremy Hazelbaker struck out looking.
S_Freeman,6832,A Diaz,1593,2016-04-14,Aledmys Diaz flied out to shortstop (Fly).
S_Freeman,6832,B Buxton,1416,2016-04-21,Byron Buxton struck out swinging.
S_Freeman,6832,E Fryer,8145,2016-04-11,Eric Fryer singled to third (Grounder).
S_Freeman,6832,J Baez,1297,2016-04-28,Javier Baez advanced on a wild pitch to 2B.
S_Freeman,6832,E Nunez,6848,2016-04-21,Eduardo Nunez hit a sacrifice fly to right (Fly). Eddie Rosario scored.
S_Freeman,6832,D Ross,1551,2016-04-28,David Ross walked. Addison Russell advanced to 2B.
S_Freeman,6832,M Sano,1216,2016-04-21,Miguel Sano walked.
S_Freeman,6832,E Rosario,1215,2016-04-21,Eddie Rosario singled to right (Grounder). Max Kepler advanced to 2B.
S_Freeman,6832,A Rizzo,3473,2016-04-28,Anthony Rizzo walked.
S_Freeman,6832,C Gomez,4881,2016-04-08,Carlos Gomez singled to second (Grounder). Carlos Correa advanced to 2B.
S_Freeman,6832,J Baez,1297,2016-04-28,Javier Baez advanced on a passed ball to 2B. Passed ball by Jonathan Lucroy.
S_Freeman,6832,C Correa,1416,2016-04-08,Carlos Correa singled to left (Liner).
S_Freeman,6832,J Harrison,8202,2016-04-16,Josh Harrison singled to center (Grounder). Francisco Cervelli scored. Gregory Polanco advanced to 2B.
S_Freeman,6832,B Buxton,1416,2016-04-21,Byron Buxton advanced on error to 3B. Error by Sam Freeman.
S_Freeman,6832,B Buxton,1416,2016-04-21,Byron Buxton doubled to left (Liner).
S_Freeman,6832,M Gonzalez,5497,2016-04-08,Marwin Gonzalez walked.
