playername,playerid,vsname,vsid,date,Play
S_Geltz,8402,E Encarnacion,2151,2016-04-05,Edwin Encarnacion flied out to center (Fly).
S_Geltz,8402,D Nava,5450,2016-05-08,Daniel Nava flied out to right (Fliner (Fly)).
S_Geltz,8402,K Pillar,1243,2016-04-29,Kevin Pillar flied out to center (Fly).
S_Geltz,8402,A Garcia,5760,2016-04-16,Avisail Garcia flied out to center (Fly).
S_Geltz,8402,T Tulowitzki,3531,2016-04-29,Troy Tulowitzki flied out to second (Fly).
S_Geltz,8402,J Smoak,9054,2016-04-29,Justin Smoak flied out to third (Fly).
S_Geltz,8402,T Frazier,785&,2016-04-16,Todd Frazier grounded out to shortstop (Grounder).
S_Geltz,8402,J Pederson,1189,2016-05-03,Joc Pederson flied out to center (Fly).
S_Geltz,8402,S Castro,4579,2016-09-09,Starlin Castro grounded into a double play to third (Grounder). Gary Sanchez out at second.
S_Geltz,8402,A Ellis,5677,2016-05-03,A.J. Ellis struck out swinging.
S_Geltz,8402,J Reddick,3892,2016-05-13,Josh Reddick flied out to left (Fliner (Fly)).
S_Geltz,8402,R Perez,2900,2016-04-14,Roberto Perez struck out swinging.
S_Geltz,8402,J Altuve,5417,2016-08-28,Jose Altuve flied out to shortstop (Fly).
S_Geltz,8402,R Cano,3269,2016-05-09,Robinson Cano flied out to left (Fly).
S_Geltz,8402,K Davis,9112,2016-05-13,Khris Davis struck out swinging.
S_Geltz,8402,R Goins,9807,2016-04-04,Ryan Goins grounded out to pitcher (Grounder).
S_Geltz,8402,N Cruz,2434,2016-05-09,Nelson Cruz struck out swinging.
S_Geltz,8402,R Torreyes,1140,2016-09-21,Ronald Torreyes flied out to center (Fly).
S_Geltz,8402,T Anderson,1517,2016-09-27,Tim Anderson struck out looking.
S_Geltz,8402,S Vogt,5000,2016-05-13,Stephen Vogt fouled out to third (Fly).
S_Geltz,8402,F Gutierrez,3255,2016-05-09,Franklin Gutierrez struck out swinging.
S_Geltz,8402,M Cabrera,4022,2016-09-27,Melky Cabrera struck out swinging.
S_Geltz,8402,M Trumbo,6876,2016-06-24,Mark Trumbo flied out to right (Fly).
S_Geltz,8402,M Williams,1185,2016-09-21,Mason Williams grounded out to second (Grounder).
S_Geltz,8402,C Davis,9272,2016-06-24,Chris Davis grounded out to shortstop (Grounder).
S_Geltz,8402,M Cabrera,1744,2016-05-21,Miguel Cabrera flied out to center (Fliner (Liner)).
S_Geltz,8402,T Tulowitzki,3531,2016-09-14,Troy Tulowitzki struck out swinging.
S_Geltz,8402,B Belt,1026,2016-06-18,Brandon Belt flied out to center (Fliner (Fly)).
S_Geltz,8402,V Martinez,393&,2016-05-21,Victor Martinez lined out to first (Liner).
S_Geltz,8402,B Gardner,9927,2016-09-21,Brett Gardner flied out to center (Fly).
S_Geltz,8402,C Beltran,589&,2016-04-24,Carlos Beltran flied out to left (Fly).
S_Geltz,8402,D Pedroia,8370,2016-04-20,Dustin Pedroia grounded out to shortstop (Grounder).
S_Geltz,8402,S Pearce,9957,2016-09-06,Steve Pearce flied out to center (Fly).
S_Geltz,8402,R Goins,9807,2016-05-16,Ryan Goins grounded out to second (Grounder).
S_Geltz,8402,M Teixeira,1281,2016-04-24,Mark Teixeira flied out to right (Fliner (Liner)).
S_Geltz,8402,J Panik,1193,2016-06-17,Joe Panik struck out swinging.
S_Geltz,8402,P Alvarez,2495,2016-09-06,Pedro Alvarez flied out to left (Fliner (Fly)).
S_Geltz,8402,L Chisenhall,7571,2016-06-21,Lonnie Chisenhall lined out to second (Liner).
S_Geltz,8402,T Naquin,1335,2016-06-21,Tyler Naquin struck out swinging.
S_Geltz,8402,M Machado,1149,2016-09-06,Manny Machado singled to left (Liner).
S_Geltz,8402,M Teixeira,1281,2016-09-09,Mark Teixeira walked.
S_Geltz,8402,J Bautista,1887,2016-09-14,Jose Bautista walked.
S_Geltz,8402,J Uribe,454&,2016-06-21,Juan Uribe homered (Fly).
S_Geltz,8402,Y Alonso,2530,2016-05-13,Yonder Alonso singled to center (Liner).
S_Geltz,8402,J Kipnis,9776,2016-04-14,Jason Kipnis advanced on a stolen base to 2B.
S_Geltz,8402,A Jones,6368,2016-09-06,Adam Jones homered (Fly).
S_Geltz,8402,G Sanchez,1144,2016-09-09,Gary Sanchez walked.
S_Geltz,8402,M Cabrera,4022,2016-04-16,Melky Cabrera advanced on a wild pitch to 2B.
S_Geltz,8402,I Kinsler,6195,2016-05-21,Ian Kinsler advanced on a wild pitch to 2B.
S_Geltz,8402,C Perez,1064,2016-05-06,Carlos Perez walked.
S_Geltz,8402,R Martin,4616,2016-04-29,Russell Martin singled to right (Fliner (Liner)). Edwin Encarnacion advanced to 2B.
S_Geltz,8402,I Kinsler,6195,2016-05-21,Ian Kinsler advanced on a stolen base to 3B.
S_Geltz,8402,C Pennington,3395,2016-05-06,Cliff Pennington singled to left (Grounder). Carlos Perez advanced to 2B.
S_Geltz,8402,E Encarnacion,2151,2016-04-29,Edwin Encarnacion walked.
S_Geltz,8402,V Martinez,393&,2016-05-22,Victor Martinez homered (Fliner (Fly)). Jose Iglesias scored.
S_Geltz,8402,M Machado,1149,2016-06-24,Manny Machado homered (Fly).
S_Geltz,8402,J Martinez,6184,2016-05-21,J.D. Martinez homered (Fliner (Fly)). Ian Kinsler scored.
S_Geltz,8402,B Lawrie,5247,2016-04-16,Brett Lawrie homered (Fly). Melky Cabrera scored.
S_Geltz,8402,C Iannetta,8267,2016-05-11,Chris Iannetta homered (Fly).
