playername,playerid,vsname,vsid,date,Play
S_Gennett,1033,J Lackey,1507,2016-09-16,Scooter Gennett homered (Fliner (Fly)). Andrew Susac scored.
S_Gennett,1033,J Grimm,1172,2016-09-15,Scooter Gennett doubled to left (Fliner (Fly)). Domingo Santana scored. Martin Maldonado scored.
S_Gennett,1033,B Norris,9492,2016-05-24,Scooter Gennett singled to right (Liner). Jonathan Villar scored.
S_Gennett,1033,J Taillon,1167,2016-09-02,Scooter Gennett doubled to center (Fliner (Fly)). Martin Maldonado scored.
S_Gennett,1033,A Liberatore,1063,2016-06-17,Scooter Gennett doubled to left (Liner). Jonathan Lucroy scored. Chris Carter advanced to 3B.
S_Gennett,1033,C Martinez,1168,2016-09-09,Scooter Gennett homered (Fly). Jonathan Villar scored.
S_Gennett,1033,T Adleman,1096,2016-09-14,Scooter Gennett homered (Fly). Chris Carter scored.
S_Gennett,1033,J Eickhoff,1266,2016-04-24,Scooter Gennett homered (Fly).
S_Gennett,1033,M Cain,4732,2016-06-13,Scooter Gennett doubled to right (Liner). Ramon Flores scored. Jonathan Villar advanced to 3B.
S_Gennett,1033,A DeSclafani,1305,2016-07-15,Scooter Gennett homered (Fliner (Fly)).
S_Gennett,1033,D Hudson,7146,2016-08-05,Scooter Gennett doubled to right (Fliner (Fly)).
S_Gennett,1033,K Siegrist,8180,2016-08-29,Scooter Gennett singled to first (Grounder). Domingo Santana scored. Jonathan Villar advanced to 3B.
S_Gennett,1033,C Martinez,1168,2016-08-29,Scooter Gennett singled to right (Fliner (Liner)). Jonathan Villar scored.
S_Gennett,1033,M Bumgarner,5524,2016-04-04,Scooter Gennett homered (Fliner (Fly)).
S_Gennett,1033,I Nova,1994,2016-09-03,Scooter Gennett doubled to center (Fliner (Fly)).
S_Gennett,1033,S Feldman,6283,2016-04-08,Scooter Gennett homered (Fly).
S_Gennett,1033,M Bolsinger,1113,2016-06-18,Scooter Gennett singled to left (Fliner (Liner)). Chase Anderson scored. Jonathan Villar advanced to 2B.
S_Gennett,1033,J Hammel,4538,2016-07-22,Scooter Gennett doubled to right (Fliner (Fly)).
S_Gennett,1033,C Richard,3551,2016-07-24,Scooter Gennett singled to left (Grounder). Hernan Perez scored. Ryan Braun scored. Jonathan Lucroy advanced to 3B. Scooter Gennett advanced to 2B.
S_Gennett,1033,C Gearrin,7947,2016-04-06,Ryan Braun advanced on a passed ball to 2B. Passed ball by Buster Posey.
S_Gennett,1033,A Reed,1058,2016-06-09,Scooter Gennett doubled to right (Grounder). Aaron Hill scored.
S_Gennett,1033,R Iglesias,1713,2016-07-15,Scooter Gennett singled to left (Liner).
S_Gennett,1033,J Niese,4424,2016-04-16,Scooter Gennett walked. Aaron Hill advanced to 2B.
S_Gennett,1033,R Hernandez,3273,2016-08-11,Scooter Gennett homered (Fliner (Fly)).
S_Gennett,1033,F Liriano,3201,2016-07-31,Scooter Gennett singled to right (Fliner (Fly)). Hernan Perez advanced to 3B. Chris Carter advanced to 2B.
S_Gennett,1033,J Gray,1491,2016-08-23,Scooter Gennett singled to center (Fliner (Liner)).
S_Gennett,1033,J Samardzija,3254,2016-04-06,Scooter Gennett singled to left (Grounder). Domingo Santana advanced to 2B.
S_Gennett,1033,J Cosart,1030,2016-08-01,Scooter Gennett walked. Jonathan Villar advanced to 2B.
S_Gennett,1033,E Santana,3200,2016-04-19,Scooter Gennett reached on error to right (Fliner (Liner)). Scooter Gennett advanced to 2B. Error by Miguel Sano.
S_Gennett,1033,M Wisler,1280,2016-05-26,Scooter Gennett walked. Jonathan Villar advanced to 2B.
S_Gennett,1033,J Axford,9059,2016-06-21,Scooter Gennett doubled to left (Fliner (Liner)).
S_Gennett,1033,P Hughes,7450,2016-04-18,Scooter Gennett doubled to center (Fliner (Liner)).
S_Gennett,1033,K Hendricks,1204,2016-05-17,Scooter Gennett singled to center (Fliner (Liner)). Jonathan Villar advanced to 2B.
S_Gennett,1033,A Nola,1614,2016-06-05,Scooter Gennett singled to center (Grounder).
S_Gennett,1033,J Taillon,1167,2016-07-19,Scooter Gennett reached on error to shortstop (Grounder). Error by Jordy Mercer.
S_Gennett,1033,B Maurer,4878,2016-05-12,Scooter Gennett walked. Jonathan Villar advanced to 2B.
S_Gennett,1033,H Bailey,8362,2016-08-12,Scooter Gennett singled to center (Grounder).
S_Gennett,1033,P Hughes,7450,2016-04-18,Scooter Gennett doubled to center (Fly).
S_Gennett,1033,J Gray,1491,2016-08-23,Scooter Gennett doubled to left (Liner).
S_Gennett,1033,D Straily,9460,2016-08-13,Scooter Gennett singled to right (Grounder).
S_Gennett,1033,C Bettis,1058,2016-09-30,Scooter Gennett doubled to right (Liner).
S_Gennett,1033,K Hendricks,1204,2016-09-05,Scooter Gennett singled to left (Fliner (Liner)).
S_Gennett,1033,C Bettis,1058,2016-08-22,Scooter Gennett walked. Ryan Braun advanced to 2B.
S_Gennett,1033,D Hernandez,4259,2016-06-02,Scooter Gennett singled to right (Grounder).
S_Gennett,1033,M Lorenzen,1484,2016-09-24,Scooter Gennett singled to right (Grounder).
S_Gennett,1033,J Taillon,1167,2016-07-30,Scooter Gennett singled to right (Grounder).
S_Gennett,1033,L Perdomo,1468,2016-05-14,Scooter Gennett reached on interference. Martin Maldonado advanced to 3B. Jonathan Villar advanced to 2B on error. Error by Hector Sanchez.
S_Gennett,1033,P Baez,5420,2016-06-17,Scooter Gennett walked.
S_Gennett,1033,A Bradley,1291,2016-07-27,Scooter Gennett walked.
S_Gennett,1033,N Syndergaard,1176,2016-05-22,Scooter Gennett singled to center (Fliner (Fly)).
S_Gennett,1033,J Locke,2929,2016-04-15,Scooter Gennett walked.
S_Gennett,1033,M Wacha,1407,2016-07-08,Scooter Gennett doubled to left (Fliner (Fly)).
S_Gennett,1033,B Colon,375&,2016-06-09,Scooter Gennett singled to center (Fliner (Liner)).
S_Gennett,1033,S Brault,1529,2016-07-29,Scooter Gennett doubled to left (Grounder).
S_Gennett,1033,S Dyson,1171,2016-09-27,Scooter Gennett walked.
S_Gennett,1033,N Syndergaard,1176,2016-05-22,Scooter Gennett reached on error to third (Grounder). Error by David Wright.
S_Gennett,1033,A Wainwright,2233,2016-07-02,Scooter Gennett singled to left (Grounder).
S_Gennett,1033,C Martinez,1168,2016-09-09,Scooter Gennett walked.
S_Gennett,1033,G Gonzalez,7448,2016-06-25,Scooter Gennett reached on fielder's choice to second (Grounder). Chris Carter scored. Hernan Perez advanced to 3B.
S_Gennett,1033,C Morton,4676,2016-04-23,Scooter Gennett singled to right (Grounder).
S_Gennett,1033,K Maeda,1849,2016-06-30,Scooter Gennett singled to center (Grounder).
S_Gennett,1033,J deGrom,1095,2016-05-21,Scooter Gennett walked.
S_Gennett,1033,J Lackey,1507,2016-05-18,Scooter Gennett singled to left (Fliner (Liner)).
S_Gennett,1033,K Hendricks,1204,2016-09-05,Chris Carter advanced on a wild pitch to 2B.
S_Gennett,1033,M Scherzer,3137,2016-07-04,Scooter Gennett singled to left (Fliner (Liner)). Junior Guerra advanced to 2B.
S_Gennett,1033,S Hathaway,1529,2016-08-07,Scooter Gennett singled to second (Grounder).
S_Gennett,1033,B Colon,375&,2016-06-09,Scooter Gennett singled to right (Grounder).
S_Gennett,1033,K Sampson,1003,2016-09-12,Scooter Gennett singled to right (Fliner (Liner)). Martin Maldonado advanced to 2B.
S_Gennett,1033,D Fister,9425,2016-04-09,Scooter Gennett singled to right (Grounder). Jonathan Villar scored. Domingo Santana out at third. Scooter Gennett
S_Gennett,1033,F Liriano,3201,2016-07-31,Scooter Gennett singled to left (Liner). Chris Carter advanced to 2B.
S_Gennett,1033,J Urias,1476,2016-06-17,Scooter Gennett singled to left (Grounder).
S_Gennett,1033,J Lackey,1507,2016-09-16,Scooter Gennett singled to left (Fliner (Liner)). Andrew Susac advanced to 2B.
S_Gennett,1033,S Solis,1145,2016-06-25,Scooter Gennett singled to center (Fliner (Fly)).
S_Gennett,1033,R Ray,1148,2016-07-28,Scooter Gennett singled to center (Grounder).
S_Gennett,1033,L Perdomo,1468,2016-05-14,Scooter Gennett advanced on a stolen base to 2B.
S_Gennett,1033,G Marquez,1503,2016-10-02,Scooter Gennett walked.
S_Gennett,1033,E Burgos,3895,2016-07-26,Scooter Gennett advanced on a stolen base to 2B.
S_Gennett,1033,J Osich,1152,2016-06-13,Scooter Gennett walked. Hernan Perez advanced to 2B.
S_Gennett,1033,J Lamb,8493,2016-07-16,Scooter Gennett singled to center (Grounder). Chris Carter advanced to 2B.
S_Gennett,1033,T Rosenthal,1074,2016-07-03,Scooter Gennett singled to center (Fliner (Liner)).
S_Gennett,1033,J Shields,7059,2016-05-12,Scooter Gennett singled to left (Fliner (Liner)). Domingo Santana advanced to 3B. Scooter Gennett out.
S_Gennett,1033,E Jackson,1841,2016-08-03,Scooter Gennett singled to center (Grounder).
S_Gennett,1033,M Lorenzen,1484,2016-08-12,Scooter Gennett singled to shortstop (Grounder).
S_Gennett,1033,J Ramirez,1017,2016-08-10,Scooter Gennett advanced on a stolen base to 2B.
S_Gennett,1033,S Dyson,1171,2016-09-27,Scooter Gennett advanced on a wild pitch to 3B. Chris Carter
S_Gennett,1033,T Rosenthal,1074,2016-04-13,Scooter Gennett walked.
S_Gennett,1033,S Patton,1236,2016-09-17,Scooter Gennett was hit by a pitch. Manny Pina advanced to 3B. Jonathan Villar advanced to 2B.
S_Gennett,1033,J Cueto,6893,2016-06-15,Scooter Gennett singled to center (Liner).
S_Gennett,1033,D Straily,9460,2016-08-13,Scooter Gennett singled to center (Fliner (Liner)).
