playername,playerid,vsname,vsid,date,Play
S_Gonzalez,1469,C Adames,6013,2016-08-14,Cristhian Adames was caught stealing.
S_Gonzalez,1469,G Blanco,3123,2016-08-04,Gregor Blanco fouled out to first (Fly).
S_Gonzalez,1469,C Granderson,4747,2016-09-22,Curtis Granderson struck out swinging.
S_Gonzalez,1469,A McCutchen,9847,2016-07-23,Andrew McCutchen flied out to center (Fliner (Fly)).
S_Gonzalez,1469,J Panik,1193,2016-08-04,Joe Panik grounded out to third (Grounder).
S_Gonzalez,1469,J Loney,4556,2016-09-22,James Loney flied out to left (Fly).
S_Gonzalez,1469,B Posey,9166,2016-06-26,Buster Posey struck out swinging.
S_Gonzalez,1469,D LeMahieu,9874,2016-08-14,DJ LeMahieu flied out to right (Fliner (Fly)).
S_Gonzalez,1469,B Crawford,5343,2016-06-26,Brandon Crawford grounded out to second (Grounder).
S_Gonzalez,1469,N Arenado,9777,2016-08-14,Nolan Arenado struck out swinging.
S_Gonzalez,1469,D Swanson,1831,2016-09-27,Dansby Swanson flied out to right (Fly).
S_Gonzalez,1469,A Pagan,2918,2016-08-04,Angel Pagan struck out swinging.
S_Gonzalez,1469,A Escobar,6310,2016-07-02,Alcides Escobar lined out to pitcher (Liner). Cheslor Cuthbert out at second.
S_Gonzalez,1469,D Descalso,8392,2016-08-14,Daniel Descalso flied out to right (Fliner (Fly)).
S_Gonzalez,1469,J Peterson,1232,2016-07-30,Jace Peterson struck out swinging.
S_Gonzalez,1469,H Pence,8252,2016-08-04,Hunter Pence grounded out to shortstop (Grounder).
S_Gonzalez,1469,Y Grandal,1136,2016-08-08,Yasmani Grandal grounded into a double play to second (Grounder). Adrian Gonzalez out at second.
S_Gonzalez,1469,T Plouffe,7462,2016-06-21,Trevor Plouffe grounded out to shortstop (Grounder).
S_Gonzalez,1469,P O'Brien,1328,2016-06-18,Peter O'Brien flied out to first (Fly).
S_Gonzalez,1469,S Perez,7304,2016-07-02,Salvador Perez struck out swinging.
S_Gonzalez,1469,J Harrison,8202,2016-07-23,Josh Harrison flied out to left (Fliner (Fly)).
S_Gonzalez,1469,M Kepler,1214,2016-06-21,Max Kepler grounded out to first (Grounder).
S_Gonzalez,1469,Z Greinke,1943,2016-06-18,Zack Greinke fouled out to first (Fly).
S_Gonzalez,1469,D LeMahieu,9874,2016-07-09,DJ LeMahieu struck out looking.
S_Gonzalez,1469,C Seager,1362,2016-08-08,Corey Seager grounded out to pitcher (Grounder).
S_Gonzalez,1469,J Jaso,5887,2016-07-23,John Jaso flied out to center (Fly).
S_Gonzalez,1469,J Lamb,1332,2016-06-17,Jake Lamb grounded out to first (Grounder).
S_Gonzalez,1469,T Story,1256,2016-07-09,Trevor Story struck out swinging.
S_Gonzalez,1469,R Grossman,5254,2016-06-21,Robbie Grossman flied out to center (Fly).
S_Gonzalez,1469,J Segura,5933,2016-06-17,Jean Segura flied out to right (Fliner (Fly)).
S_Gonzalez,1469,N Ahmed,1214,2016-06-17,Nick Ahmed struck out looking.
S_Gonzalez,1469,C Gonzalez,7287,2016-07-09,Carlos Gonzalez flied out to shortstop (Fly).
S_Gonzalez,1469,B Buxton,1416,2016-06-21,Byron Buxton struck out swinging.
S_Gonzalez,1469,C d'Arnaud,6652,2016-07-04,Chase d'Arnaud flied out to left (Fliner (Fly)).
S_Gonzalez,1469,B Park,1849,2016-06-21,Byung-ho Park grounded out to third (Grounder).
S_Gonzalez,1469,J Pederson,1189,2016-08-17,Joc Pederson grounded out to second (Grounder).
S_Gonzalez,1469,H Robles,1180,2016-09-23,Hansel Robles struck out swinging.
S_Gonzalez,1469,J Mercer,6547,2016-09-15,Jordy Mercer struck out looking.
S_Gonzalez,1469,M Reynolds,7619,2016-07-09,Mark Reynolds flied out to right (Fly).
S_Gonzalez,1469,A Gonzalez,1908,2016-08-17,Adrian Gonzalez struck out swinging.
S_Gonzalez,1469,B Barnes,629&,2016-07-09,Brandon Barnes flied out to center (Fly).
S_Gonzalez,1469,A De Aza,3371,2016-08-26,Alejandro De Aza flied out to left (Fliner (Fly)).
S_Gonzalez,1469,W Castillo,3256,2016-06-27,Welington Castillo struck out swinging.
S_Gonzalez,1469,C Granderson,4747,2016-08-26,Curtis Granderson struck out swinging.
S_Gonzalez,1469,T d'Arnaud,7739,2016-08-26,Travis d'Arnaud struck out swinging.
S_Gonzalez,1469,K Wong,1253,2016-08-21,Kolten Wong flied out to left (Fly).
S_Gonzalez,1469,E Bonifacio,4054,2016-07-04,Emilio Bonifacio advanced on defensive indifference to 2B.
S_Gonzalez,1469,J Gyorko,1081,2016-08-21,Jedd Gyorko flied out to left (Fliner (Liner)).
S_Gonzalez,1469,R Segedin,1144,2016-08-16,Rob Segedin grounded out to third (Grounder). Howie Kendrick scored.
S_Gonzalez,1469,C Seager,1362,2016-08-16,Corey Seager flied out to left (Fliner (Liner)).
S_Gonzalez,1469,A Cabrera,4962,2016-08-27,Asdrubal Cabrera singled to right (Liner). Jose Reyes advanced to 2B.
S_Gonzalez,1469,N Walker,7539,2016-08-27,Neil Walker homered (Fly).
S_Gonzalez,1469,C Granderson,4747,2016-08-27,Curtis Granderson grounded out to second (Liner).
S_Gonzalez,1469,G Garcia,1095,2016-08-21,Greg Garcia singled to right (Fliner (Liner)).
S_Gonzalez,1469,S Piscotty,1336,2016-08-21,Stephen Piscotty singled to center (Liner). Greg Garcia advanced to 2B.
S_Gonzalez,1469,T Rivera,1249,2016-09-23,T.J. Rivera hit a sacrifice fly to center (Fliner (Liner)). Juan Lagares scored.
S_Gonzalez,1469,H Kendrick,4229,2016-08-16,Howie Kendrick tripled to center (Fly). Joc Pederson scored.
S_Gonzalez,1469,M Ozuna,1032,2016-09-07,Marcell Ozuna singled to pitcher (Grounder). Christian Yelich advanced to 3B.
S_Gonzalez,1469,J Reddick,3892,2016-08-17,Josh Reddick singled to third (Grounder).
S_Gonzalez,1469,F Cervelli,5275,2016-09-15,Francisco Cervelli singled to left (Fliner (Fly)). Jung Ho Kang advanced to 2B.
S_Gonzalez,1469,J Kang,1718,2016-09-15,Jung Ho Kang walked.
S_Gonzalez,1469,E Bonifacio,4054,2016-07-04,Emilio Bonifacio reached on error to shortstop (Grounder). Error by Freddy Galvis.
S_Gonzalez,1469,M Bourn,6387,2016-06-17,Michael Bourn singled to center (Fliner (Liner)).
S_Gonzalez,1469,J Bell,1314,2016-09-15,Josh Bell doubled to right (Liner). Jung Ho Kang scored. Francisco Cervelli scored.
S_Gonzalez,1469,C Cuthbert,1047,2016-07-02,Cheslor Cuthbert singled to left (Fliner (Liner)).
S_Gonzalez,1469,C Yelich,1147,2016-09-07,Christian Yelich hit a ground rule double (Fliner (Fly)). Martin Prado scored.
S_Gonzalez,1469,B Barnes,629&,2016-07-09,Brandon Barnes doubled to left (Liner). Tony Wolters scored.
S_Gonzalez,1469,F Cervelli,5275,2016-07-23,Francisco Cervelli hit a sacrifice fly to center (Fly). Starling Marte scored.
S_Gonzalez,1469,M Prado,3312,2016-09-07,Martin Prado doubled to left (Fly). Chris Johnson scored.
S_Gonzalez,1469,E Inciarte,4922,2016-07-30,Ender Inciarte singled to left (Fliner (Liner)). Adonis Garcia advanced to 3B.
S_Gonzalez,1469,A Hechavarria,1045,2016-07-26,Adeiny Hechavarria singled to right (Fliner (Liner)). Martin Prado scored. Giancarlo Stanton scored. Jose Urena advanced to 2B.
S_Gonzalez,1469,S Marte,9241,2016-07-23,Starling Marte was hit by a pitch. John Jaso advanced to 3B. Gregory Polanco advanced to 2B.
S_Gonzalez,1469,D Dahl,1374,2016-08-14,David Dahl balked to 3B. Nick Hundley advanced to 2B.
S_Gonzalez,1469,M Bourn,6387,2016-06-29,Michael Bourn singled to center (Fliner (Liner)). Nick Ahmed advanced to 2B.
S_Gonzalez,1469,C Adames,6013,2016-08-14,Cristhian Adames singled to second (Grounder). David Dahl scored. Nick Hundley advanced to 3B.
S_Gonzalez,1469,D Freese,9549,2016-07-23,David Freese singled to right (Grounder). John Jaso scored. Gregory Polanco scored. Starling Marte advanced to 3B.
S_Gonzalez,1469,C Gillaspie,9009,2016-06-26,Conor Gillaspie doubled to right (Liner). Ramiro Pena scored.
