playername,playerid,vsname,vsid,date,Play
S_Gray,1276,K Morales,8610,2016-04-16,Kendrys Morales grounded into a double play to first (Grounder). Eric Hosmer out at second.
S_Gray,1276,A Jackson,9848,2016-04-06,Austin Jackson lined out to second (Liner). Alex Avila out at third.
S_Gray,1276,C Pennington,3395,2016-04-11,Cliff Pennington grounded into a double play to second (Grounder). Carlos Perez out at second.
S_Gray,1276,M Kepler,1214,2016-07-06,Max Kepler grounded out to third (Grounder).
S_Gray,1276,M Cabrera,4022,2016-04-06,Melky Cabrera grounded out to catcher (Grounder).
S_Gray,1276,I Desmond,6885,2016-07-26,Ian Desmond grounded out to third (Grounder).
S_Gray,1276,C Santana,2396,2016-07-31,Carlos Santana struck out swinging.
S_Gray,1276,J Bruce,9892,2016-06-10,Jay Bruce flied out to left (Fly).
S_Gray,1276,E Carrera,9048,2016-04-22,Ezequiel Carrera grounded into a double play to second (Grounder). Darwin Barney out at second.
S_Gray,1276,M Maldonado,6887,2016-06-21,Martin Maldonado grounded out to shortstop (Grounder).
S_Gray,1276,J Abreu,1567,2016-04-06,Jose Abreu grounded out to shortstop (Grounder).
S_Gray,1276,S Gennett,1033,2016-06-21,Scooter Gennett lined out to shortstop (Liner). Jonathan Villar out at second.
S_Gray,1276,E Encarnacion,2151,2016-04-22,Edwin Encarnacion grounded into a double play to shortstop (Grounder). Josh Donaldson out at second.
S_Gray,1276,J Jaso,5887,2016-07-01,John Jaso grounded into a double play to shortstop (Grounder). Chris Stewart out at second.
S_Gray,1276,S Selsky,1295,2016-06-10,Steve Selsky flied out to right (Fliner (Liner)).
S_Gray,1276,J Lucroy,7870,2016-06-21,Jonathan Lucroy flied out to center (Fly).
S_Gray,1276,M Saunders,9981,2016-07-16,Michael Saunders struck out swinging.
S_Gray,1276,J Iglesias,1023,2016-04-27,Jose Iglesias grounded out to second (Grounder).
S_Gray,1276,A Jackson,9848,2016-04-06,Austin Jackson reached on fielder's choice to shortstop (Grounder). Alex Avila out at second.
S_Gray,1276,M Maldonado,6887,2016-06-21,Martin Maldonado struck out swinging.
S_Gray,1276,L Cain,9077,2016-04-16,Lorenzo Cain struck out looking.
S_Gray,1276,A Garcia,5760,2016-04-06,Avisail Garcia grounded out to shortstop (Grounder).
S_Gray,1276,L Martin,1184,2016-05-03,Leonys Martin flied out to right (Fly).
S_Gray,1276,M Sano,1216,2016-07-06,Miguel Sano struck out looking.
S_Gray,1276,J Upton,5222,2016-04-27,Justin Upton grounded out to second (Grounder).
S_Gray,1276,T Holt,1139,2016-06-10,Tyler Holt flied out to center (Fliner (Fly)).
S_Gray,1276,T Tulowitzki,3531,2016-07-16,Troy Tulowitzki flied out to left (Fliner (Liner)).
S_Gray,1276,J Bautista,1887,2016-04-22,Jose Bautista struck out swinging.
S_Gray,1276,J Villar,1007,2016-06-21,Jonathan Villar reached on fielder's choice to second (Grounder). Ramon Flores out at second.
S_Gray,1276,A Beltre,639&,2016-07-26,Adrian Beltre grounded out to shortstop (Grounder).
S_Gray,1276,J Smoak,9054,2016-07-16,Justin Smoak flied out to left (Fly).
S_Gray,1276,J Smoak,9054,2016-07-16,Justin Smoak grounded out to shortstop (Grounder).
S_Gray,1276,C Cron,1254,2016-06-26,C.J. Cron grounded out to third (Grounder).
S_Gray,1276,M Trout,1015,2016-09-28,Mike Trout flied out to right (Fly).
S_Gray,1276,R Odor,1228,2016-07-26,Rougned Odor reached on fielder's choice to first (Grounder). Adrian Beltre out at second.
S_Gray,1276,R Rua,1240,2016-07-26,Ryan Rua struck out swinging.
S_Gray,1276,E Nunez,6848,2016-07-06,Eduardo Nunez grounded out to third (Grounder).
S_Gray,1276,T Kemp,1489,2016-06-05,Tony Kemp struck out looking.
S_Gray,1276,C Dickerson,1076,2016-05-15,Corey Dickerson flied out to left (Fliner (Liner)).
S_Gray,1276,D Ortiz,745&,2016-05-09,David Ortiz lined out to shortstop (Liner).
S_Gray,1276,C Pennington,3395,2016-04-11,Cliff Pennington struck out swinging.
S_Gray,1276,K Pillar,1243,2016-07-16,Kevin Pillar reached on fielder's choice to shortstop (Grounder). Edwin Encarnacion out at second.
