playername,playerid,vsname,vsid,date,Play
S_Maness,1223,A Ramirez,5133,2016-07-20,Alexei Ramirez grounded out to third (Grounder).
S_Maness,1223,S Van Slyke,4365,2016-07-22,Scott Van Slyke grounded out to first (Grounder).
S_Maness,1223,F Cervelli,5275,2016-04-05,Francisco Cervelli grounded out to third (Grounder).
S_Maness,1223,D Freese,9549,2016-04-05,David Freese struck out looking.
S_Maness,1223,D Stubbs,9328,2016-04-10,Drew Stubbs struck out swinging.
S_Maness,1223,C Utley,1679,2016-07-22,Chase Utley struck out swinging.
S_Maness,1223,M Upton Jr.,5015,2016-04-22,Melvin Upton Jr. grounded into a double play to third (Grounder). Travis Jankowski out at second.
S_Maness,1223,E Kratz,4403,2016-07-04,Erik Kratz struck out swinging.
S_Maness,1223,Y Tomas,1717,2016-04-25,Yasmany Tomas grounded into a double play to shortstop (Grounder). Paul Goldschmidt out at second.
S_Maness,1223,F Cervelli,5275,2016-04-03,Francisco Cervelli was caught stealing. Gregory Polanco advanced to 3B.
S_Maness,1223,S Patton,1236,2016-06-22,Spencer Patton grounded out to pitcher (Grounder).
S_Maness,1223,R Braun,3410,2016-04-13,Ryan Braun reached on fielder's choice to shortstop (Grounder). Scooter Gennett out at second.
S_Maness,1223,A McCutchen,9847,2016-05-08,Andrew McCutchen struck out swinging.
S_Maness,1223,A Pierzynski,746&,2016-08-06,A.J. Pierzynski grounded out to first (Grounder).
S_Maness,1223,G Stanton,4949,2016-07-29,Giancarlo Stanton grounded out to pitcher (Grounder).
S_Maness,1223,M Joyce,3353,2016-05-06,Matt Joyce flied out to left (Fliner (Fly)).
S_Maness,1223,E Aybar,4082,2016-08-06,Erick Aybar grounded out to shortstop (Grounder).
S_Maness,1223,M Ozuna,1032,2016-07-29,Marcell Ozuna grounded out to third (Grounder).
S_Maness,1223,J Kang,1718,2016-05-08,Jung Ho Kang flied out to center (Fliner (Fly)).
S_Maness,1223,S Rodriguez,6589,2016-05-06,Sean Rodriguez struck out swinging.
S_Maness,1223,J Turner,5235,2016-07-24,Justin Turner flied out to left (Fliner (Liner)).
S_Maness,1223,J Segura,5933,2016-04-25,Jean Segura grounded out to third (Grounder).
S_Maness,1223,D Kelly,2216,2016-07-17,Don Kelly grounded out to first (Grounder).
S_Maness,1223,J Baez,1297,2016-06-22,Javier Baez fouled out to shortstop (Fly).
S_Maness,1223,A Toles,1341,2016-07-24,Andrew Toles struck out looking.
S_Maness,1223,H Kendrick,4229,2016-07-24,Howie Kendrick grounded out to third (Grounder). Adrian Gonzalez advanced to 2B.
S_Maness,1223,D Norris,6867,2016-04-22,Derek Norris grounded out to shortstop (Grounder).
S_Maness,1223,E Hosmer,3516,2016-06-27,Eric Hosmer struck out swinging.
S_Maness,1223,Z Greinke,1943,2016-04-25,Zack Greinke reached on fielder's choice to pitcher (Grounder). David Peralta advanced to 3B. Chris Owings out at second.
S_Maness,1223,K Bryant,1542,2016-08-12,Kris Bryant reached on fielder's choice to shortstop (Grounder). Jake Arrieta out at second.
S_Maness,1223,D Freese,9549,2016-05-08,David Freese flied out to right (Fliner (Fly)).
S_Maness,1223,M Morse,3035,2016-04-03,Michael Morse grounded out to second (Grounder).
S_Maness,1223,A Ramirez,5133,2016-04-22,Alexei Ramirez grounded out to shortstop (Grounder).
S_Maness,1223,M Rojas,7802,2016-07-29,Miguel Rojas grounded out to pitcher (Grounder).
S_Maness,1223,B Hamilton,1019,2016-08-08,Billy Hamilton flied out to center (Fliner (Fly)).
S_Maness,1223,S Kazmir,4897,2016-07-24,Scott Kazmir out on a dropped third strike.
S_Maness,1223,Y Grandal,1136,2016-07-24,Yasmani Grandal flied out to left (Fliner (Fly)).
S_Maness,1223,Z Cozart,2616,2016-08-08,Zack Cozart flied out to center (Fly).
S_Maness,1223,R Flores,1116,2016-07-09,Ramon Flores flied out to center (Fly).
S_Maness,1223,J Votto,4314,2016-08-08,Joey Votto flied out to left (Fliner (Liner)).
S_Maness,1223,D Lough,7215,2016-05-02,David Lough flied out to center (Fly).
S_Maness,1223,M Maldonado,6887,2016-07-09,Martin Maldonado grounded out to shortstop (Grounder).
S_Maness,1223,A Dickerson,1264,2016-07-18,Alex Dickerson grounded out to first (Grounder).
S_Maness,1223,A Wilkins,1125,2016-07-09,Andy Wilkins grounded out to first (Grounder).
S_Maness,1223,J Peterson,1232,2016-04-09,Jace Peterson flied out to center (Fly).
S_Maness,1223,E Burriss,2917,2016-05-02,Emmanuel Burriss doubled to left (Grounder). Carlos Ruiz advanced to 3B.
S_Maness,1223,J Realmuto,1173,2016-07-29,J.T. Realmuto singled to center (Grounder).
S_Maness,1223,P Goldschmidt,9218,2016-04-25,Paul Goldschmidt walked.
S_Maness,1223,J Arrieta,4153,2016-08-12,Jake Arrieta singled to left (Fliner (Liner)).
S_Maness,1223,S Rodriguez,6589,2016-05-08,Sean Rodriguez singled to right (Liner).
S_Maness,1223,B Zobrist,7435,2016-08-13,Ben Zobrist singled to center (Grounder).
S_Maness,1223,A Gonzalez,1908,2016-07-24,Adrian Gonzalez singled to right (Liner).
S_Maness,1223,B Drury,1161,2016-04-25,Brandon Drury advanced on a wild pitch to 3B.
S_Maness,1223,G Polanco,1290,2016-04-03,Gregory Polanco singled to center (Liner). Francisco Cervelli advanced to 2B.
S_Maness,1223,R Cabrera,1032,2016-08-04,Ramon Cabrera singled to right (Liner). Scott Schebler scored. Eugenio Suarez advanced to 3B.
S_Maness,1223,J Pederson,1189,2016-07-24,Joc Pederson singled to right (Grounder).
S_Maness,1223,C Owings,1003,2016-04-25,Chris Owings singled to left (Fliner (Liner)). Welington Castillo scored. David Peralta advanced to 2B.
S_Maness,1223,A Gordon,5209,2016-06-29,Alex Gordon walked.
S_Maness,1223,A Almora Jr.,1410,2016-06-22,Albert Almora walked.
S_Maness,1223,A McCutchen,9847,2016-07-04,Andrew McCutchen reached on error to first (Grounder). Error by Seth Maness.
S_Maness,1223,J Mercer,6547,2016-04-03,Jordy Mercer doubled to center (Fliner (Fly)). Gregory Polanco scored.
S_Maness,1223,A Pujols,1177,2016-05-12,Albert Pujols homered (Fliner (Fly)). Kole Calhoun scored.
S_Maness,1223,Z Cozart,2616,2016-04-16,Zack Cozart hit a sacrifice fly to center (Fliner (Liner)). Adam Duvall scored.
S_Maness,1223,W Castillo,3256,2016-04-25,Welington Castillo singled to center (Fliner (Liner)). Paul Goldschmidt scored. Yasmany Tomas scored.
S_Maness,1223,W Myers,1004,2016-04-22,Wil Myers doubled to center (Fliner (Liner)). Jon Jay scored.
S_Maness,1223,G Beckham,9015,2016-04-10,Gordon Beckham doubled to left (Fliner (Fly)).
S_Maness,1223,J Harrison,8202,2016-04-05,Josh Harrison singled to shortstop (Grounder). Gregory Polanco advanced to 2B.
S_Maness,1223,E Suarez,1255,2016-04-16,Eugenio Suarez doubled to left (Fliner (Liner)). Jordan Pacheco scored.
S_Maness,1223,W Merrifield,1128,2016-06-29,Whit Merrifield doubled to right (Grounder).
S_Maness,1223,J Mercer,6547,2016-04-05,Jordy Mercer singled to right (Grounder). Gregory Polanco scored. Josh Harrison advanced to 2B.
