playername,playerid,vsname,vsid,date,Play
S_Moya,1185,K Gausman,1410,2016-05-15,Steven Moya tripled to center (Liner). Justin Upton scored.
S_Moya,1185,C Young,3196,2016-06-19,Steven Moya homered (Fly).
S_Moya,1185,V Nuno,9674,2016-06-23,Steven Moya doubled to right (Fliner (Fly)). Justin Upton scored.
S_Moya,1185,K Gausman,1410,2016-05-15,Steven Moya singled to right (Grounder). Nick Castellanos advanced to 3B. Justin Upton advanced to 2B.
S_Moya,1185,H Iwakuma,1304,2016-06-22,Steven Moya homered (Fliner (Fly)).
S_Moya,1185,V Velasquez,1118,2016-05-23,Steven Moya singled to center (Liner).
S_Moya,1185,E Volquez,3990,2016-06-18,Steven Moya doubled to center (Fliner (Liner)).
S_Moya,1185,U Jimenez,3374,2016-05-12,Steven Moya singled to right (Grounder).
S_Moya,1185,C Carrasco,6632,2016-07-05,Steven Moya walked.
S_Moya,1185,D McGowan,8600,2016-06-29,Steven Moya homered (Fliner (Fly)).
S_Moya,1185,K Herrera,6033,2016-06-17,Steven Moya advanced on a wild pitch to 2B.
S_Moya,1185,A Nola,1614,2016-05-25,Steven Moya walked.
S_Moya,1185,C Archer,6345,2016-05-22,Steven Moya reached on dropped third strike (wp).
S_Moya,1185,D Salazar,5867,2016-06-24,James McCann advanced on a wild pitch to 2B.
S_Moya,1185,V Worley,6435,2016-05-12,Steven Moya singled to left (Grounder).
S_Moya,1185,T House,9121,2016-07-06,Steven Moya singled to left (Fliner (Fly)). Miguel Cabrera scored. Nick Castellanos scored.
S_Moya,1185,C Archer,6345,2016-05-22,Steven Moya advanced on a wild pitch.
S_Moya,1185,M Clevinger,1280,2016-07-05,Steven Moya struck out looking.
S_Moya,1185,D Gee,7396,2016-06-17,Steven Moya flied out to center (Fliner (Fly)).
S_Moya,1185,D Otero,7385,2016-07-05,Steven Moya struck out looking.
S_Moya,1185,T Wilson,1269,2016-09-10,Steven Moya struck out swinging.
S_Moya,1185,T Hunter,1157,2016-07-06,Steven Moya struck out swinging.
S_Moya,1185,R Webb,7474,2016-05-22,Steven Moya flied out to left (Fliner (Fly)).
S_Moya,1185,J Hellickson,4371,2016-05-24,Steven Moya struck out swinging.
S_Moya,1185,J Hellickson,4371,2016-05-24,Steven Moya fouled out to catcher (Fly).
S_Moya,1185,D Hutchison,1073,2016-07-07,Steven Moya struck out swinging.
S_Moya,1185,T Koehler,6570,2016-06-29,Steven Moya flied out to right (Fly).
S_Moya,1185,D Hutchison,1073,2016-07-07,Steven Moya struck out swinging.
S_Moya,1185,N Vincent,7555,2016-06-20,Steven Moya flied out to right (Fly).
S_Moya,1185,C Murray,1226,2016-05-23,Steven Moya struck out swinging.
S_Moya,1185,R Nolasco,3830,2016-05-18,Steven Moya struck out swinging.
S_Moya,1185,R Nolasco,3830,2016-05-18,Steven Moya struck out looking.
S_Moya,1185,C Murray,1226,2016-05-23,Steven Moya fouled out to left (Fly).
S_Moya,1185,J Odorizzi,6397,2016-06-30,Steven Moya lined out to second (Liner). Nick Castellanos out at second.
S_Moya,1185,J Odorizzi,6397,2016-06-30,Steven Moya struck out swinging.
S_Moya,1185,J Tomlin,9388,2016-07-06,Steven Moya flied out to left (Fliner (Fly)).
S_Moya,1185,D Salazar,5867,2016-06-24,Steven Moya flied out to right (Fliner (Liner)).
S_Moya,1185,N Karns,1263,2016-06-20,Steven Moya grounded out to first (Grounder).
S_Moya,1185,C Tillman,5279,2016-05-13,Steven Moya grounded out to pitcher (Grounder).
S_Moya,1185,Y Ventura,1185,2016-06-17,Steven Moya flied out to center (Fliner (Liner)).
S_Moya,1185,A Blair,1493,2016-10-01,Steven Moya struck out swinging.
S_Moya,1185,C Archer,6345,2016-07-03,Steven Moya struck out swinging.
S_Moya,1185,A Sanchez,1149,2016-07-09,Steven Moya struck out swinging.
S_Moya,1185,A Nola,1614,2016-05-25,Steven Moya grounded out to second (Grounder).
S_Moya,1185,D Hutchison,1073,2016-07-07,Steven Moya grounded out to shortstop (Grounder).
S_Moya,1185,M Andriese,1202,2016-07-03,Steven Moya struck out swinging.
S_Moya,1185,M Wright,1258,2016-05-14,Steven Moya grounded out to second (Grounder).
S_Moya,1185,K Herrera,6033,2016-06-19,Steven Moya struck out swinging.
S_Moya,1185,U Jimenez,3374,2016-05-12,Steven Moya struck out swinging.
S_Moya,1185,C Tillman,5279,2016-05-13,Steven Moya struck out swinging.
S_Moya,1185,K Herrera,6033,2016-06-17,Steven Moya reached on fielder's choice to second (Grounder). Victor Martinez advanced to 3B. Justin Upton out at second.
S_Moya,1185,E Ramirez,1031,2016-06-30,Steven Moya hit a sacrifice fly to right (Fly). Victor Martinez scored.
