playername,playerid,vsname,vsid,date,Play
S_Perez,7304,S Cishek,6483,2016-07-07,Salvador Perez doubled to center (Fliner (Fly)). Whit Merrifield scored. Jarrod Dyson scored.
S_Perez,7304,D Robertson,8241,2016-08-10,Salvador Perez doubled to center (Fliner (Liner)). Eric Hosmer scored.
S_Perez,7304,K Giles,1291,2016-04-13,Salvador Perez homered (Fliner (Fly)). Alex Gordon scored.
S_Perez,7304,J Verlander,8700,2016-07-15,Salvador Perez doubled to right (Fly). Eric Hosmer scored. Kendrys Morales scored on error. Salvador Perez advanced to 2B. Error by Ian Kinsler.
S_Perez,7304,M Pineda,5372,2016-05-11,Salvador Perez homered (Fly). Eric Hosmer scored. Kendrys Morales scored.
S_Perez,7304,T Wilson,1269,2016-04-23,Salvador Perez homered (Fly). Alex Gordon scored.
S_Perez,7304,J Papelbon,5975,2016-05-03,Salvador Perez singled to left (Fliner (Liner)). Alex Gordon advanced to 3B.
S_Perez,7304,T Koehler,6570,2016-08-25,Salvador Perez doubled to left (Liner). Cheslor Cuthbert scored. Eric Hosmer advanced to 3B.
S_Perez,7304,T Duffey,1375,2016-08-18,Salvador Perez was hit by a pitch. Cheslor Cuthbert scored. Eric Hosmer advanced to 3B. Kendrys Morales advanced to 2B.
S_Perez,7304,J Tomlin,9388,2016-05-08,Salvador Perez doubled to center (Fliner (Fly)). Alex Gordon scored.
S_Perez,7304,V Nuno,9674,2016-07-09,Salvador Perez homered (Fliner (Fly)).
S_Perez,7304,H Santiago,4026,2016-07-25,Salvador Perez homered (Fly). Eric Hosmer scored.
S_Perez,7304,C Allen,1218,2016-10-02,Salvador Perez walked.
S_Perez,7304,M Boyd,1544,2016-09-25,Salvador Perez homered (Fly). Kendrys Morales scored.
S_Perez,7304,B Hardy,6499,2016-04-19,Salvador Perez homered (Fliner (Fly)). Eric Hosmer scored. Kendrys Morales scored.
S_Perez,7304,D Norris,1347,2016-09-24,Salvador Perez singled to center (Grounder). Kendrys Morales advanced to 3B.
S_Perez,7304,C Allen,1218,2016-09-21,Salvador Perez homered (Fly).
S_Perez,7304,M Lowe,7416,2016-06-17,Salvador Perez doubled to center (Fliner (Liner)). Alcides Escobar scored. Eric Hosmer scored.
S_Perez,7304,T Duffey,1375,2016-05-25,Salvador Perez doubled to right (Fliner (Fly)). Eric Hosmer scored.
S_Perez,7304,J Fernandez,1153,2016-08-24,Salvador Perez singled to left (Grounder). Eric Hosmer advanced to 2B.
S_Perez,7304,K Ryan,1175,2016-06-19,Salvador Perez singled to right (Fliner (Liner)).
S_Perez,7304,M Boyd,1544,2016-06-18,Salvador Perez singled to right (Fliner (Fly)). Lorenzo Cain advanced to 3B.
S_Perez,7304,F Rodriguez,1642,2016-04-20,Salvador Perez homered (Fly).
S_Perez,7304,E Santana,3200,2016-09-06,Salvador Perez was hit by a pitch.
S_Perez,7304,J Zimmermann,4505,2016-04-20,Salvador Perez doubled to center (Fliner (Liner)).
S_Perez,7304,R Nolasco,3830,2016-05-23,Salvador Perez doubled to left (Fliner (Fly)).
S_Perez,7304,F Rodriguez,7558,2016-04-15,Salvador Perez walked. Kendrys Morales advanced to 3B. Alex Gordon advanced to 2B.
S_Perez,7304,J Tomlin,9388,2016-09-20,Salvador Perez hit a ground rule double (Liner).
S_Perez,7304,S Greene,1075,2016-06-19,Salvador Perez singled to center (Grounder).
S_Perez,7304,A Wainwright,2233,2016-06-27,Salvador Perez singled to left (Liner). Eric Hosmer scored.
S_Perez,7304,B Kintzler,9939,2016-09-29,Salvador Perez singled to left (Grounder). Jarrod Dyson scored.
