playername,playerid,vsname,vsid,date,Play
S_Piscotty,1336,H Rondon,2391,2016-08-14,Stephen Piscotty homered (Fly). Kolten Wong scored. Greg Garcia scored.
S_Piscotty,1336,R Buchter,9456,2016-07-21,Stephen Piscotty homered (Fly). Jedd Gyorko scored. Kolten Wong scored.
S_Piscotty,1336,J Johnson,3656,2016-04-10,Stephen Piscotty singled to right (Grounder). Matt Carpenter scored. Jeremy Hazelbaker advanced to 3B.
S_Piscotty,1336,C Edwards Jr.,1360,2016-08-13,Brandon Moss advanced on a wild pitch to 2B. Stephen Piscotty scored. Matt Carpenter advanced to 3B.
S_Piscotty,1336,M Scherzer,3137,2016-05-27,Stephen Piscotty homered (Fly). Greg Garcia scored. Aledmys Diaz scored. Matt Holliday scored.
S_Piscotty,1336,S Miller,1019,2016-04-26,Stephen Piscotty doubled to center (Fliner (Fly)). Aledmys Diaz scored. Jeremy Hazelbaker advanced to 3B.
S_Piscotty,1336,J Samardzija,3254,2016-06-04,Stephen Piscotty homered (Fliner (Fly)).
S_Piscotty,1336,T Koehler,6570,2016-07-16,Stephen Piscotty doubled to left (Liner). Tommy Pham scored. Aledmys Diaz scored.
S_Piscotty,1336,J Guerra,5702,2016-07-10,Stephen Piscotty singled to center (Fliner (Fly)). Aledmys Diaz scored.
S_Piscotty,1336,W Chen,1307,2016-07-15,Stephen Piscotty homered (Fly).
S_Piscotty,1336,H Rondon,2391,2016-05-25,Stephen Piscotty singled to right (Grounder).
S_Piscotty,1336,J Nicasio,7731,2016-10-02,Stephen Piscotty singled to center (Fliner (Liner)). Yadier Molina scored.
S_Piscotty,1336,D Fister,9425,2016-08-17,Stephen Piscotty singled to left (Grounder). Jeremy Hazelbaker scored. Greg Garcia scored.
S_Piscotty,1336,J Cueto,6893,2016-06-03,Stephen Piscotty singled to right (Fliner (Liner)). Matt Carpenter scored. Matt Holliday advanced to 2B.
S_Piscotty,1336,J Locke,2929,2016-05-07,Stephen Piscotty homered (Fly).
S_Piscotty,1336,J deGrom,1095,2016-08-24,Stephen Piscotty singled to third (Grounder). Jedd Gyorko scored. Brandon Moss advanced to 2B.
S_Piscotty,1336,J Arrieta,4153,2016-06-22,Stephen Piscotty reached on fielder's choice to third (Grounder). Matt Carpenter scored. Aledmys Diaz scored on error. Matt Adams out at second. Stephen Piscotty Error by Ben Zobrist.
S_Piscotty,1336,M Garza,3340,2016-08-31,Stephen Piscotty walked. Greg Garcia advanced to 2B.
S_Piscotty,1336,W Perez,1159,2016-04-10,Stephen Piscotty singled to shortstop (Grounder). Greg Garcia scored. Jeremy Hazelbaker advanced to 3B.
S_Piscotty,1336,S Brault,1529,2016-07-05,Stephen Piscotty reached on error to right (Fly). Stephen Piscotty advanced to 3B. Error by Gregory Polanco.
S_Piscotty,1336,J Arrieta,4153,2016-05-25,Stephen Piscotty singled to center (Liner). Aledmys Diaz scored.
S_Piscotty,1336,J Taillon,1167,2016-09-07,Stephen Piscotty singled to center (Liner). Matt Carpenter advanced to 3B.
S_Piscotty,1336,C Reed,1523,2016-08-03,Stephen Piscotty homered (Fly).
S_Piscotty,1336,J Marinez,5830,2016-09-10,Stephen Piscotty doubled to center (Fliner (Liner)). Matt Carpenter scored. Kolten Wong scored.
S_Piscotty,1336,C McHugh,7531,2016-06-15,Stephen Piscotty doubled to right (Fliner (Fly)).
S_Piscotty,1336,T Thornburg,1068,2016-09-11,Stephen Piscotty hit a sacrifice fly to center (Fly). Matt Carpenter scored.
S_Piscotty,1336,A Wood,1378,2016-05-15,Stephen Piscotty was hit by a pitch. Matt Carpenter advanced to 2B.
S_Piscotty,1336,P Corbin,9323,2016-04-27,Stephen Piscotty singled to left (Grounder). Adam Wainwright scored.
S_Piscotty,1336,T Watson,3132,2016-05-06,Stephen Piscotty was hit by a pitch.
S_Piscotty,1336,W Peralta,7738,2016-05-31,Stephen Piscotty singled to right (Fliner (Liner)). Aledmys Diaz scored. Matt Holliday advanced to 2B.
S_Piscotty,1336,C Murray,1226,2016-05-05,Stephen Piscotty hit a ground rule double (Grounder). Jeremy Hazelbaker scored. Jedd Gyorko scored. Matt Holliday advanced to 3B.
S_Piscotty,1336,J Arrieta,4153,2016-05-25,Stephen Piscotty reached on error to third (Grounder). Aledmys Diaz advanced to 3B. Error by Tommy La Stella.
S_Piscotty,1336,J Hammel,4538,2016-06-21,Stephen Piscotty doubled to center (Fliner (Liner)).
S_Piscotty,1336,C Friedrich,7942,2016-07-18,Stephen Piscotty singled to center (Grounder). Aledmys Diaz advanced to 3B.
S_Piscotty,1336,T Adleman,1096,2016-09-04,Stephen Piscotty doubled to left (Liner).
S_Piscotty,1336,J Nelson,1054,2016-07-08,Stephen Piscotty singled to shortstop (Grounder). Stephen Piscotty advanced to 2B on error. Error by Jonathan Villar.
S_Piscotty,1336,G Cole,1312,2016-05-08,Stephen Piscotty singled to right (Fliner (Liner)). Matt Carpenter advanced to 2B.
S_Piscotty,1336,B Wood,1345,2016-04-16,Stephen Piscotty singled to left (Grounder). Aledmys Diaz scored. Matt Carpenter advanced to 2B.
S_Piscotty,1336,M Foltynewicz,1081,2016-08-07,Stephen Piscotty singled to left (Grounder). Kolten Wong advanced to 2B.
S_Piscotty,1336,V Velasquez,1118,2016-08-21,Stephen Piscotty walked. Greg Garcia advanced to 2B.
S_Piscotty,1336,F Liriano,3201,2016-04-03,Stephen Piscotty walked. Matt Holliday advanced to 2B.
S_Piscotty,1336,T Williams,1697,2016-09-30,Stephen Piscotty doubled to right (Grounder). Yadier Molina scored.
S_Piscotty,1336,N Martinez,1273,2016-06-18,Stephen Piscotty singled to right (Fliner (Liner)). Matt Carpenter scored. Kolten Wong advanced to 3B. Matt Holliday advanced to 2B.
S_Piscotty,1336,Z Davies,1318,2016-09-11,Stephen Piscotty singled to left (Liner).
S_Piscotty,1336,J Gant,1368,2016-04-08,Stephen Piscotty homered (Fly).
S_Piscotty,1336,Z Davies,1318,2016-08-29,Stephen Piscotty singled to shortstop (Grounder).
S_Piscotty,1336,J Nelson,1054,2016-07-02,Stephen Piscotty singled to shortstop (Grounder).
S_Piscotty,1336,M Lorenzen,1484,2016-09-03,Stephen Piscotty singled to right (Fliner (Liner)).
S_Piscotty,1336,S Lugo,1244,2016-08-25,Stephen Piscotty walked.
S_Piscotty,1336,C Rusin,9895,2016-05-18,Stephen Piscotty doubled to right (Fliner (Liner)).
S_Piscotty,1336,J Hellickson,4371,2016-08-20,Stephen Piscotty doubled to left (Fliner (Liner)).
S_Piscotty,1336,C Rusin,9895,2016-05-18,Stephen Piscotty singled to left (Fliner (Liner)). Matt Carpenter advanced to 2B.
S_Piscotty,1336,J Hammel,4538,2016-06-21,Stephen Piscotty singled to third (Grounder).
S_Piscotty,1336,J Lamb,8493,2016-06-07,Stephen Piscotty singled to right (Grounder).
S_Piscotty,1336,J Lackey,1507,2016-06-20,Stephen Piscotty singled to center (Fliner (Liner)).
S_Piscotty,1336,K Giles,1291,2016-06-15,Stephen Piscotty walked.
S_Piscotty,1336,D Straily,9460,2016-08-02,Stephen Piscotty singled to shortstop (Grounder).
S_Piscotty,1336,C Anderson,6895,2016-07-03,Stephen Piscotty walked.
S_Piscotty,1336,N Karns,1263,2016-06-25,Stephen Piscotty hit a ground rule double (Fliner (Fly)).
S_Piscotty,1336,F Liriano,3201,2016-05-06,Stephen Piscotty reached on error to pitcher (Grounder). Error by Francisco Liriano.
S_Piscotty,1336,J Teheran,6797,2016-04-09,Stephen Piscotty walked. Jeremy Hazelbaker advanced to 3B. Brandon Moss advanced to 2B.
S_Piscotty,1336,C Vargas,1409,2016-04-23,Stephen Piscotty singled to center (Grounder).
S_Piscotty,1336,P Corbin,9323,2016-04-27,Stephen Piscotty singled to center (Grounder).
S_Piscotty,1336,B Wood,1345,2016-06-07,Stephen Piscotty singled to catcher (Grounder). Matt Carpenter advanced to 3B. Matt Holliday advanced to 2B.
S_Piscotty,1336,R Stripling,1327,2016-05-13,Stephen Piscotty walked.
S_Piscotty,1336,A Bailey,1368,2016-05-04,Stephen Piscotty singled to right (Fliner (Liner)).
S_Piscotty,1336,A Suarez,6175,2016-09-18,Stephen Piscotty walked.
S_Piscotty,1336,M Shoemaker,4776,2016-05-11,Stephen Piscotty singled to left (Grounder).
S_Piscotty,1336,J Nelson,1054,2016-09-09,Stephen Piscotty reached on error to third (Grounder). Matt Carpenter advanced to 3B. Kolten Wong advanced to 2B on error. Error by Jonathan Villar.
S_Piscotty,1336,T Watson,3132,2016-04-05,Stephen Piscotty walked.
S_Piscotty,1336,A Cashner,8782,2016-04-22,Stephen Piscotty singled to right (Fliner (Liner)).
S_Piscotty,1336,K Hendricks,1204,2016-08-13,Stephen Piscotty was hit by a pitch.
S_Piscotty,1336,B Finnegan,1620,2016-04-16,Stephen Piscotty walked.
S_Piscotty,1336,B Finnegan,1620,2016-08-09,Stephen Piscotty walked.
S_Piscotty,1336,J de la Rosa,2047,2016-09-20,Stephen Piscotty was hit by a pitch. Adam Wainwright advanced to 3B. Jedd Gyorko advanced to 2B.
S_Piscotty,1336,A DeSclafani,1305,2016-09-28,Stephen Piscotty singled to right (Grounder).
S_Piscotty,1336,D Leone,1376,2016-04-26,Stephen Piscotty homered (Fly). Jeremy Hazelbaker scored.
S_Piscotty,1336,D Straily,9460,2016-09-03,Stephen Piscotty singled to right (Liner). Stephen Piscotty advanced to 2B on error. Error by Tyler Holt.
S_Piscotty,1336,J Lackey,1507,2016-06-20,Stephen Piscotty walked. Aledmys Diaz advanced to 2B.
S_Piscotty,1336,S Tolleson,1048,2016-06-18,Stephen Piscotty walked.
S_Piscotty,1336,J Paxton,1182,2016-06-26,Stephen Piscotty advanced on a passed ball to 2B. Passed ball by Chris Iannetta.
S_Piscotty,1336,C Anderson,6895,2016-07-03,Stephen Piscotty singled to left (Grounder). Aledmys Diaz advanced to 2B.
S_Piscotty,1336,T Thornburg,1068,2016-07-10,Stephen Piscotty singled to center (Liner).
S_Piscotty,1336,J Gray,1491,2016-05-19,Stephen Piscotty singled to third (Grounder).
S_Piscotty,1336,G Cole,1312,2016-05-08,Stephen Piscotty advanced on a stolen base to 2B.
S_Piscotty,1336,J Smoker,1028,2016-08-25,Stephen Piscotty singled to left (Fliner (Fly)).
S_Piscotty,1336,E Butler,1345,2016-09-20,Stephen Piscotty singled to left (Grounder). Jedd Gyorko advanced to 3B.
S_Piscotty,1336,J Guerra,5702,2016-09-08,Stephen Piscotty singled to right (Liner).
S_Piscotty,1336,M Moore,1890,2016-09-16,Stephen Piscotty walked.
S_Piscotty,1336,K Hendricks,1204,2016-08-13,Stephen Piscotty singled to right (Liner).
S_Piscotty,1336,T Williams,1697,2016-09-07,Stephen Piscotty walked.
S_Piscotty,1336,J Arrieta,4153,2016-08-12,Stephen Piscotty homered (Fly).
S_Piscotty,1336,Y Ventura,1185,2016-06-28,Stephen Piscotty was hit by a pitch.
S_Piscotty,1336,L Verrett,1290,2016-07-27,Stephen Piscotty walked.
S_Piscotty,1336,J De La Cruz,1282,2016-08-05,Stephen Piscotty singled to left (Liner).
S_Piscotty,1336,C Rea,1231,2016-07-20,Stephen Piscotty singled to right (Grounder).
S_Piscotty,1336,K Lobstein,9178,2016-05-08,Stephen Piscotty singled to right (Grounder). Matt Carpenter advanced to 2B.
S_Piscotty,1336,C Hamels,4972,2016-06-17,Stephen Piscotty walked.
S_Piscotty,1336,C Anderson,6895,2016-07-03,Stephen Piscotty singled to left (Liner).
S_Piscotty,1336,G Gonzalez,7448,2016-05-28,Stephen Piscotty advanced on a stolen base to 2B.
S_Piscotty,1336,B Finnegan,1620,2016-08-09,Stephen Piscotty balked to 2B.
S_Piscotty,1336,R Ray,1148,2016-05-21,Stephen Piscotty walked.
S_Piscotty,1336,J Nelson,1054,2016-07-02,Stephen Piscotty singled to right (Fliner (Liner)).
S_Piscotty,1336,J Diaz,3397,2016-08-02,Stephen Piscotty walked.
S_Piscotty,1336,J Diaz,3397,2016-09-04,Stephen Piscotty advanced on a stolen base to 2B.
S_Piscotty,1336,S Oberg,1391,2016-05-19,Stephen Piscotty was hit by a pitch.
S_Piscotty,1336,Y Ventura,1185,2016-06-28,Stephen Piscotty advanced on a stolen base to 2B.
S_Piscotty,1336,S Kazmir,4897,2016-07-24,Stephen Piscotty singled to second (Grounder).
S_Piscotty,1336,S Kazmir,4897,2016-05-14,Stephen Piscotty singled to right (Fliner (Liner)).
S_Piscotty,1336,Z Greinke,1943,2016-04-25,Stephen Piscotty singled to third (Grounder).
S_Piscotty,1336,M Moore,1890,2016-09-16,Stephen Piscotty singled to right (Fliner (Liner)). Matt Carpenter advanced to 3B.
S_Piscotty,1336,G Germen,5876,2016-05-18,Stephen Piscotty advanced on a passed ball to 3B. Matt Holliday Passed ball by Tony Wolters.
