playername,playerid,vsname,vsid,date,Play
S_Romero,1174,B Maurer,4878,2016-06-02,Stefen Romero singled to center (Fliner (Liner)). Dae-Ho Lee scored. Chris Iannetta advanced to 3B.
S_Romero,1174,B Suter,1394,2016-08-19,Stefen Romero singled to center (Fliner (Liner)). Nelson Cruz scored. Kyle Seager advanced to 2B.
S_Romero,1174,B Suter,1394,2016-08-19,Stefen Romero reached on error to shortstop (Grounder). Error by Orlando Arcia.
S_Romero,1174,C Bethancourt,1002,2016-05-31,Stefen Romero flied out to right (Fly).
S_Romero,1174,B Maurer,4878,2016-06-01,Stefen Romero flied out to center (Fliner (Liner)).
S_Romero,1174,R Pressly,7005,2016-05-27,Stefen Romero struck out swinging.
S_Romero,1174,P Dean,1135,2016-05-27,Stefen Romero struck out swinging.
S_Romero,1174,P Dean,1135,2016-05-27,Stefen Romero flied out to left (Fly).
S_Romero,1174,M Perez,6902,2016-06-04,Stefen Romero flied out to right (Fliner (Fly)).
S_Romero,1174,D Holland,4141,2016-06-05,Stefen Romero struck out swinging.
