playername,playerid,vsname,vsid,date,Play
S_Strasburg,1013,J Heyward,4940,2016-06-15,Jason Heyward grounded into a double play to second (Grounder). Ben Zobrist out at second.
S_Strasburg,1013,D Dietrich,1054,2016-05-14,Derek Dietrich grounded into a double play to pitcher (Grounder). Justin Nicolino out at second.
S_Strasburg,1013,K Plawecki,1380,2016-05-19,Kevin Plawecki flied out to right (Fly).
S_Strasburg,1013,S Marte,9241,2016-07-15,Starling Marte out on a dropped third strike.
S_Strasburg,1013,A Russell,1410,2016-06-15,Addison Russell struck out swinging.
S_Strasburg,1013,J Baez,1297,2016-06-15,Javier Baez flied out to right (Fly).
S_Strasburg,1013,E Inciarte,4922,2016-08-12,Ender Inciarte flied out to center (Fly).
S_Strasburg,1013,E Suarez,1255,2016-06-04,Eugenio Suarez struck out swinging.
S_Strasburg,1013,S Piscotty,1336,2016-04-29,Stephen Piscotty grounded into a double play to shortstop (Grounder). Jeremy Hazelbaker out at second.
S_Strasburg,1013,M Joyce,3353,2016-07-15,Matt Joyce fouled out to third (Fly).
S_Strasburg,1013,B Belt,1026,2016-08-06,Brandon Belt struck out swinging.
S_Strasburg,1013,J Nicolino,1175,2016-05-14,Justin Nicolino struck out swinging.
S_Strasburg,1013,T Kelly,7740,2016-05-24,Ty Kelly struck out swinging.
S_Strasburg,1013,M Carpenter,8090,2016-04-29,Matt Carpenter struck out swinging.
S_Strasburg,1013,A Diaz,1593,2016-04-29,Aledmys Diaz flied out to right (Fliner (Fly)).
S_Strasburg,1013,R Grichuk,1024,2016-05-29,Randal Grichuk flied out to second (Fly).
S_Strasburg,1013,R Rivera,3648,2016-07-08,Rene Rivera flied out to right (Fliner (Fly)).
S_Strasburg,1013,E Fryer,8145,2016-05-29,Eric Fryer struck out swinging.
S_Strasburg,1013,A Pierzynski,746&,2016-04-06,A.J. Pierzynski struck out swinging.
S_Strasburg,1013,E Campbell,6938,2016-05-24,Eric Campbell reached on fielder's choice to shortstop (Grounder). Yoenis Cespedes scored. Neil Walker out at second.
S_Strasburg,1013,M Wacha,1407,2016-05-29,Michael Wacha struck out swinging.
S_Strasburg,1013,M Carpenter,8090,2016-05-29,Matt Carpenter flied out to right (Fly).
S_Strasburg,1013,J Bruce,9892,2016-07-03,Jay Bruce fouled out to third (Fly).
S_Strasburg,1013,J Bruce,9892,2016-07-03,Jay Bruce struck out swinging.
S_Strasburg,1013,J Bour,9744,2016-04-19,Justin Bour struck out swinging.
S_Strasburg,1013,C Yelich,1147,2016-04-19,Christian Yelich flied out to center (Fly).
S_Strasburg,1013,A Rizzo,3473,2016-06-15,Anthony Rizzo struck out swinging.
S_Strasburg,1013,J Kang,1718,2016-07-15,Jung Ho Kang grounded out to shortstop (Grounder). Starling Marte advanced to 3B.
S_Strasburg,1013,B Moss,4467,2016-05-29,Brandon Moss struck out swinging.
S_Strasburg,1013,M Montero,3364,2016-06-15,Miguel Montero flied out to left (Fly).
S_Strasburg,1013,W Flores,5827,2016-07-08,Wilmer Flores struck out swinging.
S_Strasburg,1013,A Diaz,1593,2016-04-29,Aledmys Diaz flied out to center (Fliner (Liner)).
S_Strasburg,1013,R Davis,3708,2016-07-27,Rajai Davis struck out swinging.
S_Strasburg,1013,L Duda,2502,2016-05-19,Lucas Duda struck out swinging.
S_Strasburg,1013,J Hammel,4538,2016-06-15,Jason Hammel flied out to left (Fliner (Liner)).
S_Strasburg,1013,K Bryant,1542,2016-06-15,Kris Bryant struck out looking.
S_Strasburg,1013,K Johnson,2234,2016-07-08,Kelly Johnson grounded out to pitcher (Grounder).
S_Strasburg,1013,E Suarez,1255,2016-07-03,Eugenio Suarez reached on fielder's choice to third (Grounder). Joey Votto out at second.
S_Strasburg,1013,R Rivera,3648,2016-07-08,Rene Rivera grounded out to shortstop (Grounder).
S_Strasburg,1013,M Ozuna,1032,2016-05-14,Marcell Ozuna struck out swinging.
S_Strasburg,1013,S Piscotty,1336,2016-04-29,Stephen Piscotty flied out to right (Fly).
S_Strasburg,1013,A Pierzynski,746&,2016-04-14,A.J. Pierzynski struck out swinging.
S_Strasburg,1013,J Urias,1476,2016-07-21,Julio Urias struck out swinging.
S_Strasburg,1013,B Hamilton,1019,2016-06-04,Billy Hamilton struck out swinging.
