playername,playerid,vsname,vsid,date,Play
S_Tuivailala,1348,A McCutchen,9847,2016-07-06,Andrew McCutchen struck out swinging.
S_Tuivailala,1348,W Flores,5827,2016-07-26,Wilmer Flores flied out to right (Fliner (Fly)).
S_Tuivailala,1348,A Cabrera,4962,2016-07-26,Asdrubal Cabrera flied out to center (Fly).
S_Tuivailala,1348,K Johnson,2234,2016-08-23,Kelly Johnson grounded out to shortstop (Grounder).
S_Tuivailala,1348,J Bruce,9892,2016-08-23,Jay Bruce struck out swinging.
S_Tuivailala,1348,A Altherr,1127,2016-08-20,Aaron Altherr struck out looking.
S_Tuivailala,1348,F Galvis,6609,2016-08-20,Freddy Galvis flied out to left (Fly).
S_Tuivailala,1348,S Rodriguez,6589,2016-07-04,Sean Rodriguez struck out looking.
S_Tuivailala,1348,A Russell,1410,2016-09-23,Addison Russell flied out to shortstop (Fly).
S_Tuivailala,1348,J Heyward,4940,2016-09-23,Jason Heyward reached on fielder's choice to shortstop (Grounder). Ben Zobrist out at second.
S_Tuivailala,1348,K Johnson,2234,2016-08-25,Kelly Johnson lined out to first (Liner).
S_Tuivailala,1348,M Maldonado,6887,2016-09-08,Martin Maldonado flied out to shortstop (Fly).
S_Tuivailala,1348,J Peraza,1359,2016-09-26,Jose Peraza grounded out to shortstop (Grounder).
S_Tuivailala,1348,J Elmore,7290,2016-09-08,Jake Elmore walked.
S_Tuivailala,1348,K Broxton,9253,2016-09-08,Keon Broxton walked. Jake Elmore advanced to 3B. Jonathan Villar advanced to 2B.
S_Tuivailala,1348,B Zobrist,7435,2016-09-23,Ben Zobrist walked.
S_Tuivailala,1348,J Loney,4556,2016-08-25,James Loney singled to left (Fliner (Liner)).
S_Tuivailala,1348,D Freese,9549,2016-07-06,David Freese walked.
S_Tuivailala,1348,B Zobrist,7435,2016-09-12,Ben Zobrist doubled to left (Liner).
S_Tuivailala,1348,J Reyes,1736,2016-08-23,Jose Reyes advanced on a wild pitch to 2B.
S_Tuivailala,1348,J Reyes,1736,2016-08-23,Jose Reyes singled to center (Fliner (Fly)).
S_Tuivailala,1348,J Lagares,5384,2016-07-26,Juan Lagares advanced on a stolen base to 2B.
S_Tuivailala,1348,J Lagares,5384,2016-07-26,Juan Lagares was hit by a pitch.
S_Tuivailala,1348,E Fryer,8145,2016-07-06,Eric Fryer singled to center (Liner).
S_Tuivailala,1348,J Loney,4556,2016-08-23,James Loney singled to left (Fliner (Liner)). Jose Reyes scored. Yoenis Cespedes advanced to 2B.
