playername,playerid,vsname,vsid,date,Play
T_Adleman,1096,D Freese,9549,2016-09-09,David Freese grounded into a double play to second (Grounder). Gregory Polanco advanced to 3B. Jung Ho Kang out at second.
T_Adleman,1096,H Kendrick,4229,2016-08-19,Howie Kendrick grounded into a double play to shortstop (Grounder). Joc Pederson out at second.
T_Adleman,1096,T Cravy,1077,2016-05-06,Tyler Cravy reached on fielder's choice to shortstop (Grounder). Martin Maldonado out at second.
T_Adleman,1096,A Gonzalez,1908,2016-08-19,Adrian Gonzalez flied out to left (Fly).
T_Adleman,1096,O Arcia,1318,2016-09-14,Orlando Arcia fouled out to first (Fly).
T_Adleman,1096,G Garcia,1095,2016-09-04,Greg Garcia struck out swinging.
T_Adleman,1096,J Guerra,5702,2016-09-14,Junior Guerra grounded out to pitcher (Grounder).
T_Adleman,1096,M Moreland,3086,2016-08-24,Mitch Moreland flied out to second (Fly).
T_Adleman,1096,C Carter,9911,2016-05-06,Chris Carter fouled out to first (Fly).
T_Adleman,1096,F Cervelli,5275,2016-09-09,Francisco Cervelli grounded out to third (Grounder).
T_Adleman,1096,J Heyward,4940,2016-09-19,Jason Heyward flied out to center (Liner).
T_Adleman,1096,B Zobrist,7435,2016-09-19,Ben Zobrist flied out to right (Fly).
T_Adleman,1096,J Villar,1007,2016-09-14,Jonathan Villar struck out looking.
T_Adleman,1096,O Herrera,1147,2016-05-14,Odubel Herrera struck out looking.
T_Adleman,1096,C Coghlan,6878,2016-09-19,Chris Coghlan lined out to shortstop (Liner).
T_Adleman,1096,F Galvis,6609,2016-05-14,Freddy Galvis struck out swinging.
T_Adleman,1096,J Kang,1718,2016-09-09,Jung Ho Kang picked off.
T_Adleman,1096,N Buss,6835,2016-08-30,Nick Buss struck out swinging.
T_Adleman,1096,A Russell,1410,2016-09-19,Addison Russell flied out to third (Fly).
T_Adleman,1096,J Reddick,3892,2016-08-19,Josh Reddick struck out swinging.
T_Adleman,1096,D Fowler,4062,2016-09-19,Dexter Fowler flied out to left (Fliner (Fly)).
T_Adleman,1096,J Bell,1314,2016-09-09,Josh Bell flied out to left (Fliner (Fly)). Josh Harrison advanced to 3B.
T_Adleman,1096,J Harrison,8202,2016-05-01,Josh Harrison struck out swinging.
T_Adleman,1096,K Bryant,1542,2016-10-01,Kris Bryant flied out to right (Fly).
T_Adleman,1096,Y Darvish,1307,2016-08-24,Yu Darvish grounded into a double play to third (Grounder). Elvis Andrus out at second.
T_Adleman,1096,B Zobrist,7435,2016-10-01,Ben Zobrist fouled out to third (Fly).
T_Adleman,1096,J Villar,1007,2016-05-06,Jonathan Villar struck out swinging.
T_Adleman,1096,K Bryant,1542,2016-09-19,Kris Bryant struck out looking.
