playername,playerid,vsname,vsid,date,Play
T_Barnette,3555,M Trumbo,6876,2016-06-20,Mark Trumbo grounded into a double play to second (Grounder). Chris Davis out at second.
T_Barnette,3555,R Davis,3708,2016-05-31,Rajai Davis grounded into a double play to second (Grounder). Yan Gomes out at second.
T_Barnette,3555,T Tulowitzki,3531,2016-05-04,Troy Tulowitzki flied out to first (Fly).
T_Barnette,3555,E Encarnacion,2151,2016-05-14,Edwin Encarnacion grounded out to third (Grounder).
T_Barnette,3555,M Gonzalez,5497,2016-06-09,Marwin Gonzalez lined out to second (Liner).
T_Barnette,3555,J Donaldson,5038,2016-05-03,Josh Donaldson flied out to left (Fliner (Liner)).
T_Barnette,3555,A Jackson,9848,2016-05-11,Austin Jackson flied out to center (Fly).
T_Barnette,3555,G Petit,3812,2016-05-25,Gregorio Petit flied out to right (Fliner (Liner)).
T_Barnette,3555,Y Escobar,4191,2016-05-25,Yunel Escobar reached on fielder's choice to second (Grounder). Rafael Ortega out at second.
T_Barnette,3555,N Aoki,1307,2016-04-13,Nori Aoki flied out to left (Fliner (Fly)).
T_Barnette,3555,J Bandy,1250,2016-05-25,Jett Bandy hit a sacrifice fly to center (Fliner (Fly)). C.J. Cron scored.
T_Barnette,3555,K Wong,1253,2016-06-19,Kolten Wong flied out to left (Fliner (Fly)).
T_Barnette,3555,M Saunders,9981,2016-05-14,Michael Saunders struck out swinging.
T_Barnette,3555,F Gutierrez,3255,2016-04-13,Franklin Gutierrez reached on fielder's choice to shortstop (Grounder). Ketel Marte out at second.
T_Barnette,3555,G Parra,8553,2016-08-10,Gerardo Parra grounded out to first (Grounder).
T_Barnette,3555,C Iannetta,8267,2016-04-05,Chris Iannetta flied out to center (Fliner (Liner)).
T_Barnette,3555,L Sardinas,1315,2016-06-03,Luis Sardinas grounded into a double play to second (Grounder). Steve Clevenger out at second.
T_Barnette,3555,L Martin,1184,2016-04-13,Leonys Martin struck out swinging.
T_Barnette,3555,L Sardinas,1315,2016-04-05,Luis Sardinas struck out swinging.
T_Barnette,3555,C Gomez,4881,2016-04-19,Carlos Gomez flied out to center (Fliner (Liner)).
T_Barnette,3555,C Colon,1114,2016-07-23,Christian Colon struck out swinging.
T_Barnette,3555,E Rosario,1215,2016-07-08,Eddie Rosario was caught stealing.
T_Barnette,3555,M Byrd,950&,2016-05-31,Marlon Byrd struck out swinging.
T_Barnette,3555,J Querecuto,1214,2016-09-30,Juniel Querecuto reached on fielder's choice to first (Grounder). Curt Casali out at second.
T_Barnette,3555,D Butera,3411,2016-07-31,Drew Butera flied out to center (Fliner (Liner)).
T_Barnette,3555,M Gonzalez,5497,2016-04-19,Marwin Gonzalez grounded out to first (Grounder).
T_Barnette,3555,N Cruz,2434,2016-04-13,Nelson Cruz struck out swinging.
T_Barnette,3555,G Springer,1285,2016-06-09,George Springer grounded out to pitcher (Grounder). Jake Marisnick advanced to 3B.
T_Barnette,3555,E Nunez,6848,2016-07-08,Eduardo Nunez flied out to pitcher (Bunt Fly).
T_Barnette,3555,N Hundley,3376,2016-08-10,Nick Hundley struck out swinging.
T_Barnette,3555,J Sands,4016,2016-05-09,Jerry Sands flied out to second (Fliner (Fly)).
T_Barnette,3555,A Simmons,1084,2016-07-19,Andrelton Simmons grounded into a double play to shortstop (Grounder). Todd Cunningham out at second.
T_Barnette,3555,A Lind,8027,2016-04-13,Adam Lind flied out to center (Fly).
T_Barnette,3555,Y Rivera,1186,2016-09-27,Yadiel Rivera struck out looking.
T_Barnette,3555,J Dyson,4866,2016-07-31,Jarrod Dyson flied out to center (Fliner (Liner)).
T_Barnette,3555,E Gattis,1100,2016-08-06,Evan Gattis struck out swinging.
T_Barnette,3555,V Martinez,393&,2016-08-12,Victor Martinez struck out swinging.
T_Barnette,3555,C Correa,1416,2016-09-04,Carlos Correa reached on fielder's choice to second (Grounder). Jose Altuve out at second.
T_Barnette,3555,C Vazquez,9774,2016-06-24,Christian Vazquez struck out swinging.
T_Barnette,3555,B McCann,4810,2016-06-27,Brian McCann struck out swinging.
