playername,playerid,vsname,vsid,date,Play
T_Bauer,1270,D Barney,2430,2016-07-01,Darwin Barney flied out to shortstop (Fly).
T_Bauer,1270,E Carrera,9048,2016-07-01,Ezequiel Carrera struck out looking.
T_Bauer,1270,J Lake,4672,2016-07-01,Junior Lake grounded out to third (Grounder).
T_Bauer,1270,J Marte,5107,2016-06-11,Jefry Marte lined out to third (Liner). Albert Pujols out at second.
T_Bauer,1270,B Buxton,1416,2016-07-16,Byron Buxton reached on fielder's choice to second (Grounder). Kennys Vargas out at home. Eddie Rosario advanced to 3B.
T_Bauer,1270,E Carrera,9048,2016-07-01,Ezequiel Carrera grounded out to first (Grounder).
T_Bauer,1270,V Martinez,393&,2016-09-18,Victor Martinez grounded into a double play to second (Grounder). Miguel Cabrera out at second.
T_Bauer,1270,J Peterson,1232,2016-06-27,Jace Peterson was caught stealing.
T_Bauer,1270,J Martinez,6184,2016-09-18,J.D. Martinez struck out swinging.
T_Bauer,1270,A Gordon,5209,2016-10-01,Alex Gordon struck out swinging.
T_Bauer,1270,N Mazara,1455,2016-06-01,Nomar Mazara flied out to left (Fliner (Liner)).
T_Bauer,1270,E Nunez,6848,2016-07-16,Eduardo Nunez grounded out to first (Grounder).
T_Bauer,1270,A Romine,1159,2016-09-18,Andrew Romine out on a dropped third strike.
T_Bauer,1270,J Thole,9689,2016-07-01,Josh Thole struck out looking.
T_Bauer,1270,A Pujols,1177,2016-08-14,Albert Pujols grounded into a double play to second (Grounder). Yunel Escobar out at second.
T_Bauer,1270,C Heisey,3978,2016-08-09,Chris Heisey grounded out to shortstop (Grounder).
T_Bauer,1270,J Centeno,7168,2016-07-16,Juan Centeno out on a dropped third strike.
T_Bauer,1270,T Tulowitzki,3531,2016-07-01,Troy Tulowitzki grounded out to shortstop (Grounder).
T_Bauer,1270,D Santana,1032,2016-08-03,Danny Santana reached on fielder's choice to shortstop (Grounder). Eduardo Escobar out at home. Juan Centeno advanced to 2B.
T_Bauer,1270,J McCann,1285,2016-09-18,James McCann grounded out to second (Grounder).
T_Bauer,1270,M Trumbo,6876,2016-05-27,Mark Trumbo struck out swinging.
T_Bauer,1270,P Fielder,4613,2016-06-01,Prince Fielder flied out to shortstop (Fly).
T_Bauer,1270,J Centeno,7168,2016-08-03,Juan Centeno grounded out to second (Grounder).
T_Bauer,1270,C Maybin,5223,2016-09-18,Cameron Maybin grounded into a double play to shortstop (Grounder). Jose Iglesias out at second.
T_Bauer,1270,T Frazier,785&,2016-06-17,Todd Frazier grounded out to shortstop (Grounder).
T_Bauer,1270,D Jennings,1965,2016-06-22,Desmond Jennings struck out swinging.
T_Bauer,1270,Y Gurriel,1919,2016-09-08,Yulieski Gurriel grounded out to shortstop (Grounder).
T_Bauer,1270,M Scherzer,3137,2016-08-09,Max Scherzer struck out looking.
T_Bauer,1270,G Petit,3812,2016-06-11,Gregorio Petit grounded out to pitcher (Grounder). Jett Bandy advanced to 2B.
T_Bauer,1270,D Travis,1386,2016-07-01,Devon Travis grounded out to shortstop (Grounder).
T_Bauer,1270,J Gant,1368,2016-06-27,John Gant grounded out to second (Grounder).
T_Bauer,1270,J McCann,1285,2016-09-18,James McCann struck out looking.
