playername,playerid,vsname,vsid,date,Play
T_Brown,1389,C Hatcher,3299,2016-04-08,Trevor Brown homered (Fly). Angel Pagan scored.
T_Brown,1389,T Chatwood,4338,2016-04-12,Trevor Brown homered (Fly). Angel Pagan scored.
T_Brown,1389,M Moore,1890,2016-06-18,Trevor Brown doubled to left (Fliner (Liner)).
T_Brown,1389,R de la Rosa,3862,2016-05-15,Trevor Brown homered (Fliner (Fly)).
T_Brown,1389,J Lester,4930,2016-09-02,Trevor Brown doubled to left (Liner).
T_Brown,1389,Z Britton,3240,2016-08-14,Trevor Brown singled to left (Grounder).
T_Brown,1389,B Treinen,1257,2016-07-30,Trevor Brown walked. Hunter Pence scored. Brandon Belt advanced to 3B. Gregor Blanco advanced to 2B.
T_Brown,1389,D Pomeranz,1142,2016-07-20,Trevor Brown homered (Fliner (Fly)). Grant Green scored.
T_Brown,1389,S Gonzalez,1469,2016-06-24,Trevor Brown singled to shortstop (Grounder).
T_Brown,1389,V Velasquez,1118,2016-08-04,Trevor Brown walked. Joe Panik advanced to 2B.
T_Brown,1389,A Miller,6785,2016-07-22,Trevor Brown singled to right (Grounder).
T_Brown,1389,A Colome,6661,2016-06-18,Trevor Brown singled to first (Liner).
T_Brown,1389,M Moore,1890,2016-06-18,Trevor Brown walked.
T_Brown,1389,C Richard,3551,2016-09-25,Trevor Brown singled to right (Liner).
T_Brown,1389,M Moore,1890,2016-06-18,Trevor Brown singled to left (Fliner (Liner)).
T_Brown,1389,R Madson,1852,2016-06-28,Trevor Brown singled to left (Grounder). Brandon Crawford advanced to 2B.
T_Brown,1389,J Lester,4930,2016-05-21,Trevor Brown singled to left (Fliner (Liner)). Matt Duffy scored. Trevor Brown out.
T_Brown,1389,S Gonzalez,1469,2016-08-04,Trevor Brown singled to right (Fliner (Liner)).
T_Brown,1389,K Siegrist,8180,2016-06-05,Denard Span advanced on a wild pitch to 2B.
T_Brown,1389,S Kelley,7773,2016-07-29,Trevor Brown singled to left (Liner). Gregor Blanco advanced to 3B.
T_Brown,1389,S Manaea,1587,2016-06-29,Trevor Brown singled to right (Fliner (Liner)).
T_Brown,1389,C Bettis,1058,2016-09-05,Trevor Brown doubled to center (Fliner (Liner)).
T_Brown,1389,M Kirkman,9877,2016-04-27,Trevor Brown singled to center (Grounder). Hunter Pence scored.
