playername,playerid,vsname,vsid,date,Play
T_Cahill,6249,J Locke,2929,2016-08-29,Jeff Locke singled to second (Grounder). Josh Harrison out at second.
T_Cahill,6249,R Zimmerman,4220,2016-06-15,Ryan Zimmerman struck out swinging.
T_Cahill,6249,S Rodriguez,6589,2016-08-29,Sean Rodriguez flied out to center (Fliner (Fly)).
T_Cahill,6249,M Lorenzen,1484,2016-06-27,Michael Lorenzen out on a dropped third strike.
T_Cahill,6249,D Span,8347,2016-09-04,Denard Span grounded out to first (Grounder).
T_Cahill,6249,R Cabrera,1032,2016-06-28,Ramon Cabrera flied out to center (Fly).
T_Cahill,6249,D Santana,1034,2016-09-07,Domingo Santana struck out swinging.
T_Cahill,6249,R Zimmerman,4220,2016-05-08,Ryan Zimmerman grounded out to first (Grounder).
T_Cahill,6249,T Barnhart,1020,2016-06-28,Tucker Barnhart struck out swinging.
T_Cahill,6249,C Utley,1679,2016-08-28,Chase Utley struck out swinging.
T_Cahill,6249,B Hamilton,1019,2016-07-06,Billy Hamilton struck out looking.
T_Cahill,6249,B Hamilton,1019,2016-06-28,Billy Hamilton grounded out to shortstop (Grounder).
T_Cahill,6249,A Rendon,1286,2016-05-08,Anthony Rendon flied out to left (Fly).
T_Cahill,6249,T Joseph,1034,2016-05-27,Tommy Joseph struck out swinging.
T_Cahill,6249,G Stanton,4949,2016-06-24,Giancarlo Stanton flied out to center (Fly).
T_Cahill,6249,R Zimmerman,4220,2016-05-08,Ryan Zimmerman flied out to right (Fliner (Liner)).
T_Cahill,6249,M Pina,2829,2016-08-16,Manny Pina struck out swinging.
T_Cahill,6249,J Lamb,1332,2016-04-08,Jake Lamb grounded out to second (Grounder). Chris Owings advanced to 2B.
T_Cahill,6249,D LeMahieu,9874,2016-08-20,DJ LeMahieu grounded out to shortstop (Grounder). Chris Rusin scored.
T_Cahill,6249,J Villar,1007,2016-08-16,Jonathan Villar struck out swinging.
T_Cahill,6249,J Mercer,6547,2016-09-27,Jordy Mercer flied out to center (Fliner (Liner)).
T_Cahill,6249,M Bourn,6387,2016-06-05,Michael Bourn struck out looking.
T_Cahill,6249,E Nunez,6848,2016-09-03,Eduardo Nunez struck out swinging.
T_Cahill,6249,B Finnegan,1620,2016-04-11,Brandon Finnegan reached on fielder's choice to catcher (Bunt Grounder). Adam Duvall out at third.
T_Cahill,6249,S Drew,4251,2016-05-08,Stephen Drew struck out swinging.
T_Cahill,6249,J Bour,9744,2016-06-24,Justin Bour flied out to right (Fliner (Liner)).
T_Cahill,6249,J Pirela,5485,2016-05-10,Jose Pirela struck out looking.
T_Cahill,6249,B Hamilton,1019,2016-07-06,Billy Hamilton struck out swinging.
T_Cahill,6249,J Lucroy,7870,2016-05-19,Jonathan Lucroy struck out swinging.
T_Cahill,6249,J Votto,4314,2016-09-30,Joey Votto grounded out to first (Grounder).
T_Cahill,6249,J Rogers,1177,2016-05-03,Jason Rogers struck out swinging.
T_Cahill,6249,P Gosselin,1095,2016-06-05,Phil Gosselin struck out swinging.
T_Cahill,6249,T Holt,1139,2016-07-06,Tyler Holt out on a dropped third strike.
T_Cahill,6249,M Reed,1322,2016-09-17,Michael Reed struck out swinging.
T_Cahill,6249,J Pederson,1189,2016-08-27,Joc Pederson lined out to shortstop (Liner).
T_Cahill,6249,H Perez,5751,2016-08-16,Hernan Perez grounded out to shortstop (Grounder).
T_Cahill,6249,D Descalso,8392,2016-08-20,Daniel Descalso grounded out to second (Grounder).
T_Cahill,6249,L Sardinas,1315,2016-08-24,Luis Sardinas grounded out to pitcher (Grounder).
T_Cahill,6249,J Werth,1327,2016-05-08,Jayson Werth struck out swinging.
T_Cahill,6249,T Story,1256,2016-04-15,Trevor Story grounded out to third (Grounder).
T_Cahill,6249,P Bourjos,2578,2016-06-07,Peter Bourjos grounded out to third (Grounder).
T_Cahill,6249,W Myers,1004,2016-08-24,Wil Myers struck out looking.
T_Cahill,6249,R Cabrera,1032,2016-09-20,Ramon Cabrera grounded into a double play to shortstop (Grounder). Tyler Holt out at second.
T_Cahill,6249,D Span,8347,2016-09-03,Denard Span grounded out to second (Grounder).
T_Cahill,6249,F Cervelli,5275,2016-05-13,Francisco Cervelli flied out to right (Fly).
T_Cahill,6249,Y Tomas,1717,2016-06-05,Yasmany Tomas grounded out to catcher (Grounder).
T_Cahill,6249,A Cabrera,4962,2016-06-30,Asdrubal Cabrera flied out to center (Fliner (Fly)).
T_Cahill,6249,C Carter,9911,2016-04-28,Chris Carter grounded into a double play to second (Grounder). Jonathan Lucroy out at second.
T_Cahill,6249,B Hamilton,1019,2016-04-11,Billy Hamilton struck out swinging.
T_Cahill,6249,B Posey,9166,2016-05-21,Buster Posey struck out swinging.
T_Cahill,6249,G Springer,1285,2016-09-11,George Springer grounded into a double play to shortstop (Grounder). Jake Marisnick out at second.
T_Cahill,6249,A Rendon,1286,2016-05-08,Anthony Rendon grounded out to third (Grounder). Ben Revere advanced to 2B.
T_Cahill,6249,K Nieuwenhuis,6400,2016-05-19,Kirk Nieuwenhuis flied out to left (Fliner (Fly)). Scooter Gennett advanced to 2B.
T_Cahill,6249,D LeMahieu,9874,2016-04-15,DJ LeMahieu struck out swinging.
