playername,playerid,vsname,vsid,date,Play
T_Chatwood,4338,K Maeda,1849,2016-08-04,Kenta Maeda grounded into a double play to shortstop (Grounder). Joc Pederson out at second.
T_Chatwood,4338,Y Tomas,1717,2016-04-29,Yasmany Tomas grounded into a double play to second (Grounder). Paul Goldschmidt advanced to 3B. David Peralta out at second.
T_Chatwood,4338,B Posey,9166,2016-09-28,Buster Posey grounded into a double play to third (Grounder). Brandon Belt out at second.
T_Chatwood,4338,M Duffy,1383,2016-05-27,Matt Duffy grounded into a double play to pitcher (Grounder). Joe Panik out at second.
T_Chatwood,4338,M Joyce,3353,2016-05-21,Matt Joyce reached on fielder's choice to second (Grounder). Jung Ho Kang out at home.
T_Chatwood,4338,A Ramirez,5133,2016-05-04,Alexei Ramirez grounded out to shortstop (Grounder).
T_Chatwood,4338,N Walker,7539,2016-07-29,Neil Walker grounded into a double play to second (Grounder). James Loney out at second.
T_Chatwood,4338,J deGrom,1095,2016-05-15,Jacob deGrom grounded into a double play to first (Grounder). Eric Campbell out at second.
T_Chatwood,4338,C Bethancourt,1002,2016-05-04,Christian Bethancourt grounded into a double play to third (Grounder). Alexei Ramirez out at second.
T_Chatwood,4338,D Fowler,4062,2016-04-17,Dexter Fowler flied out to left (Fly).
T_Chatwood,4338,C Owings,1003,2016-05-09,Chris Owings grounded out to shortstop (Grounder).
T_Chatwood,4338,J Reddick,3892,2016-09-22,Josh Reddick flied out to center (Fliner (Fly)).
T_Chatwood,4338,O Herrera,1147,2016-08-14,Odubel Herrera struck out looking.
T_Chatwood,4338,T Jankowski,1376,2016-09-09,Travis Jankowski struck out looking.
T_Chatwood,4338,F Galvis,6609,2016-08-14,Freddy Galvis flied out to left (Fly).
T_Chatwood,4338,Y Grandal,1136,2016-08-04,Yasmani Grandal struck out swinging.
T_Chatwood,4338,K Maeda,1849,2016-08-04,Kenta Maeda flied out to right (Fliner (Fly)).
T_Chatwood,4338,J Heyward,4940,2016-04-17,Jason Heyward struck out swinging.
T_Chatwood,4338,C Bethancourt,1002,2016-05-04,Christian Bethancourt fouled out to third.
T_Chatwood,4338,B Zobrist,7435,2016-04-17,Ben Zobrist flied out to center (Fly).
T_Chatwood,4338,A Amarista,9063,2016-06-11,Alexi Amarista grounded into a double play to second (Grounder). Derek Norris out at second.
T_Chatwood,4338,W Myers,1004,2016-09-16,Wil Myers struck out swinging.
T_Chatwood,4338,T Thompson,9952,2016-06-06,Trayce Thompson grounded into a double play to third (Grounder). Corey Seager out at second.
T_Chatwood,4338,A Duvall,1095,2016-06-01,Adam Duvall grounded into a double play to shortstop (Grounder). Joey Votto out at second.
T_Chatwood,4338,T Goeddel,1318,2016-07-10,Tyler Goeddel grounded out to first (Grounder).
T_Chatwood,4338,C Gillaspie,9009,2016-07-05,Conor Gillaspie grounded out to second (Grounder).
T_Chatwood,4338,B Belt,1026,2016-07-05,Brandon Belt struck out swinging.
T_Chatwood,4338,J Pederson,1189,2016-04-23,Joc Pederson lined out to second (Liner).
T_Chatwood,4338,C Dickerson,1076,2016-07-19,Corey Dickerson grounded into a double play to first (Grounder). Evan Longoria out at second.
T_Chatwood,4338,C Seager,1362,2016-09-22,Corey Seager grounded into a double play to shortstop (Grounder). Chase Utley out at second.
T_Chatwood,4338,W Myers,1004,2016-05-04,Wil Myers flied out to left (Fly).
T_Chatwood,4338,A Amarista,9063,2016-06-11,Alexi Amarista reached on fielder's choice to shortstop (Grounder). Derek Norris out at second.
T_Chatwood,4338,C Granderson,4747,2016-07-29,Curtis Granderson flied out to center (Fliner (Liner)).
T_Chatwood,4338,A Ramirez,5133,2016-06-11,Alexei Ramirez grounded out to pitcher (Grounder).
T_Chatwood,4338,A Suarez,6175,2016-05-27,Albert Suarez grounded out to third (Grounder).
T_Chatwood,4338,R Chirinos,3142,2016-08-09,Robinson Chirinos flied out to right (Fliner (Liner)).
T_Chatwood,4338,S Marte,9241,2016-05-21,Starling Marte struck out swinging.
T_Chatwood,4338,C Owings,1003,2016-04-06,Chris Owings flied out to center (Fly).
T_Chatwood,4338,J Weeks,2498,2016-05-04,Jemile Weeks struck out looking.
T_Chatwood,4338,J Francoeur,4792,2016-07-24,Jeff Francoeur grounded out to third (Grounder).
T_Chatwood,4338,T Goeddel,1318,2016-07-10,Tyler Goeddel grounded out to shortstop (Grounder).
T_Chatwood,4338,D Peralta,2136,2016-04-06,David Peralta grounded out to shortstop (Grounder).
T_Chatwood,4338,D Span,8347,2016-05-27,Denard Span grounded out to third (Grounder).
T_Chatwood,4338,M Upton Jr.,5015,2016-06-11,Melvin Upton Jr. grounded out to shortstop (Grounder).
T_Chatwood,4338,J Panik,1193,2016-04-12,Joe Panik flied out to left (Fliner (Fly)).
T_Chatwood,4338,J Jay,5227,2016-09-16,Jon Jay reached on fielder's choice to pitcher (Grounder). Travis Jankowski out at third. Jon Jay advanced to 2B.
T_Chatwood,4338,Y Cespedes,1311,2016-07-29,Yoenis Cespedes grounded out to third (Grounder).
T_Chatwood,4338,C Gillaspie,9009,2016-09-28,Conor Gillaspie struck out swinging.
T_Chatwood,4338,P Gosselin,1095,2016-04-29,Phil Gosselin lined out to shortstop (Liner). Chris Owings out at third.
T_Chatwood,4338,A Griffin,1113,2016-08-09,A.J. Griffin struck out looking.
T_Chatwood,4338,C Seager,1362,2016-08-04,Corey Seager flied out to left (Fliner (Fly)).
T_Chatwood,4338,A Pagan,2918,2016-04-12,Angel Pagan reached on fielder's choice to shortstop (Grounder). Brandon Crawford out at second.
T_Chatwood,4338,H Kendrick,4229,2016-08-04,Howie Kendrick grounded out to second (Grounder).
T_Chatwood,4338,B Crawford,5343,2016-07-05,Brandon Crawford struck out swinging.
T_Chatwood,4338,D Norris,6867,2016-06-11,Derek Norris reached on fielder's choice to pitcher (Grounder). Alexei Ramirez out at second.
T_Chatwood,4338,P Goldschmidt,9218,2016-04-06,Paul Goldschmidt lined out to shortstop (Liner).
T_Chatwood,4338,C Gillaspie,9009,2016-07-05,Conor Gillaspie grounded out to second (Grounder).
T_Chatwood,4338,N Ahmed,1214,2016-04-06,Nick Ahmed flied out to right (Fly).
T_Chatwood,4338,K Bryant,1542,2016-04-17,Kris Bryant grounded out to third (Grounder).
T_Chatwood,4338,I Desmond,6885,2016-08-09,Ian Desmond grounded out to shortstop (Grounder).
T_Chatwood,4338,W Castillo,3256,2016-04-29,Welington Castillo flied out to right (Fly).
T_Chatwood,4338,H Kendrick,4229,2016-04-23,Howie Kendrick grounded out to shortstop (Grounder).
T_Chatwood,4338,A Rizzo,3473,2016-04-17,Anthony Rizzo flied out to right (Fliner (Fly)).
T_Chatwood,4338,C Herrmann,9284,2016-05-09,Chris Herrmann grounded out to first (Grounder). Paul Goldschmidt advanced to 3B. Jake Lamb advanced to 2B.
T_Chatwood,4338,B Snell,1354,2016-07-19,Blake Snell struck out swinging.
T_Chatwood,4338,M Kemp,5631,2016-05-04,Matt Kemp grounded out to shortstop (Grounder).
T_Chatwood,4338,J Kang,1718,2016-05-21,Jung Ho Kang flied out to center (Fly).
T_Chatwood,4338,J Samardzija,3254,2016-04-12,Jeff Samardzija flied out to center (Fly).
T_Chatwood,4338,A Toles,1341,2016-09-22,Andrew Toles struck out swinging.
T_Chatwood,4338,F Cervelli,5275,2016-05-21,Francisco Cervelli grounded out to third (Grounder).
T_Chatwood,4338,J Segura,5933,2016-04-29,Jean Segura flied out to center (Fly).
