playername,playerid,vsname,vsid,date,Play
T_Cingrani,1255,S Gennett,1033,2016-07-15,Scooter Gennett fouled out to second (Fly).
T_Cingrani,1255,T Flowers,9134,2016-06-15,Tyler Flowers flied out to center (Fly).
T_Cingrani,1255,J Mercer,6547,2016-09-10,Jordy Mercer reached on fielder's choice to third (Grounder). Pedro Florimon out at second.
T_Cingrani,1255,D Freese,9549,2016-05-09,David Freese flied out to center (Fliner (Fly)).
T_Cingrani,1255,M Williamson,1415,2016-07-27,Mac Williamson reached on fielder's choice to shortstop (Grounder). Angel Pagan out at second.
T_Cingrani,1255,A Cabrera,4962,2016-04-26,Asdrubal Cabrera struck out swinging.
T_Cingrani,1255,K Bryant,1542,2016-04-11,Kris Bryant grounded out to shortstop (Grounder).
T_Cingrani,1255,A Garcia,1377,2016-07-19,Adonis Garcia picked off.
T_Cingrani,1255,B Posey,9166,2016-07-27,Buster Posey flied out to center (Fly).
T_Cingrani,1255,D Freese,9549,2016-09-10,David Freese struck out swinging.
T_Cingrani,1255,J Werth,1327,2016-07-01,Jayson Werth was caught stealing.
T_Cingrani,1255,N Cruz,2434,2016-05-20,Nelson Cruz struck out swinging.
T_Cingrani,1255,C Johnson,1191,2016-08-16,Chris Johnson grounded into a double play to third (Grounder). Adeiny Hechavarria out at second.
T_Cingrani,1255,F Freeman,5361,2016-06-13,Freddie Freeman grounded out to second (Grounder).
T_Cingrani,1255,J Rondon,1414,2016-07-31,Jose Rondon struck out swinging.
T_Cingrani,1255,B Harper,1157,2016-07-01,Bryce Harper struck out swinging.
T_Cingrani,1255,G Polanco,1290,2016-09-10,Gregory Polanco reached on fielder's choice to shortstop (Grounder). Andrew McCutchen out at second.
T_Cingrani,1255,J Lucroy,7870,2016-05-28,Jonathan Lucroy struck out swinging.
T_Cingrani,1255,N Markakis,5930,2016-06-13,Nick Markakis grounded out to pitcher (Grounder).
T_Cingrani,1255,A Rizzo,3473,2016-04-11,Anthony Rizzo grounded out to second (Grounder).
T_Cingrani,1255,J Lucroy,7870,2016-07-17,Jonathan Lucroy grounded out to second (Grounder).
T_Cingrani,1255,G Polanco,1290,2016-05-01,Gregory Polanco struck out swinging.
T_Cingrani,1255,A Rendon,1286,2016-07-01,Anthony Rendon flied out to right (Fly).
T_Cingrani,1255,J Lowrie,4418,2016-06-11,Jed Lowrie flied out to right (Fliner (Fly)).
T_Cingrani,1255,S Piscotty,1336,2016-04-17,Stephen Piscotty flied out to second (Fly).
T_Cingrani,1255,R Cano,3269,2016-05-22,Robinson Cano struck out swinging.
T_Cingrani,1255,H Perez,5751,2016-05-06,Hernan Perez flied out to left (Fly).
T_Cingrani,1255,A Garcia,1377,2016-06-13,Adonis Garcia grounded out to third (Grounder).
T_Cingrani,1255,J Kipnis,9776,2016-05-18,Jason Kipnis grounded out to second (Grounder).
T_Cingrani,1255,R Zimmerman,4220,2016-07-01,Ryan Zimmerman flied out to right (Fly).
T_Cingrani,1255,K Seager,9785,2016-05-22,Kyle Seager grounded out to third (Grounder).
T_Cingrani,1255,D Norris,6867,2016-07-31,Derek Norris flied out to center (Fly).
T_Cingrani,1255,R Grichuk,1024,2016-04-17,Randal Grichuk flied out to right (Fly).
T_Cingrani,1255,J Harrison,8202,2016-05-09,Josh Harrison grounded out to shortstop (Grounder). Sean Rodriguez advanced to 3B.
T_Cingrani,1255,S Vogt,5000,2016-06-11,Stephen Vogt flied out to left (Fliner (Liner)).
T_Cingrani,1255,C Santana,2396,2016-05-18,Carlos Santana grounded out to shortstop (Grounder).
T_Cingrani,1255,J Rogers,1177,2016-09-16,Jason Rogers reached on fielder's choice to shortstop (Grounder). Sean Rodriguez out at home. Francisco Cervelli advanced to 3B. Jordy Mercer advanced to 2B.
T_Cingrani,1255,H Pence,8252,2016-05-04,Hunter Pence grounded out to second (Grounder).
T_Cingrani,1255,M Moreland,3086,2016-08-23,Mitch Moreland flied out to left (Fliner (Fly)).
T_Cingrani,1255,D Murphy,4316,2016-07-01,Daniel Murphy flied out to right (Fly).
T_Cingrani,1255,A Diaz,1593,2016-06-07,Aledmys Diaz flied out to second (Fliner (Fly)).
T_Cingrani,1255,F Freeman,5361,2016-07-19,Freddie Freeman struck out swinging.
T_Cingrani,1255,G Parra,8553,2016-05-30,Gerardo Parra struck out swinging.
T_Cingrani,1255,J Mercer,6547,2016-08-07,Jordy Mercer picked off.
T_Cingrani,1255,A Russell,1410,2016-07-06,Addison Russell struck out swinging.
T_Cingrani,1255,M Carpenter,8090,2016-04-16,Matt Carpenter flied out to right (Fliner (Liner)).
T_Cingrani,1255,D Valencia,6364,2016-06-11,Danny Valencia struck out swinging.
T_Cingrani,1255,F Cervelli,5275,2016-05-11,Francisco Cervelli flied out to right (Fliner (Fly)).
T_Cingrani,1255,C Gillaspie,9009,2016-05-04,Conor Gillaspie grounded into a double play to second (Grounder). Brandon Crawford out at second.
T_Cingrani,1255,K Broxton,9253,2016-09-13,Keon Broxton grounded out to shortstop (Grounder).
T_Cingrani,1255,B Crawford,5343,2016-05-04,Brandon Crawford reached on fielder's choice to second (Grounder). Brandon Belt out at second.
T_Cingrani,1255,T Story,1256,2016-05-30,Trevor Story flied out to center (Fly). Mark Reynolds advanced to 3B.
T_Cingrani,1255,J Peralta,1738,2016-08-08,Jhonny Peralta flied out to right (Fly).
T_Cingrani,1255,C Gonzalez,7287,2016-04-19,Carlos Gonzalez struck out swinging.
T_Cingrani,1255,T Jankowski,1376,2016-06-26,Travis Jankowski struck out looking.
T_Cingrani,1255,A Diaz,1593,2016-06-09,Aledmys Diaz flied out to left (Fly).
