playername,playerid,vsname,vsid,date,Play
T_Cravy,1077,S Marte,9241,2016-08-27,Starling Marte flied out to center (Fly).
T_Cravy,1077,A Lind,8027,2016-08-19,Adam Lind struck out looking.
T_Cravy,1077,T Barnhart,1020,2016-05-06,Tucker Barnhart singled to right (Liner). Adam Duvall out at home.
T_Cravy,1077,A Frazier,1522,2016-08-27,Adam Frazier flied out to center (Fliner (Fly)).
T_Cravy,1077,E Suarez,1255,2016-05-06,Eugenio Suarez struck out swinging.
T_Cravy,1077,C Gonzalez,7287,2016-10-02,Carlos Gonzalez flied out to right (Fly).
T_Cravy,1077,G Marquez,1503,2016-10-02,German Marquez sacrificed to pitcher (Bunt Grounder). Cristhian Adames advanced to 2B.
T_Cravy,1077,J Mercer,6547,2016-08-27,Jordy Mercer grounded out to third (Grounder).
T_Cravy,1077,S Schebler,1222,2016-09-24,Scott Schebler struck out swinging.
T_Cravy,1077,G Springer,1285,2016-04-09,George Springer struck out swinging.
T_Cravy,1077,F Cervelli,5275,2016-09-20,Francisco Cervelli struck out looking.
T_Cravy,1077,J Kang,1718,2016-09-20,Jung Ho Kang struck out swinging.
T_Cravy,1077,N Aoki,1307,2016-08-19,Nori Aoki grounded out to third (Bunt Grounder). Ketel Marte advanced to 2B.
T_Cravy,1077,J Mercer,6547,2016-08-26,Jordy Mercer grounded out to third (Grounder).
T_Cravy,1077,C Correa,1416,2016-04-09,Carlos Correa flied out to center (Fliner (Fly)).
T_Cravy,1077,G Polanco,1290,2016-09-04,Gregory Polanco flied out to left (Fly).
T_Cravy,1077,C Gomez,4881,2016-04-09,Carlos Gomez singled to third (Bunt Grounder). Carlos Gomez advanced to 2B on error. Carlos Gomez out. Error by Yadiel Rivera.
T_Cravy,1077,A McCutchen,9847,2016-09-20,Andrew McCutchen flied out to left (Fly).
T_Cravy,1077,B Phillips,791&,2016-05-06,Brandon Phillips grounded out to shortstop (Grounder).
T_Cravy,1077,A McCutchen,9847,2016-04-17,Andrew McCutchen reached on fielder's choice to third (Grounder). Jordy Mercer out at home. Juan Nicasio advanced to 3B. John Jaso advanced to 2B.
T_Cravy,1077,C Rasmus,9893,2016-04-09,Colby Rasmus flied out to center (Fliner (Liner)).
T_Cravy,1077,I De Jesus,9886,2016-09-13,Ivan De Jesus flied out to center (Fliner (Liner)).
T_Cravy,1077,J Heyward,4940,2016-08-16,Jason Heyward flied out to right (Fly).
T_Cravy,1077,C Adames,6013,2016-09-30,Cristhian Adames struck out swinging.
T_Cravy,1077,S Cardullo,1120,2016-09-30,Stephen Cardullo flied out to center (Fliner (Fly)).
T_Cravy,1077,T Barnhart,1020,2016-09-13,Tucker Barnhart flied out to shortstop (Fly).
T_Cravy,1077,M Moreland,3086,2016-09-26,Mitch Moreland grounded out to first (Grounder).
T_Cravy,1077,M Montero,3364,2016-08-16,Miguel Montero struck out swinging.
T_Cravy,1077,S Rodriguez,6589,2016-09-04,Sean Rodriguez flied out to right (Fliner (Liner)).
T_Cravy,1077,T Barnhart,1020,2016-05-06,Tucker Barnhart flied out to center (Fliner (Fly)).
T_Cravy,1077,K Bryant,1542,2016-08-17,Kris Bryant flied out to center (Fliner (Fly)).
T_Cravy,1077,M Montgomery,4869,2016-08-16,Mike Montgomery grounded out to pitcher (Grounder).
T_Cravy,1077,J Bruce,9892,2016-05-06,Jay Bruce grounded out to first (Grounder).
T_Cravy,1077,J Lester,4930,2016-08-17,Jon Lester fouled out to left (Fly).
T_Cravy,1077,Z Cozart,2616,2016-05-06,Zack Cozart flied out to center (Fly).
T_Cravy,1077,B Dozier,9810,2016-04-20,Brian Dozier flied out to right (Fly). Max Kepler advanced to 3B.
T_Cravy,1077,C Adames,6013,2016-08-24,Cristhian Adames struck out swinging.
T_Cravy,1077,M Sano,1216,2016-04-20,Miguel Sano struck out swinging.
T_Cravy,1077,M Holliday,1873,2016-04-11,Matt Holliday flied out to left (Fliner (Fly)).
T_Cravy,1077,E Andrus,8709,2016-09-26,Elvis Andrus lined out to second (Liner).
T_Cravy,1077,S Piscotty,1336,2016-04-11,Stephen Piscotty flied out to third (Fly).
T_Cravy,1077,R Grichuk,1024,2016-04-11,Randal Grichuk struck out looking.
T_Cravy,1077,J Hazelbaker,9399,2016-04-11,Jeremy Hazelbaker singled to left (Fliner (Liner)). Matt Carpenter advanced to 2B.
T_Cravy,1077,B Paulsen,9741,2016-08-24,Ben Paulsen walked.
T_Cravy,1077,K Wong,1253,2016-04-11,Kolten Wong hit a sacrifice fly to right (Fly). Randal Grichuk scored. Yadier Molina advanced to 3B.
T_Cravy,1077,E Suarez,1255,2016-05-06,Eugenio Suarez walked.
T_Cravy,1077,A Frazier,1522,2016-09-04,Adam Frazier walked.
T_Cravy,1077,K Bryant,1542,2016-08-16,Kris Bryant singled to left (Fliner (Liner)).
T_Cravy,1077,R Cano,3269,2016-08-19,Robinson Cano was intentionally walked.
