playername,playerid,vsname,vsid,date,Play
T_Frazier,785&,C Bassitt,1230,2016-04-05,Todd Frazier homered (Fliner (Fly)). Adam Eaton scored. Jimmy Rollins scored.
T_Frazier,785&,S Cishek,6483,2016-08-25,Todd Frazier singled to left (Grounder). Adam Eaton scored. Tim Anderson scored. Todd Frazier advanced to 2B.
T_Frazier,785&,D O'Day,3321,2016-04-30,Todd Frazier homered (Fly). Jose Abreu scored.
T_Frazier,785&,F Hernandez,4772,2016-07-20,Todd Frazier homered (Fly). Melky Cabrera scored. Justin Morneau scored.
T_Frazier,785&,E Gamboa,6911,2016-09-28,Todd Frazier homered (Fly).
T_Frazier,785&,J Arrieta,4153,2016-07-25,Todd Frazier homered (Fly). Melky Cabrera scored. Jose Abreu scored.
T_Frazier,785&,K Gibson,1012,2016-09-02,Todd Frazier homered (Fly). Justin Morneau scored.
T_Frazier,785&,T Wilson,1269,2016-04-28,Todd Frazier homered (Fly). Jose Abreu scored.
T_Frazier,785&,J Ross,1297,2016-06-07,Todd Frazier homered (Fly). Austin Jackson scored.
T_Frazier,785&,W LeBlanc,5221,2016-07-18,Todd Frazier homered (Fliner (Fly)). Melky Cabrera scored.
T_Frazier,785&,C Carrasco,6632,2016-08-17,Todd Frazier doubled to center (Fly). Jose Abreu scored. Justin Morneau scored.
T_Frazier,785&,D Holland,4141,2016-05-10,Todd Frazier singled to right (Fliner (Liner)). Adam Eaton scored. Jimmy Rollins scored. Jose Abreu advanced to 2B.
T_Frazier,785&,T Barnette,3555,2016-05-09,Todd Frazier singled to left (Grounder). Austin Jackson scored. Adam Eaton advanced to 3B on error. Todd Frazier advanced to 2B. Error by Ian Desmond.
T_Frazier,785&,Z Neal,1129,2016-08-21,Todd Frazier singled to left (Grounder). Jose Abreu scored. Justin Morneau scored. Todd Frazier out.
T_Frazier,785&,C Hamels,4972,2016-05-11,Todd Frazier homered (Fliner (Fly)).
T_Frazier,785&,C Buchholz,3543,2016-06-21,Todd Frazier homered (Fliner (Fly)).
T_Frazier,785&,M Shoemaker,4776,2016-04-19,Todd Frazier homered (Fliner (Fly)).
T_Frazier,785&,I Nova,1994,2016-05-14,Todd Frazier homered (Fliner (Fly)).
T_Frazier,785&,E Santana,3200,2016-09-01,Todd Frazier homered (Fliner (Liner)).
T_Frazier,785&,T Bauer,1270,2016-09-13,Todd Frazier singled to center (Grounder). Tim Anderson scored. Melky Cabrera scored. Jose Abreu advanced to 2B.
T_Frazier,785&,R Pressly,7005,2016-05-07,Todd Frazier doubled to left (Liner). Austin Jackson scored. Jose Abreu advanced to 3B.
T_Frazier,785&,Y Ventura,1185,2016-09-19,Todd Frazier singled to center (Grounder). Justin Morneau scored.
T_Frazier,785&,K Herrera,6033,2016-05-27,Todd Frazier walked. Austin Jackson advanced to 2B.
T_Frazier,785&,J Henderson,6653,2016-06-01,Todd Frazier walked.
T_Frazier,785&,T Bauer,1270,2016-09-23,Todd Frazier doubled to left (Fliner (Fly)).
T_Frazier,785&,D Smyly,1176,2016-09-26,Todd Frazier doubled to right (Fliner (Liner)).
T_Frazier,785&,C Kluber,2429,2016-05-25,"Todd Frazier advanced on a stolen base to 2B, scored on error. Error by Yan Gomes;Rajai Davis."
T_Frazier,785&,R Nolasco,3830,2016-06-29,Todd Frazier homered (Fly).
T_Frazier,785&,K Herrera,6033,2016-09-16,Todd Frazier doubled to left (Grounder).
T_Frazier,785&,D Duffy,3542,2016-05-27,Todd Frazier homered (Fly).
T_Frazier,785&,D O'Day,3321,2016-08-05,Todd Frazier walked. Jose Abreu advanced to 3B. Justin Morneau advanced to 2B.
T_Frazier,785&,Y Ventura,1185,2016-09-19,Todd Frazier singled to center (Fliner (Liner)). Jose Abreu advanced to 3B. Justin Morneau advanced to 2B.
T_Frazier,785&,M Pelfrey,5203,2016-07-21,Todd Frazier singled to second (Grounder). Justin Morneau advanced to 2B.
T_Frazier,785&,P Garner,1088,2016-09-12,Todd Frazier singled to right (Fliner (Liner)). Jose Abreu advanced to 3B on error. Todd Frazier advanced to 2B. Error by Lonnie Chisenhall.
T_Frazier,785&,E Santana,3200,2016-07-31,Todd Frazier walked.
T_Frazier,785&,J Teheran,6797,2016-07-09,Todd Frazier doubled to right (Fliner (Liner)). Jose Abreu scored. Melky Cabrera advanced to 3B.
T_Frazier,785&,M Pelfrey,5203,2016-06-04,Todd Frazier singled to left (Grounder). Adam Eaton scored. Tyler Saladino advanced to 3B. Todd Frazier out.
T_Frazier,785&,E Volquez,3990,2016-09-10,Todd Frazier walked.
T_Frazier,785&,J Tomlin,9388,2016-09-25,Todd Frazier singled to center (Fliner (Liner)).
T_Frazier,785&,D Salazar,5867,2016-04-08,Todd Frazier homered (Fly).
T_Frazier,785&,M Boyd,1544,2016-07-23,Todd Frazier reached on error to third (Grounder). Todd Frazier advanced to 2B. Error by Nick Castellanos.
T_Frazier,785&,D Gee,7396,2016-09-17,Todd Frazier singled to left (Liner).
T_Frazier,785&,T May,6398,2016-04-11,Todd Frazier doubled to left (Fliner (Liner)). Jose Abreu scored.
T_Frazier,785&,D Fister,9425,2016-07-02,Todd Frazier singled to center (Liner).
T_Frazier,785&,B Kintzler,9939,2016-09-01,Todd Frazier singled to third (Grounder).
T_Frazier,785&,J Hammel,4538,2016-07-27,Todd Frazier singled to left (Liner).
T_Frazier,785&,K Gibson,1012,2016-04-11,Todd Frazier singled to left (Fliner (Liner)).
T_Frazier,785&,I Kennedy,6986,2016-09-16,Todd Frazier walked.
T_Frazier,785&,C McHugh,7531,2016-05-19,Todd Frazier singled to second (Grounder).
T_Frazier,785&,B Treinen,1257,2016-06-07,Todd Frazier walked. Jose Abreu advanced to 2B.
T_Frazier,785&,W Miley,8779,2016-07-19,Todd Frazier singled to right (Grounder).
T_Frazier,785&,M Fulmer,1321,2016-08-03,Todd Frazier singled to left (Grounder).
T_Frazier,785&,K Gibson,1012,2016-04-11,Todd Frazier reached on error to shortstop (Grounder). Error by Eduardo Escobar.
T_Frazier,785&,Y Ventura,1185,2016-05-22,Todd Frazier singled to left (Liner). Jimmy Rollins advanced to 2B.
T_Frazier,785&,A Albers,7853,2016-09-04,Todd Frazier singled to center (Grounder). Jose Abreu advanced to 3B.
T_Frazier,785&,M Clevinger,1280,2016-05-23,Todd Frazier singled to center (Grounder).
T_Frazier,785&,U Jimenez,3374,2016-05-01,Todd Frazier was hit by a pitch. Carlos Sanchez advanced to 3B. Jose Abreu advanced to 2B.
