playername,playerid,vsname,vsid,date,Play
T_Holt,1139,A Vizcaino,5498,2016-06-13,Tyler Holt walked. Joey Votto scored. Jay Bruce advanced to 3B. Eugenio Suarez advanced to 2B.
T_Holt,1139,J Hughes,9325,2016-05-01,Tyler Holt advanced on caught stealing with error to score. Error by Chris Stewart.
T_Holt,1139,R Vogelsong,1011,2016-09-11,Tyler Holt tripled to right (Fliner (Liner)). Ramon Cabrera scored. Ivan De Jesus scored.
T_Holt,1139,J Guerra,5702,2016-05-08,Tyler Holt tripled to right (Fliner (Fly)). Ramon Cabrera scored.
T_Holt,1139,J Papelbon,5975,2016-06-05,Tyler Holt singled to center (Grounder).
T_Holt,1139,F Rivero,1207,2016-09-17,Tyler Holt walked. Scott Schebler advanced to 3B. Steve Selsky advanced to 2B.
T_Holt,1139,T Williams,1697,2016-09-17,Tyler Holt singled to right (Fliner (Liner)). Steve Selsky advanced to 3B.
T_Holt,1139,W Peralta,7738,2016-09-12,Tyler Holt singled to right (Fliner (Liner)). Brandon Phillips scored. Scott Schebler advanced to 2B.
T_Holt,1139,J Lackey,1507,2016-04-23,Tyler Holt singled to center (Fliner (Liner)).
T_Holt,1139,D Alvarez,1423,2016-06-15,Tyler Holt walked.
T_Holt,1139,J Nelson,1054,2016-05-29,Tyler Holt singled to first (Bunt Fly). Adam Duvall advanced to 2B.
T_Holt,1139,D Holland,4141,2016-08-23,Tyler Holt walked.
T_Holt,1139,J Lester,4930,2016-04-22,Tyler Holt walked.
T_Holt,1139,Z Duke,3840,2016-08-02,Tyler Holt walked. Scott Schebler advanced to 3B. Tucker Barnhart advanced to 2B.
T_Holt,1139,C Anderson,6895,2016-05-28,Tyler Holt singled to left (Grounder). Eugenio Suarez advanced to 2B.
T_Holt,1139,T Roark,8753,2016-06-05,Tyler Holt singled to center (Grounder).
T_Holt,1139,F Hernandez,4772,2016-05-21,Tyler Holt walked. John Lamb advanced to 3B. Billy Hamilton advanced to 2B.
T_Holt,1139,J Lester,4930,2016-04-22,Tyler Holt advanced on a stolen base to 2B.
T_Holt,1139,J Samardzija,3254,2016-05-03,Tyler Holt singled to right (Liner).
T_Holt,1139,J Guerra,5702,2016-09-14,Tyler Holt singled to center (Grounder).
T_Holt,1139,S Solis,1145,2016-06-05,Tyler Holt walked.
T_Holt,1139,A Ogando,1026,2016-06-15,Tyler Holt sacrificed to pitcher (Bunt Grounder). Adam Duvall advanced to 3B. Ivan De Jesus advanced to 2B.
T_Holt,1139,N Syndergaard,1176,2016-04-25,Tyler Holt advanced on error to 2B. Error by Noah Syndergaard.
T_Holt,1139,C Martinez,1168,2016-09-04,Tyler Holt walked.
T_Holt,1139,C Martinez,1168,2016-09-04,Tyler Holt walked.
T_Holt,1139,M Wacha,1407,2016-08-03,Tyler Holt walked.
T_Holt,1139,J Garcia,8137,2016-09-03,Tyler Holt walked.
T_Holt,1139,A Morgan,1258,2016-05-15,Tyler Holt reached on fielder's choice to first (Grounder). Adam Duvall scored. Tucker Barnhart advanced to 3B. Dan Straily out at second.
T_Holt,1139,M Bush,1246,2016-08-23,Tyler Holt walked.
T_Holt,1139,B Boyer,2237,2016-05-29,Tyler Holt singled to center (Fliner (Liner)).
T_Holt,1139,T Cahill,6249,2016-09-20,Tyler Holt walked.
T_Holt,1139,A Ogando,1026,2016-06-14,Tyler Holt reached on error to second (Grounder). Adam Duvall advanced to 3B. Error by Jace Peterson.
T_Holt,1139,A Ramos,8350,2016-07-09,Tyler Holt advanced on defensive indifference to 2B.
T_Holt,1139,C Murray,1226,2016-05-15,Tyler Holt singled to center (Grounder).
T_Holt,1139,J Howell,8245,2016-08-19,Tyler Holt singled to center (Grounder).
T_Holt,1139,B Oberholtzer,3855,2016-05-15,Tyler Holt walked.
T_Holt,1139,J Valdez,1447,2016-08-29,Tyler Holt walked.
T_Holt,1139,J Hughes,9325,2016-09-11,Tyler Holt singled to left (Grounder). Ramon Cabrera scored. Ivan De Jesus advanced to 3B. Tony Renda advanced to 2B.
T_Holt,1139,J McGee,7550,2016-05-30,Tyler Holt singled to left (Fliner (Liner)). Tucker Barnhart advanced to 2B.
T_Holt,1139,E Araujo,1285,2016-05-15,Tyler Holt walked. Zack Cozart advanced to 2B.
T_Holt,1139,C Allen,1218,2016-05-17,Tyler Holt walked.
T_Holt,1139,P Corbin,9323,2016-08-28,Tyler Holt lined out to third (Liner).
T_Holt,1139,A Liberatore,1063,2016-08-19,Tyler Holt struck out swinging.
T_Holt,1139,J Williams,1137,2016-09-03,Tyler Holt flied out to center (Fly).
T_Holt,1139,R Scahill,9286,2016-08-12,Tyler Holt grounded out to second (Grounder).
T_Holt,1139,B Norris,9492,2016-08-22,Tyler Holt flied out to right (Fly).
T_Holt,1139,B Boyer,2237,2016-08-13,Tyler Holt flied out to right (Fliner (Fly)).
T_Holt,1139,B Oberholtzer,3855,2016-04-07,Tyler Holt struck out swinging.
T_Holt,1139,C Edwards Jr.,1360,2016-06-29,Tyler Holt lined out to first (Liner).
T_Holt,1139,E O'Flaherty,5746,2016-07-20,Tyler Holt struck out swinging.
T_Holt,1139,J Marinez,5830,2016-09-14,Tyler Holt grounded out to third (Grounder).
T_Holt,1139,J Barrett,1332,2016-07-23,Tyler Holt out on a dropped third strike.
T_Holt,1139,H Cervenka,1051,2016-08-16,Tyler Holt grounded out to first (Grounder).
T_Holt,1139,K Hendricks,1204,2016-06-29,Tyler Holt flied out to center (Fly).
T_Holt,1139,H Strickland,7836,2016-05-04,Tyler Holt grounded out to pitcher (Liner).
T_Holt,1139,B Baumann,9309,2016-07-29,Tyler Holt struck out swinging.
T_Holt,1139,J Motte,5861,2016-06-01,Tyler Holt flied out to center (Fliner (Liner)).
T_Holt,1139,J Peavy,1051,2016-05-04,Tyler Holt flied out to right (Fliner (Fly)).
T_Holt,1139,J Peavy,1051,2016-05-04,Tyler Holt grounded out to third (Grounder).
T_Holt,1139,J Manship,6865,2016-05-18,Tyler Holt grounded out to second (Grounder).
T_Holt,1139,J Teheran,6797,2016-06-14,Tyler Holt grounded out to pitcher (Bunt Grounder).
T_Holt,1139,W Peralta,7738,2016-09-12,Tyler Holt grounded out to second (Grounder).
T_Holt,1139,J Blevins,7841,2016-09-05,Tyler Holt struck out swinging.
T_Holt,1139,M Montgomery,4869,2016-05-21,Tyler Holt grounded out to shortstop (Grounder).
T_Holt,1139,K Hendricks,1204,2016-06-29,Tyler Holt grounded out to shortstop (Grounder).
T_Holt,1139,J Garcia,8137,2016-08-10,Tyler Holt grounded out to shortstop (Grounder).
T_Holt,1139,F Rivero,1207,2016-06-05,Tyler Holt struck out swinging.
T_Holt,1139,J Urias,1476,2016-08-21,Tyler Holt flied out to right (Fly).
T_Holt,1139,J Tomlin,9388,2016-05-19,Tyler Holt grounded out to second (Grounder).
T_Holt,1139,A Blair,1493,2016-06-13,Tyler Holt lined out to second (Liner).
T_Holt,1139,A Wainwright,2233,2016-06-09,Tyler Holt out on a dropped third strike.
T_Holt,1139,J Guerra,5702,2016-05-08,Tyler Holt grounded out to third (Grounder).
T_Holt,1139,T Williams,1697,2016-09-17,Tyler Holt grounded out to third (Grounder).
T_Holt,1139,J Peavy,1051,2016-05-04,Tyler Holt grounded out to third (Grounder).
T_Holt,1139,A Wainwright,2233,2016-06-09,Tyler Holt struck out looking.
T_Holt,1139,M Fiers,7754,2016-06-19,Tyler Holt flied out to right (Fliner (Liner)).
T_Holt,1139,K Hendricks,1204,2016-06-29,Tyler Holt flied out to right (Fly).
T_Holt,1139,J Axford,9059,2016-06-11,Tyler Holt struck out swinging.
T_Holt,1139,J Axford,9059,2016-06-12,Tyler Holt grounded out to first (Grounder).
T_Holt,1139,J Hellickson,4371,2016-05-13,Tyler Holt flied out to center (Fliner (Fly)).
T_Holt,1139,Z Duke,3840,2016-09-02,Tyler Holt sacrificed to pitcher (Bunt Grounder). Ivan De Jesus advanced to 2B.
T_Holt,1139,D Mengden,1698,2016-06-11,Tyler Holt grounded out to shortstop (Grounder).
T_Holt,1139,A Morgan,1258,2016-05-15,Tyler Holt flied out to right (Fliner (Fly)).
T_Holt,1139,J Johnson,3656,2016-06-13,Tyler Holt grounded out to second (Grounder).
T_Holt,1139,J Guerra,5702,2016-05-08,Tyler Holt flied out to right (Fliner (Fly)).
T_Holt,1139,J Urena,1158,2016-08-16,Tyler Holt grounded into a double play to shortstop (Grounder). Tucker Barnhart out at second.
T_Holt,1139,M Wacha,1407,2016-08-03,Tyler Holt grounded out to third (Bunt Grounder). Josh Smith advanced to 3B.
T_Holt,1139,S Gray,1276,2016-06-10,Tyler Holt grounded out to third (Grounder).
T_Holt,1139,P Strop,4070,2016-04-22,Tyler Holt struck out swinging.
T_Holt,1139,J Garcia,8137,2016-09-03,Tyler Holt grounded out to shortstop (Grounder).
T_Holt,1139,B Colon,375&,2016-04-26,Tyler Holt was caught stealing.
T_Holt,1139,S Gray,1276,2016-06-10,Tyler Holt out on a dropped third strike.
T_Holt,1139,J Garcia,8137,2016-08-10,Tyler Holt out on a dropped third strike.
T_Holt,1139,P Baez,5420,2016-05-25,Tyler Holt struck out swinging.
T_Holt,1139,M Clevinger,1280,2016-05-18,Tyler Holt flied out to center (Fly).
T_Holt,1139,J Familia,5114,2016-04-25,Tyler Holt grounded out to shortstop (Grounder).
T_Holt,1139,J Nelson,1054,2016-05-29,Tyler Holt struck out looking.
T_Holt,1139,Z Duke,3840,2016-08-03,Tyler Holt struck out swinging.
T_Holt,1139,J Hughes,9325,2016-09-17,Tyler Holt grounded out to pitcher (Grounder).
T_Holt,1139,D Alvarez,1423,2016-07-19,Tyler Holt struck out swinging.
T_Holt,1139,S Gray,1276,2016-06-10,Tyler Holt flied out to center (Fliner (Fly)).
T_Holt,1139,W Miley,8779,2016-05-22,Tyler Holt flied out to right (Fliner (Fly)).
T_Holt,1139,F Rodney,494&,2016-08-15,Tyler Holt reached on fielder's choice to second (Grounder). Zack Cozart out at second.
T_Holt,1139,B Colon,375&,2016-04-26,Tyler Holt sacrificed to first (Bunt Grounder). Zack Cozart advanced to 2B.
T_Holt,1139,N Feliz,18&p,2016-04-08,Tyler Holt out on a dropped third strike.
T_Holt,1139,A Reed,1058,2016-09-07,Tyler Holt struck out looking.
T_Holt,1139,C Rusin,9895,2016-04-19,Tyler Holt grounded into a double play to second (Grounder). Jay Bruce out at second.
T_Holt,1139,A Morgan,1258,2016-05-15,Tyler Holt grounded into a double play to second (Grounder). Dan Straily out at second.
T_Holt,1139,M Dunn,9948,2016-08-17,Tyler Holt lined out to first (Liner).
T_Holt,1139,A Cashner,8782,2016-08-17,Tyler Holt flied out to center (Fliner (Fly)).
T_Holt,1139,J Lester,4930,2016-04-22,Tyler Holt hit into a fielder's choice gidp to third (Grounder). Jay Bruce out at third. Adam Duvall out at second.
