playername,playerid,vsname,vsid,date,Play
T_Hunter,1157,A Duvall,1095,2016-05-16,Adam Duvall grounded into a double play to second (Grounder). Jay Bruce out at second.
T_Hunter,1157,J Lamb,1332,2016-09-23,Jake Lamb flied out to shortstop (Fliner (Fly)).
T_Hunter,1157,D Travis,1386,2016-07-01,Devon Travis reached on fielder's choice to shortstop (Grounder). Josh Donaldson out at second.
T_Hunter,1157,M Saunders,9981,2016-07-01,Michael Saunders struck out looking.
T_Hunter,1157,X Bogaerts,1216,2016-09-13,Xander Bogaerts flied out to second (Fly).
T_Hunter,1157,B Gardner,9927,2016-07-09,Brett Gardner grounded out to second (Grounder).
T_Hunter,1157,M Betts,1361,2016-09-22,Mookie Betts grounded into a double play to shortstop (Grounder). Brock Holt out at second.
T_Hunter,1157,M Machado,1149,2016-05-28,Manny Machado grounded into a double play to shortstop (Grounder). Adam Jones scored. Hyun Soo Kim out at second.
T_Hunter,1157,E Encarnacion,2151,2016-07-02,Edwin Encarnacion struck out looking.
T_Hunter,1157,J Ellsbury,4727,2016-07-09,Jacoby Ellsbury struck out swinging.
T_Hunter,1157,C Vazquez,9774,2016-05-22,Christian Vazquez struck out swinging.
T_Hunter,1157,M Mahtook,1313,2016-09-17,Mikie Mahtook grounded out to third (Grounder).
T_Hunter,1157,E Carrera,9048,2016-07-01,Ezequiel Carrera grounded out to shortstop (Grounder).
T_Hunter,1157,L Forsythe,7185,2016-09-07,Logan Forsythe grounded out to second (Grounder).
T_Hunter,1157,J Pacheco,2677,2016-05-16,Jordan Pacheco grounded out to third (Grounder).
T_Hunter,1157,D Pedroia,8370,2016-09-22,Dustin Pedroia grounded out to shortstop (Grounder).
T_Hunter,1157,M Franco,1217,2016-04-30,Maikel Franco fouled out to third (Fly).
T_Hunter,1157,T Shaw,1198,2016-05-22,Travis Shaw struck out swinging.
T_Hunter,1157,R Cabrera,1032,2016-05-16,Ramon Cabrera grounded out to third (Grounder).
T_Hunter,1157,B Miller,1277,2016-09-15,Brad Miller flied out to center (Fliner (Liner)).
T_Hunter,1157,N Franklin,1016,2016-09-15,Nick Franklin struck out swinging.
T_Hunter,1157,A Escobar,6310,2016-06-02,Alcides Escobar grounded out to shortstop (Grounder).
T_Hunter,1157,J Rickard,1327,2016-05-29,Joey Rickard struck out looking.
T_Hunter,1157,E Carrera,9048,2016-09-27,Ezequiel Carrera grounded into a double play to second (Grounder). Darwin Barney out at second.
