playername,playerid,vsname,vsid,date,Play
T_Kemp,1489,S Dyson,1171,2016-08-07,Tony Kemp singled to center (Liner). Carlos Gomez scored.
T_Kemp,1489,J Axford,9059,2016-09-20,Tony Kemp doubled to center (Liner). Marwin Gonzalez scored.
T_Kemp,1489,S Doolittle,1581,2016-09-20,Tony Kemp doubled to right (Fliner (Fly)).
T_Kemp,1489,A Colome,6661,2016-06-10,Tony Kemp walked.
T_Kemp,1489,J Hahn,1328,2016-06-03,Tony Kemp tripled to right (Fliner (Fly)). Luis Valbuena scored. Tyler White scored.
T_Kemp,1489,M Shoemaker,4776,2016-06-22,Tony Kemp singled to center (Grounder). Jason Castro advanced to 3B.
T_Kemp,1489,J Jeffress,9490,2016-08-07,Tony Kemp singled to left (Fliner (Liner)).
T_Kemp,1489,S Gray,1276,2016-06-05,Tony Kemp singled to second (Grounder).
T_Kemp,1489,Z Greinke,1943,2016-06-02,Tony Kemp singled to center (Liner).
T_Kemp,1489,F Hernandez,4772,2016-09-27,Tony Kemp walked. Yulieski Gurriel advanced to 2B.
T_Kemp,1489,J Benoit,1437,2016-08-14,Tony Kemp singled to center (Liner).
T_Kemp,1489,J Axford,9059,2016-09-20,Jake Marisnick advanced on a passed ball to 2B. Passed ball by Stephen Vogt.
T_Kemp,1489,T Bauer,1270,2016-09-08,Tony Kemp walked.
T_Kemp,1489,J Chacin,2608,2016-10-02,Tony Kemp singled to center (Liner).
T_Kemp,1489,D Mengden,1698,2016-09-21,Tony Kemp tripled to right (Grounder).
T_Kemp,1489,T Skaggs,1019,2016-10-01,Tony Kemp walked.
T_Kemp,1489,C Tillman,5279,2016-05-24,Tony Kemp walked.
T_Kemp,1489,B Ziegler,7293,2016-06-01,Tony Kemp hit a sacrifice fly to left (Fly). Marwin Gonzalez scored.
T_Kemp,1489,T Milone,7608,2016-08-11,Tony Kemp singled to center (Fliner (Liner)).
T_Kemp,1489,C Kluber,2429,2016-09-06,Tony Kemp walked.
T_Kemp,1489,O Despaigne,1601,2016-08-20,Tony Kemp singled to right (Grounder).
T_Kemp,1489,F Rodriguez,7558,2016-06-03,Tony Kemp walked.
T_Kemp,1489,B Flynn,1202,2016-06-24,Tony Kemp walked. George Springer advanced to 2B.
T_Kemp,1489,R Flaherty,7888,2016-08-20,Tony Kemp grounded out to pitcher (Grounder).
T_Kemp,1489,T Barnette,3555,2016-05-22,Tony Kemp struck out swinging.
T_Kemp,1489,J Ramirez,8302,2016-10-02,Tony Kemp flied out to left (Fly).
T_Kemp,1489,J Chargois,1376,2016-08-11,Tony Kemp struck out looking.
T_Kemp,1489,T Wilhelmsen,9975,2016-09-28,Tony Kemp grounded out to second (Grounder).
T_Kemp,1489,A Albers,7853,2016-08-11,Tony Kemp struck out looking.
T_Kemp,1489,D Altavilla,1650,2016-09-27,Tony Kemp flied out to left (Fly).
T_Kemp,1489,B Oberholtzer,3855,2016-09-25,Tony Kemp flied out to left (Fly).
T_Kemp,1489,A Albers,7853,2016-08-11,Tony Kemp grounded out to first (Grounder). Tyler White advanced to 2B.
T_Kemp,1489,A Claudio,1289,2016-09-14,Tony Kemp struck out swinging.
T_Kemp,1489,M Latos,3815,2016-05-18,Tony Kemp grounded out to shortstop (Grounder).
T_Kemp,1489,C Kluber,2429,2016-09-06,Tony Kemp grounded out to first (Grounder).
T_Kemp,1489,D Otero,7385,2016-09-08,Tony Kemp grounded out to first (Grounder).
T_Kemp,1489,P Bridwell,1150,2016-08-21,Tony Kemp flied out to center (Fliner (Liner)).
T_Kemp,1489,T Barnette,3555,2016-09-02,Tony Kemp struck out swinging.
T_Kemp,1489,Z Greinke,1943,2016-06-02,Tony Kemp struck out looking.
T_Kemp,1489,F Hernandez,4772,2016-09-27,Tony Kemp flied out to center (Fliner (Fly)).
T_Kemp,1489,I Nova,1994,2016-08-23,Tony Kemp struck out swinging.
T_Kemp,1489,H Iwakuma,1304,2016-09-26,Tony Kemp grounded out to third (Grounder).
T_Kemp,1489,O Despaigne,1601,2016-08-20,Tony Kemp grounded into a double play to second (Grounder). A.J. Reed scored. Teoscar Hernandez advanced to 3B. Jason Castro out at second.
T_Kemp,1489,C Martinez,1168,2016-08-17,Tony Kemp flied out to center (Fly).
T_Kemp,1489,B Boshers,8490,2016-08-09,Tony Kemp grounded out to second (Grounder).
T_Kemp,1489,A Achter,1138,2016-10-01,Tony Kemp flied out to center (Fliner (Liner)).
T_Kemp,1489,V Worley,6435,2016-05-25,Tony Kemp grounded out to second (Grounder).
T_Kemp,1489,C Allen,1218,2016-09-08,Tony Kemp flied out to center (Fliner (Liner)).
T_Kemp,1489,T Wilson,1269,2016-05-25,Tony Kemp sacrificed to pitcher (Bunt Grounder). Marwin Gonzalez advanced to 2B.
T_Kemp,1489,H Santiago,4026,2016-08-09,Tony Kemp struck out swinging.
T_Kemp,1489,C Martinez,1168,2016-08-17,Tony Kemp grounded out to shortstop (Grounder).
T_Kemp,1489,A Sanchez,1149,2016-08-13,Tony Kemp grounded out to pitcher (Grounder).
T_Kemp,1489,R Pressly,7005,2016-08-08,Tony Kemp flied out to left (Fliner (Liner)).
T_Kemp,1489,C Tillman,5279,2016-08-20,Tony Kemp flied out to center (Fliner (Liner)).
T_Kemp,1489,R Nolasco,3830,2016-09-22,Tony Kemp struck out swinging.
T_Kemp,1489,M Shoemaker,4776,2016-06-22,Tony Kemp flied out to center (Fliner (Liner)).
T_Kemp,1489,H Rondon,2391,2016-09-09,Tony Kemp struck out swinging.
T_Kemp,1489,A Meyer,1283,2016-09-23,Tony Kemp flied out to center (Fly).
T_Kemp,1489,J Chacin,2608,2016-10-02,Tony Kemp reached on fielder's choice to catcher (Bunt Grounder). Teoscar Hernandez out at second.
T_Kemp,1489,C Lewis,1259,2016-05-20,Tony Kemp grounded out to pitcher (Bunt Grounder).
T_Kemp,1489,F Salas,4971,2016-05-29,Tony Kemp grounded out to first (Grounder).
T_Kemp,1489,J Ramirez,8302,2016-09-22,Tony Kemp flied out to left (Fly).
T_Kemp,1489,D Mengden,1698,2016-09-21,Tony Kemp flied out to left (Fly).
T_Kemp,1489,T Clippard,5640,2016-06-01,Tony Kemp grounded out to second (Grounder).
T_Kemp,1489,E Scribner,7525,2016-09-28,Tony Kemp struck out looking.
T_Kemp,1489,S Cishek,6483,2016-09-26,Tony Kemp flied out to left (Fliner (Fly)).
T_Kemp,1489,R Dull,1397,2016-06-05,Tony Kemp flied out to left (Fliner (Fly)).
T_Kemp,1489,C Lewis,1259,2016-05-20,Tony Kemp grounded into a double play to second (Grounder). Jason Castro out at second.
T_Kemp,1489,H Iwakuma,1304,2016-09-26,Tony Kemp grounded into a double play to second (Grounder). Evan Gattis out at second.
T_Kemp,1489,M Shoemaker,4776,2016-06-22,Tony Kemp was caught stealing.
T_Kemp,1489,S Dyson,1171,2016-06-07,Tony Kemp struck out swinging.
