playername,playerid,vsname,vsid,date,Play
T_Koehler,6570,F Lindor,1291,2016-09-04,Francisco Lindor grounded into a double play to second (Grounder). Jason Kipnis out at second.
T_Koehler,6570,J Baez,1297,2016-06-24,Javier Baez grounded into a double play to third (Grounder). Chris Coghlan out at second.
T_Koehler,6570,J Mercer,6547,2016-08-19,Jordy Mercer grounded into a double play to second (Grounder). Francisco Cervelli out at second.
T_Koehler,6570,P Bourjos,2578,2016-05-18,Peter Bourjos flied out to left (Fly).
T_Koehler,6570,T Plouffe,7462,2016-06-09,Trevor Plouffe grounded out to second (Grounder).
T_Koehler,6570,D Freese,9549,2016-08-19,David Freese flied out to left (Fliner (Liner)).
T_Koehler,6570,J Hellickson,4371,2016-05-07,Jeremy Hellickson reached on fielder's choice to first (Bunt Grounder). David Lough out at third.
T_Koehler,6570,J Hellickson,4371,2016-05-18,Jeremy Hellickson struck out swinging.
T_Koehler,6570,O Herrera,1147,2016-07-26,Odubel Herrera flied out to first (Fly).
T_Koehler,6570,M Franco,1217,2016-07-26,Maikel Franco flied out to second (Fly).
T_Koehler,6570,R Rivera,3648,2016-08-30,Rene Rivera grounded out to third (Grounder).
T_Koehler,6570,H Conger,2505,2016-05-24,Hank Conger struck out swinging.
T_Koehler,6570,T Barnhart,1020,2016-07-10,Tucker Barnhart singled to center (Fliner (Liner)). Brandon Phillips out at home. Tucker Barnhart
T_Koehler,6570,P Bourjos,2578,2016-05-07,Peter Bourjos non-force gdp to first (Grounder). Jeremy Hellickson out at second.
T_Koehler,6570,J Harrison,8202,2016-08-19,Josh Harrison was caught stealing.
T_Koehler,6570,L Cain,9077,2016-08-25,Lorenzo Cain grounded out to shortstop (Grounder).
T_Koehler,6570,B Miller,1277,2016-05-24,Brad Miller picked off.
T_Koehler,6570,C Gonzalez,7287,2016-06-19,Carlos Gonzalez struck out swinging.
T_Koehler,6570,B Zobrist,7435,2016-08-03,Ben Zobrist grounded out to second (Grounder). Anthony Rizzo advanced to 3B.
T_Koehler,6570,J Heyward,4940,2016-08-03,Jason Heyward lined out to first (Liner).
T_Koehler,6570,F Galvis,6609,2016-09-16,Freddy Galvis struck out swinging.
T_Koehler,6570,K Bryant,1542,2016-06-24,Kris Bryant struck out looking.
T_Koehler,6570,A Blanco,1907,2016-05-18,Andres Blanco non-force gdp to first (Grounder). Cesar Hernandez out at second.
T_Koehler,6570,D Fowler,4062,2016-08-03,Dexter Fowler flied out to left (Fliner (Fly)).
T_Koehler,6570,W Contreras,1160,2016-08-03,Willson Contreras reached on fielder's choice to third (Grounder). Ben Zobrist out at second.
